작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
eocn******,컬러: 코튼 블루,20250509,5,,목넘김좋네요 에임전용담배,0
o3****,컬러: 코튼 블루,20250428,5,,굼액은 저렴하게 샀어요 릴 3.0 피다가 이것도 사밧는데 저는 릴 하이브리드가 나은 거 같기도 ..?,0
sims******,컬러: 코튼 블루,20250501,5,,연무량도 마음에들고 무엇보다 제일 좋은게 담배 특유의 남자들 홀애비냄새?? 그게 안나서 너무너무 좋습니다 연초 피시는분들 이거로 바꾸고 피워보세요~~ 삶이 달라집니다~,0
pkm7***,컬러: 코튼 블루,20250512,5,,빠른배송 감사합니다 번창하세요,0
pkm7***,컬러: 코튼 블루,20250508,5,,빠른배송 감사합니다 번창하세요,0
dalm*****,컬러: 코튼 블루,20250504,5,,연무량 좋구요~ 릴3.0 쓰면서 번갈아 쓰고있어요~,0
only****,컬러: 코튼 블루,20250419,5,,낫베드인거같음 로딩이 짧아거 좋늠,0
ac****,컬러: 코지 버건디,20250419,5,,저렴하게 잘 샀네요 많이파세요 ^^,0
skyb*******,컬러: 코지 버건디,20250418,5,,빠르게 잘 받아 사용하고 있습니다,0
na****,컬러: 코지 버건디,20250409,5,,빠른 배송 감사합니다. .,0
khd1***,컬러: 코튼 블루,20250405,5,,담배 냄새가 많이 안 나서 주위 피해도 안 주고 깔끔하고 좋습니다,0
khd1***,컬러: 코지 버건디,20250405,5,,담배 냄새가 많이 안 나서 주위 피해도 안 주고 깔끔하고 좋습니다,0
earl****,컬러: 코튼 블루,20250426,5,,원래 연초 피웠는데 연초보단 훨씬 낫네요,0
wjfd*****,컬러: 코튼 블루,20250403,5,,상태좋아요 만족해요,0
euny********,컬러: 코지 버건디,20250414,5,,잘도착했어요 감사합니다,0
ddon*****,컬러: 코지 버건디,20250323,5,,처음피는 잔자담배인데 나름괜찮은데 어떤딤배를 종루가 어렵네오,0
sims******,컬러: 코튼 블루,20250319,5,,얼마전 차이코스 e테그로 전담 입문하였습니다 타격감이 별로라 그러려니하며 피다가 친구가 에이블2.0쓰고있는데 바꿔서 펴보니까 연무량 차이가 확실히 느껴지더라구요 그래서 바로 주문하고 잘쓰고있습니다 빠른배송도 감사합니다~~~,0
kenj****,컬러: 코튼 블루,20250325,5,,고장 없이 잘 사용하고 있습니다 성능도 괜찮고ㅎ,0
nada****,컬러: 코튼 블루,20250412,5,,여태까지 사용한 전담중에 제일좋아요,0
mjh1****,컬러: 코튼 블루,20250317,5,,신식이고 남자친구가 좋아합니다 감사합니다 디자인도 이뻐영🖤🖤🖤🖤🖤🖤,0
ther*****,컬러: 코튼 블루,20250420,4,,아주 좋아요.....,0
holi*****,컬러: 코지 버건디,20250319,5,,하나쓰다가 하나더구매했어요~~~잘쓸게요,0
bk****,컬러: 코튼 블루,20250403,5,,배송 빠르고 좋아요. 많이 파세요~!,0
sm****,컬러: 코튼 블루,20250328,5,,빠른 배송에 깔끔한 포장입니다ㅎㅎ 잘쓰겠습니다,0
musi*****,컬러: 코지 버건디,20250411,4,,쓸만해요 짧은게 흠,0
ksa0***,컬러: 코지 버건디,20250317,5,,배송빠르게 잘 받았습니다,0
lih2***,컬러: 코튼 블루,20250315,5,,연초. 피다가 릴 추천받고 시작해봅니다.,0
raon****,컬러: 코튼 블루,20250328,5,,만족합니다. 디자인 성능 다 좋아요~,0
sjoo****,컬러: 코튼 블루,20250326,5,,조아요 디자인이바꼈나봐요 전에께 더이쁨,0
eter********,컬러: 코튼 블루,20250310,5,,빠른 배송 잘 받았습니다~감사합니다^^,0
mp31***,컬러: 코튼 블루,20250408,4,,만족합니다.....,0
nexy****,컬러: 코지 버건디,20250326,5,,잘쓰고 있습니다. 감사합니다.,0
kals*******,컬러: 코튼 블루,20250302,5,,컬러감 휴대용 모두가 만족스럽고 선물받은 남친도 너무 좋아하네요!,0
jl****,컬러: 코지 버건디,20250320,5,,색은 생각보다 엄청 어두운 팥죽색인데 넘 편하고 좋아요,0
