작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
hy40****,색상: 화이트,20250506,5,,배송이 일단 너무 빨리왔습니다 완전 득템한 기분입니다. 가격도 저렴한데 배송도 로켓처럼 빨랐습니다. 포장도 꼼꼼하게 잘 되어있고 흠집 하나 없이 완벽하네요. 진짜 생각했던 것보다 훨씬 더 좋아서 완전 만족합니다! 다음에 구매할일 있으면 또 찾겠습니다,3
kaze*****,색상: 화이트(입고예약),20250507,5,,오늘쯤 도착할듯 해서 편의점 간김에 스틱사가지고 올라오는데 기기 배달오신 택배기사님이랑 엘레베에터에서 마주침ㅋㅋ10분만 늦게 나갈껄... 담배피러 다시 나가기 귀찮아서 아직 피워보지는 않았는데 릴 화이트 넘 예쁘네용 아참 후기보면 다른분들은 배송 빨랐다는데 저는 27일에 주문해서 오늘 받았어요ㅠㅠ,3
tmdr******,색상: 화이트,20250512,5,,다른업체에서는 2주걸려도 보내지도않았는데 여기는 시킨지 주말포함 5일만에 도착하네요 좋은물건 싸고빠르게배송해주셔서 감사합니다!,0
dw****,색상: 화이트,20250509,5,,"타 판매처에서 시켰을때 영업배송일 3주 넘게 기다리다 지쳐서 구매취소하고 여기서 구매했는데 4,5일? 내로 엄청 금방왔습니다~ 제품도 깔끔하고 작동도 잘되고 누수도없어 너무좋아요 ㅠㅠ재구매의사 100%",3
kjtj*****,색상: 블랙,20250509,5,,선물용으로 준비했는데 너무 좋아하네요! 배송도 빠르고 너무너무 만족합니다!! 좋은 가격에 좋은 상품 감사합니다:),2
dlal*******,색상: 화이트(입고예약),20250508,5,,해외 배송인데 불구하고 배송 빠르고 컨디션 좋습니다 ! 문의드린 부분도 빠르게 답변해주셔서 감사합니다 !,2
haes*****,색상: 블랙,20250509,5,,일본 골든위크 연휴가 들어있어서 일주일 조금 넘게 걸렸지만 그래도 한국 들어온지 이틀만에 왔어용👍 연락드리면 금방 금방 답변 주시고 친절하셔서 늦게 오더라도 화는 안 나더라고용.. ㅎㅎ 완전 완전 만족합니다!! ＼＼\٩(๑•̀ㅂ•́)و//／／,2
bril****,색상: 블랙,20250506,5,,배송도 빠르고 블랙 색상 정말 이쁘네요 화이트도 또 주문했는데 바로 배송 시작이라 기분 좋아요,3
oo****,색상: 화이트,20250502,5,,말도많고 탈도 많은 릴 하이브리드 3을 고민끝에 구입하였는데 수리도 안되는 제품을 구매해서 그래도 그나마 저렴하게 산걸 위안삼아봅니다 릴 이지 쓰다가 이걸 써보니 와 천국이네요 진심 좋네요,2
yd00****,색상: 블랙,20250510,5,,배송 진짜 빠르네요.. 다른 구매자분들이 후기쓴거 보고 샀는데 제품도 이상없고 완전 좋습니다!!,2
dann****,색상: 블랙,20250512,4,,일본 골든위크 걸려서 좀 걸리긴 했지만 10일정도 걸렸네요 제품은 아주 맘에 듭니다~,0
geyo****,색상: 블랙,20250512,5,,잘받았어요~~배송은 연휴가있어서 5일정도 걸린거같아요 잘쓸게요,1
magn******,색상: 블랙,20250509,5,,좋은제품 착한 금액으로 감사합니다 배송도 연휴끼었는데도 생각보다 빨라서 굿입니다,2
hong*****,색상: 화이트,20250508,5,,너무 예뻐요 배송도 빠르구요 감사합니다,2
ehd1****,색상: 블랙,20250509,5,,잘사용할게요 빠른 배송 감사합니다,2
cjs4******,색상: 블랙,20250508,5,,분명 화이트로주문했는데... 맘대로블랙이왓어여... 저렴히삿으니 괜찮아여..,2
wndd****,색상: 블랙,20250507,5,,휴무가 길어서 배송이 쫌 늦었지만 잘작동합니다.가격도 저렴하게 잘 구매한거 같아요.,2
dhrg****,색상: 블랙,20250511,5,,연휴기간이라 배송은 조금 늦었지만 이쁘고 좋습니다,2
min9*****,색상: 블랙,20250512,5,,선물하려고삿어요 배송빠르네요,0
juse****,색상: 화이트,20250501,5,,해외배송인대 배송도빠르고 포장도 짱짱하네요 잘쓰겠습니다~,2
dhrg****,색상: 화이트,20250511,4,,연휴기간이라 조금 기다렸지만 이쁘고 좋슴니다,2
ykoo***,색상: 비앙카 화이트,20250428,5,,해외배송이라 오래걸릴줄알았는디 주말끼고 3일만에오내요? 강추합니다,2
ksg6***,색상: 블랙,20250511,5,,레전드레전드 배송 거의 6일안에 온거 같네요! 다른 사이트에서 2주넘게 기다리다가 한번 더 시켰는데 여기가 환불보다 더 빨리왔어요! 잘 쓰겠습니다 감사합니다!,2
skad********,색상: 블랙,20250512,5,,하얀색이 품절이라 검은색으로 구매했는데 아주 좋아요 그냥 더 비싸게 사능것보다 여기서 구매하는게나을듯 근대 청소면봉 같은건 따로같이안오더라구여,2
choj*****,색상: 블랙,20250510,5,,배송 좀 기다려서라도 살만한 색상이에요,2
zozo****,색상: 블랙,20250511,5,,배송도빠르고 좋아요,2
impa****,색상: 노알블랙,20250428,5,,해외배송 취곤 엄청빠른배송이네요 잘 사용하겠습니다 감사합니다 ~~~,2
impa****,색상: 노알블랙,20250428,5,,해외배송 취곤 엄청빠른배송이네요 잘 사용하겠습니다 감사합니다 ~~~,2
xx****,색상: 블랙,20250510,5,,배송이 매우 빠르네요,2
ehdn*****,색상: 화이트,20250508,5,,배송 빠르고 좋아요,2
kimw********,색상: 블랙,20250512,5,,나이숴 드뎌받았다 넘좋다리,1
cera*******,색상: 화이트,20250505,5,,상품이 깨끗하네요~~ 싸게 사서좋습니다~~,2
gns0****,색상: 블랙,20250508,5,,배송이 빨라서좋네요,2
wio2****,색상: 블랙,20250510,5,,세련된 블랙색상 굿굿,2
jhl4***,색상: 비앙카 화이트,20250429,5,,2.0 잃어버려서 구매했는데. 배송도 빠르고 좋습니다.,2
taes*****,색상: 블랙,20250505,5,,새제품 깔끔하게 와서 좋아요,2
jaeh********,색상: 블랙,20250510,5,,해외배송인데 연휴끼고 5~6일이면 도착하네요 배송 빠르고 새상품 예쁘게 포장해주시네요,2
wnsg*****,색상: 노알블랙,20250427,5,,배송도 빠르고 좋아요 또 구매할께요,2
hj95***,색상: 비앙카 화이트,20250429,5,,배송개빨라요 상태도 쵝오,2
tmfd*****,색상: 블랙,20250509,5,,릴 사고싶었는데 노란색 빨긴색은 싫었거든요ㅜㅜ 근데 저렴하게 원하는 색을 살 수 있어서 좋앗습니다,2
be****,색상: 비앙카 화이트,20250425,5,,잘쓸께요~ 감사합니다~,2
meis*******,색상: 노알블랙,20250428,5,,배송 빠르고 감사합니다!,2
endl*******,색상: 블랙,20250510,5,,잘받았어요 배송도 빨라요 진심,2
njs0***,색상: 블랙,20250512,5,,배송도 빠르고 사용해보니 만족입니다,2
ou****,색상: 블랙,20250512,5,,배송빠르고 같은제품 잘 샀습니다,2
choi********,색상: 블랙,20250509,5,,연휴랑 겹쳐있었는데 생각보다 빨리 왔어요,2
hyeo*********,색상: 블랙,20250512,5,,2.0쓰다가 3.0쓰니 훨씬 좋네요 감사합니다,2
oj****,색상: 블랙,20250507,5,,색상 너무 이쁘네여 배송도 빠르구,2
mo****,색상: 블랙,20250510,5,,해외배송인데 빨리 오네요,2
hd****,색상: 화이트,20250508,4,,다 좋은데 일본발매품은 스틱 재사용이 안되네요ㅠㅠ,3
kth8******,색상: 블랙,20250511,5,,배송도 빠르고 좋습니다.,2
thec******,색상: 블랙,20250512,5,,포장도 꼼꼼하고 제품도 좋네요!!,1
red_****,색상: 화이트,20250503,5,,배송 빠르고 아직 미개봉이지만 고장없이 잘 썼으면 좋겠어요,2
tmda******,색상: 화이트,20250509,4,,못구하거있을때 나타났네요,2
aeun****,색상: 화이트,20250507,5,,배송도 빠르고 좋습니다,2
tmda******,색상: 블랙,20250509,5,,못구할때 딱 나타나버리네요!,2
cndg*****,색상: 블랙,20250507,5,,생각보다 일찍왔네요,2
sh_l****,색상: 블랙,20250506,5,,생각보다 빠름 배송이 ㅋ,2
hera****,색상: 비앙카 화이트,20250429,5,,너무맘에들어요감사합니다,2
ggto*****,색상: 블랙,20250503,5,,상품 잘 받았습니다,3
mave******,색상: 블랙,20250503,5,,이렇게 구매하는게 진리네요^^,2
mave******,색상: 블랙,20250503,5,,이렇게 구매하는게 진리네요^^,2
zkdl***,색상: 화이트,20250430,5,,최신형인거같아요 아주 좋아요,2
