작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
xmfk***,컬러: 비앙카화이트,20250509,5,,배송도 빠르고 기능도 문제없이 잘 작동합니다. 색이 참 이쁘네요. 잘 쓰겠습니다.,0
wldb*****,컬러: 비앙카화이트,20250305,5,,연초랑 이별하고 싶어서 구매했는데 매우 만족입니다. 손안에 들어오는 그립감도 좋구 아이*스처럼 찐담배 냄새도 안나고 좋네요~ 화이트가 다른색상보다 찌끔 비쌌지만 고급지고 예뻐요^^ 개인적으론 매우만족이네요~,1
leem********,컬러: 비앙카화이트,20250417,5,,확실히 믿고 쓰는 릴입니다 하지만 액상 누수는 2.0이랑 다를게 없네요 누수는 어쩔수 없나봐요 누수 말고는 좋습니다,0
mghg****,컬러: 비앙카화이트,20250411,5,,배송 정말 빠르네요~~ 기기도 이상 없습니다 ㅎㅎ 감사합니다.,0
chop****,컬러: 비앙카화이트,20250314,5,,실내에서 피기 딱 좋은거같아요. 찐내도 안나고ㅎㅎ아주 좋아요 잘 사용하겠습니다,0
josh*****,컬러: 비앙카화이트,20250501,5,,뽑기운 굿 ㅎㅁㅎ/,0
whit***,컬러: 비앙카화이트,20250419,5,,배송빠르고 좋습니다,0
wnsg*******,컬러: 비앙카화이트,20250413,5,,잘 됩니다 배송도 빨ㄹ랐고 만족합니다,0
kx21***,컬러: 비앙카화이트,20250210,5,,"일단 연초에서 갈아타기는 성공! 처음에 한 2주 정도는 연초랑 병행하게 되면서.. 아 이렇게 해서 연초에서 넘어갈 수 있나? 생각하여 실패한 친구와 성공한 친구들에게 전화를 해서 물어봄 어떻게 그렇게 되었냐? 물어보니 성공한 친구들은 연초의 그 타격감을 대체 할 수 있는건 없다 하지만 뭐 ""상황""이 성공과 실패를 가를것이다 아!? 결국 대체가 되냐? 굳이?라는생각과 상황이면 실패 아 담배는 못끊겠는데 냄새를 풍기면 난감한 상황이라믄 성공 일단 결국 전 성공 입냄새, 손냄새 등 냄새가 안나서 너무 좋습니다!! 실패한 친구한테 기기도 하나 얻어서 2개 돌리고 있어요. 1개로도 충분하긴한데 친구테 받은건 메인기기가 액상이나 충전이 애매할 때 서브로 쓰고 있어요.",0
pj****,컬러: 비앙카화이트,20250413,5,,배송도빠르고좋아요.,0
ishi********,컬러: 비앙카화이트,20250408,5,,잘쓰겟습니다. 빠른배송좋아요,0
rh****,컬러: 비앙카화이트,20250316,5,,너무좋아용. 역시 전담은 릴이네요^^,0
diqk****,컬러: 비앙카화이트,20250310,5,,너무 좋습니다. 감사합니다.,1
foem****,컬러: 비앙카화이트,20250327,1,,3일도안되서 화면안나옴 업체에 전화했더니 as센터가라함 재구매예정없음,0
soll****,컬러: 비앙카화이트,20250319,5,,좋아요 고장도 안나고 잘 사용하고 있습니다,0
dkrm****,컬러: 비앙카화이트,20250323,5,,색이 예뻐요 잘쓰고있어요,0
anjm****,컬러: 지알로옐로,20250321,5,,잘사용하고 있습니다.감사합니다.,0
dbs3*****,컬러: 비앙카화이트,20250331,5,O,기기도 예쁘고 좋습니다!!!,0
tyui******,컬러: 비앙카화이트,20250326,5,,와이거진짜 너무조아,0
lees********,컬러: 비앙카화이트,20250226,4,,색상 맘에 안들엇는데 잃어버린기에 새로 구입 좋습니다 엳시 화이트가 진리쥬,0
sksm******,컬러: 비앙카화이트,20250224,5,,연초에서 바로넘어왔네요~거부감없이 잘사용하고있어요~뭐가좋은거라고ㅋㅋ연초생각날줄알았는데 전혀생각안나요~액상이있어서 그런것같아요..이러다 1.2년쯤 금연도 도전....ㅋㅋㅋ,1
chlq*****,컬러: 비앙카화이트,20250301,5,,너무 이쁘고 만족합니다,0
aaaa*******,컬러: 비앙카화이트,20250219,5,,배송빠르고 색상도좋네요 감사합니다,0
bisc***,컬러: 비앙카화이트,20250209,5,,편의점보다 가격이 더 싸서 좋아요! 노란색 쓰다가 흰색 사봣는데 깔끔하고 예뻐용ㅎㅎ,0
kh****,컬러: 비앙카화이트,20250202,5,,아쥬 구굿 색깔 넘 이쁨 원래 쓰던 노란색이 고장나서 새로산건데 흰색인지라 흡집나면 맘 아플것같아요 ㅠ 케이스 사던가 해야지,1
jhee*******,컬러: 비앙카화이트,20250317,5,,쓰기 편해요 디자인좋아요.,0
ad****,컬러: 비앙카화이트,20250216,5,,2.0 쓰고 있다 잃어버려서 새로 샀는데 너무 만족하고 잘 쓰고 있습니다,0
tjdd*****,컬러: 비앙카화이트,20250213,5,,배송도 엄청 빠르고 안전하게 잘 도착했습니다,0
mrcj*****,컬러: 비앙카화이트,20250215,5,,잘 사용할게요 배송빨라요,1
gh****,컬러: 비앙카화이트,20250310,5,,쓸만하네요. 계속 사용해 볼께요,0
jung*****,컬러: 비앙카화이트,20250310,5,,색상도 이쁘고 너무 좋습니다!!,0
qkdt*******,컬러: 비앙카화이트,20250210,5,,조아요 잔고장도 없고 잘쓰고익어요,0
emee***,컬러: 지알로옐로,20250306,5,,배송도빠르고좋은것같아요^^,1
onji****,컬러: 비앙카화이트,20250307,5,,깔끔하니 맘에들어요,0
jhee*******,컬러: 누아르 블랙,20250325,5,,조아요.조아요 .조아요.,0
blee****,컬러: 비앙카화이트,20250211,5,,편의점 보다 훨씬 저렴하구 좋아요,0
woul****,컬러: 누아르 블랙,20250305,4,,선물인데 마음에 드셨으면 좋겠습니다.,0
woul****,컬러: 비앙카화이트,20250305,4,,선물인데 마음에 드셨으면 좋겠습니다.,0
jinm*****,컬러: 비앙카화이트,20250219,5,,좋아요 배송빠르구 득템한듯,0
heew*****,컬러: 비앙카화이트,20250210,5,,빠른배송 감사합니다!!😆,0
zpsw***,컬러: 비앙카화이트,20250221,5,,잘도착했고 처음써보는데 상당히 만족스럽네요,0
de****,컬러: 비앙카화이트,20250301,5,,예상했던대로 좋아요,0
kjl0***,컬러: 비앙카화이트,20250207,5,,배송도 빠르고 너무 이뻐요,0
unho****,컬러: 누아르 블랙,20250221,5,,내구도 괜찮고 연초 끊는 데 도움이 많이 되는 것 같아요,0
pchc*****,컬러: 비앙카화이트,20250215,4,,색갈이 이쁘네요 뚜껑이 약간 편차가있습니다,0
euns*******,컬러: 비앙카화이트,20250117,5,,2.0쓰다 오래써서 바꿨는데 좋네요~ 디자인도 깔끔하고 배터리도 몇프로 남았는지 확인가능한게 편하고 일시정지 모드 너무 좋아요~,0
pooh******,컬러: 비앙카화이트,20250221,5,,저렴한가격에 구매했어요 굿굿,0
dnjs*******,컬러: 비앙카화이트,20250225,5,,역시담배는 릴하이브리드,0
bhch***,컬러: 비앙카화이트,20250210,5,,배송 빠르고 잘 쓰고 있습니다 투명케이스가 바싸서 고민했지만 정품케이스고 좋네요 많이 파세요,0
aran****,컬러: 비앙카화이트,20250205,5,,"블랙,화이트 이쁩니다",1
rlag*******,컬러: 비앙카화이트,20250217,5,,배송 빠르고 깨끗하게 잘 왔어요,0
adid*****,컬러: 비앙카화이트,20250214,5,,하나를 잃어 버린 후 2번째 구입이네요 .. 잘 사용 하겠습니다.,0
jieu*****,컬러: 누아르 블랙,20250114,5,,쓰던게 고장나서 편의점가서 구매할까 고민했는데~선택 잘했어요~배송빠르게오고~,0
zetb****,컬러: 비앙카화이트,20250223,5,,릴 너무 좋습니다 굿굿,0
tlvk*****,컬러: 비앙카화이트,20250220,5,,배송도빠르고좋습니다!,0
qhfx*****,컬러: 비앙카화이트,20250116,5,,연초끊어보려고 갈아탔어요 색상 고급지고 이쁘네요 고장없이 잘됩니다,1
dmsg******,컬러: 비앙카화이트,20250223,5,,잘사용하고있어요~~,0
ehd1*****,컬러: 비앙카화이트,20250203,5,,엉청 잘쓰고 있어요!!!!,0
kgws*********,컬러: 비앙카화이트,20250211,5,,너무 이뻐용 여자친구가 만족해요 !,0
ayou******,컬러: 비앙카화이트,20250219,5,,2.0 쓰다가 3.0쓰니 너무 편하네요ㅎㅎ,0
0_****,컬러: 비앙카화이트,20250127,5,,고장도 안나고 튼튼하네요,0
benz*****,컬러: 비앙카화이트,20250126,5,,너무좋아요오오 ㅎㅎ 만족,0
star*******,컬러: 비앙카화이트,20250121,5,,좋은데 빨리는것도 그렇고 영 시원찮네요,0
dmsg*****,컬러: 비앙카화이트,20250212,5,,유럽여행 전 구매했는데 좋아요.,0
have*****,컬러: 비앙카화이트,20250117,4,,카트리지 제거 버튼이 한번 눌렀는데 함몰되어 나오지 않음 한번 떨어뜨렸는데 고쳐짐..,0
leem********,컬러: 비앙카화이트,20250209,5,,색깔도 예쁘고 기대 이상이에요,1
gogu******,컬러: 비앙카화이트,20250211,5,,잘쓸게요 감사합니다아12345567,0
phot*****,컬러: 카민레드,20250212,5,,만족합니다 좋습니다,0
star*******,컬러: 비앙카화이트,20250210,1,,빨리는 것도 시원찮고 담배들 맛도 영 별로네요,0
june*****,컬러: 비앙카화이트,20250206,5,,빠른 배송 감사합니다~ 잘 쓸게용~,0
sinc*****,컬러: 지알로옐로,20250125,5,,배송 빠르네요~!!,0
zsou******,컬러: 비앙카화이트,20250202,5,,고장나서 급하게시켰는대 배송도빨리오고 좋아요,0
22ye***,컬러: 비앙카화이트,20250115,5,,담배는역시릴하이브리드3.0역대급냄새가안나서좋아요,0
shot****,컬러: 비앙카화이트,20250104,4,,선물용으로 구매. 실제 사용하지 않아 사용 리뷰가 없네요.,0
