작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
whsl****,컬러: 코지 버건디,20250409,5,,"릴 솔리드 쓰다가~ 청소 귀찮아서 엑스퍼 쓰다가~ 요번에 할인하길래 릴 에이블 2.0 한번 사봤어요. 가격대비 나쁘진 않은데 그렇다고 베스트까지는 아닌 것 같아요. 어느정도 느낌인지 제가 사용해본 제품들 중에서 비교 해볼게요. 솔리드랑 엑스퍼 사용해보신 분들은 참고하시면 좋을 것 같아요! * 개인적으로 담배 맛이랑 목넘김이 젤 중요하다고 생각해요! 그래야 연초 생각이 안나거든요. 연초 끊고 전담으로 완전히 갈아타려고 하시는 분들은 타격감, 맛 진한 제품을 쓰는 게 좋아요. -------------------------------------------- - 디자인 1위 : 릴 에이블 2.0 디자인은 호불호의 영역이지만 가장 세련되지 않았나 싶어요! 옆면이 둥글둥글하면서 글래스 소재로 되어있어서 엣지 디스플레이? 느낌이 나요 ㅎㅎ (그만큼 떨어뜨리면 어찌될지 무섭긴함…O_O) - 연무량, 타격감 1위 : 엑스퍼 3.0 청소도 필요 없는 데다가 가열하는 온도가 제일 높아서 연무량도 세 제품중에 제일 좋아요. 가격이 조금 비싸긴 하지만 충분히 그럴만하다고 생각이 드는 제품! 입문하는 분들 한테는 부담스러울 정도로 묵직할 수 있어요. 그럴 땐 온도 낮춰서 타격감 줄이기! :-) 릴 에이블 2.0의 리얼 종류가 가장 세다고 하는데도 엑스퍼 3.0보다는 훨씬 약하게 느껴져요. 연초를 사용하는 듯한 녹진한 맛이 부족한 느낌?! - 맛 1위 : 릴 솔리드 2.0 날을 꽂아서 직접 가열시키는 방식이라 맛이 훨씬 진하게 느껴지는 것 같아요. 단점은 청소도 자주 해줘야하고 탄내도 많이 난다는 거 그리고 핏 스틱은 이제 버려졌는지 신제품이 잘 안나오네요.. T_T 그래도 궐련형 전자담배 입문 제품이라 그런지 괜히 더 애착가는 전담이에요. 요즘에도 가끔 생각나면 펴요! 핏 스틱은 체인지 샷을 제일 자주 사용했는데, 릴 에이블 스틱 중에서는 그래뉼라 아이스노우가 비슷하겠네요. - 릴 에이블 2.0 장단점 1. 다양한 스틱 리얼, 그래뉼라, 베이퍼 세가지 스틱이 주는 느낌이 아예 다르다는 것도 장점이예요. 베이퍼는 한번 사놓고 안쓰고 리얼이랑 그래뉼라만 쓰긴 하지만 그래도 매력적인 맛이 많은 것 같아요. 2. 약한 배터리 다만 배터리가 정말 너무 약해요..! 가끔 꽂았다가 아 그냥 안펴야지 하고 바로 뺄때도 있거든요. 그럼 5%가 뿅 사라져있어요 :-O 처음에 웅 하면서 바로 배터리가 닳게 프로그래밍 되어있나봐요.. 15개비 정도 사용하면 거의 다 닳는데, 2갑 가까이 사용할 수 있는 엑스퍼 3.0이랑 비교하면 좀 아쉬워요 T_T 3. 14모금이 안되는 사용 시간 분명 14모금이 표시되어 있는데 10모금 정도 피면 아무것도 안들오는게 확 느껴져요. 뭔가 목에 넘어가는 느낌은 나는데 좀 역한..? 기기 하자가 아니라 스틱에 너무 잎을 적게 집어넣은게 아닐까 싶어요 =_= 아마 릴 에이블 2.0 사용해보신 분들이면 다 공감하실듯해요. 4. 심한 발열 발열이 제품 세개중에서 가장 심해요. 검색해보니 히팅 방식 때문에 어쩔수 없다고는 하는데.. 그래도 정말 심한 편! 클래식으로 하면 더더욱 심해지는 발열 :-O 5. 깔끔한 맛 그래도 맛은 셋 중에서 제일 깔끔한 듯해요! 상큼한 맛의 스틱은 셋 중에서 제일 잘 어울렸어요. 텁텁한 맛이 안남고 달달하고 상큼한 향이 진하게 들어와서 맛있게 쓸 수 있는 것 같아요. ----------------------------------------- 정가에 구매했으면 조금 아쉬웠겠지만 그래도 5만원대로 구매해서 나름 만족하고 사용하고 있어요! 평소에는 엑스퍼 쓰다가 상큼하고 달달한 맛 원할 때 에이블로 환기해주는 느낌으로 쓰거든요. 릴 에이블은 발열, 연무량, 배터리 문제 해결하면 조금 비싸지더라도 살 의향 있어요! ^_+",3
sony***,컬러: 코지 버건디,20250509,5,,전반적으로 만족합니다. 디자인은 마음에 드네요 나머지는 사용해봐야 알겠네요.,0
ferr*****,컬러: 코지 버건디,20250508,4,,릴에이블 1.0쓰다가 배터리가 빨리 닳아서 교체 했는데 연무랑은 기존 제품이 더 좋은데 디스플레이도 나오고 기존 기기보다는 좋네요. 담배 하나 피면 배터리 4프로 닳는거 빼고는 좋은듯 합니다,0
rn****,컬러: 코지 버건디,20250507,5,,저렴하게 잘 샀어요. 카운팅 오류가 종종 있던데 다행히 괜찮은듯 합니다.,0
skdn***,컬러: 코지 버건디,20250503,5,,전 모델보다 디자인이 깔끔하네요....기능적인 면에서는 연무량이 조금 더 적어진 느낌이에여...나머지는 만족해요!!,0
dhdb********,컬러: 코지 버건디,20250426,5,,밧데리가 좀 빨리 없어지지만 좋아요~ 지인 추천 해서 지인도 샀어요~~~ 대박 나세요 감사합니다,0
kood***,컬러: 코지 버건디,20250510,5,,이것저것 전자담배 기계들 사서 사용했는데 이번이 마직막이라 생각하고 구매. 연기와 타격감이 좋다고 합니다.,0
kws0***,컬러: 코지 버건디,20250511,5,,그립감좋아요 색감도 좋구요,0
od****,컬러: 코지 버건디,20250510,5,,배송이 빨라요. 제품도 좋아요.,0
ka****,컬러: 코지 버건디,20250428,4,,에이블1.0쓸때보다 사용하기편하고 좋아요 맛은 사람마다 다르겠지만 괜찮은것 같아요 가격 저렴한것도 좋구요,0
