작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
wnal******,릴 하이브리드3.0: 누아르 블랙,20250414,5,,배송 빠르고 좋아요,0
sinp***,릴 하이브리드3.0: 누아르 블랙,20250417,5,,컬러 너무 마음에 들고 잘 사용하고 있습니다. 한달후기 대만족이에요. 연초 생각이 아예 안납니다.,0
allk*******,릴 하이브리드3.0: 누아르 블랙,20250430,4,,상품 좋아요 재송빠르고 좋아요,0
chlw******,릴 하이브리드3.0: 누아르 블랙,20250418,5,,그냥 예쁩니다 감사합니다 배송 빠르고 좋아요,0
syer***,릴 하이브리드3.0: 누아르 블랙,20250424,5,,선물로 구매했는데 잘 썻다고하네요,0
wjs2*******,릴 하이브리드3.0: 누아르 블랙,20250331,5,,배송도 빠르고 만족스러워용,0
rlat********,릴 하이브리드3.0: 누아르 블랙,20250420,5,,이 색이 구하기가 좀 힘들어요,0
rnjs********,릴 하이브리드3.0: 누아르 블랙,20250415,5,,색도 이쁘고 작동이 잘되네요,0
vmff*****,릴 하이브리드3.0: 누아르 블랙,20250415,5,,냄새가 깔끔해서 너무 좋아요,0
jeon******,릴 하이브리드3.0: 비앙카 화이트,20250317,5,,남자친구가 커플로 같이 사줬는데 문제없고 너무 쥬아요,0
jeon******,릴 하이브리드3.0: 누아르 블랙,20250317,5,,배송도 빠르고 포장도 너무 꼼꼼했어요!!,1
bill*****,릴 하이브리드3.0: 누아르 블랙,20250316,5,,고장 없이 잘 쓰고 있어요~ 잘 산거 같아요~,0
hsj8***,릴 하이브리드3.0: 누아르 블랙,20250407,5,,잔고장없음 사용감 좋음,0
sinp***,릴 하이브리드3.0: 누아르 블랙,20250309,4,,배송 빠르고 물건 정확합니다. 만족합니다.,0
khe8*****,릴 하이브리드3.0: 누아르 블랙,20250406,5,,잘 받았습니다. 잘 쓸게요~,0
iy****,릴 하이브리드3.0: 누아르 블랙,20250401,5,,깔끔하고 좋은 상품 빠르게 배송 잘 받았습니다 ~~,0
dd****,릴 하이브리드3.0: 누아르 블랙,20250313,5,,빠른배송 물건도 잘 왔어요,0
12****,릴 하이브리드3.0: 누아르 블랙,20250309,5,,🎁했는데 좋아해서 저도 좋네요:),1
meis*******,릴 하이브리드3.0: 누아르 블랙,20250324,5,,너무 잘쓰고있어요 최고,0
baeg*******,릴 하이브리드3.0: 누아르 블랙,20250213,5,,기존에 빨간색 썼는데 바꿀때 되어서 다시 검정으로구매했어요.깔끔하고 맘에 들어요^^,0
whdd*****,릴 하이브리드3.0: 누아르 블랙,20250228,5,,배송도 빠르고~ 잘샀어요~,0
tali****,릴 하이브리드3.0: 누아르 블랙,20250221,5,,배송 빠르고 좋습니다 제품도 만족합니다,1
hd****,릴 하이브리드3.0: 누아르 블랙,20250323,5,,고장없이 잘 쓰고있어요,0
elec******,릴 하이브리드3.0: 누아르 블랙,20250312,5,,"2.0버전 사용 후 3.0으로 이어서 사용해봤는데, 표시해주는 정보도 많고 무엇보다 3가지 모드 전환 기능이 있어 좋았음",0
sood****,릴 하이브리드3.0: 누아르 블랙,20250314,5,,빠른배송감사합니다 잘쓸게요 ~~^^,0
pooh******,릴 하이브리드3.0: 누아르 블랙,20250206,5,,편의점보다 훨씬싸요ㅎㅎ 2.0이 거의 10만원하길래 취소하고 여기서 구입했어요 색상은 무난하게 블랙했는데 심플하고 딱제취향이네요 안질릴듯ㅋ,0
eoj4***,릴 하이브리드3.0: 누아르 블랙,20250221,5,,모드별로 영무량도달라지고 카트리지벼로 사용기간이 달라 좋네요,0
biom******,릴 하이브리드3.0: 카민 레드,20250319,5,,불량없이 잘쓰고 있어요,0
dltn*******,릴 하이브리드3.0: 누아르 블랙,20250222,5,,배송도 빠르고 만족합니다.,0
biom******,릴 하이브리드3.0: 누아르 블랙,20250319,5,,아직까진 잘씁니다.,0
thug***,릴 하이브리드3.0: 누아르 블랙,20250217,5,,기존 제품 파손으로 재구매했는데 만족합니다.,0
tomb*****,릴 하이브리드3.0: 누아르 블랙,20250310,5,,1년조금 사용하니 고장나고 a/s도 한번뿐이라 제주문했어요,0
myfo*****,릴 하이브리드3.0: 누아르 블랙,20250216,5,,좋은상품 빠른 배송 감사합니다.,0
kang***,릴 하이브리드3.0: 비앙카 화이트,20250227,4,,"깔끔한 디자인과 사용편리~ 담배 줄여야하는데...T.T 그래도, 일반 연초에 비해서는 괜찮은거 같네요~",1
dd****,릴 하이브리드3.0: 누아르 블랙,20250213,5,,지인 선물용으로 샀어요 블랙 깔끔하니 좋네요,0
ds****,릴 하이브리드3.0: 누아르 블랙,20250214,3,,목넘김이 좀 약하긴 한데 냄새 안나서 좋아요,0
alsw****,릴 하이브리드3.0: 누아르 블랙,20250308,5,,친구가 구매 요청해서 사줬는데 좋다고 하네요,0
medi*****,릴 하이브리드3.0: 누아르 블랙,20250215,5,,이지쓰다 고장나서 샀는데 잘쓰고 있습니다 ㅎㅎ,0
wlsg******,릴 하이브리드3.0: 누아르 블랙,20250308,5,,좋습니다^^ 잚슬게요,0
suha****,릴 하이브리드3.0: 누아르 블랙,20250309,5,,신랑생일선물로 잘 주었어요.,0
e9****,릴 하이브리드3.0: 누아르 블랙,20250212,5,,좋습니다 만족중입니더,0
k451***,릴 하이브리드3.0: 누아르 블랙,20250204,5,,잘받았어요오요오요오,0
rhkd******,릴 하이브리드3.0: 누아르 블랙,20250206,5,,잘쓸게요 감사합니다,0
ninj*****,릴 하이브리드3.0: 누아르 블랙,20250223,4,,잘사용하고 있습니다 빠른배송으로 만족 합니다,0
80****,릴 하이브리드3.0: 누아르 블랙,20250224,5,,일단 연초의 냄새에서 벗어날수있어 좋습니다,0
meis*******,릴 하이브리드3.0: 누아르 블랙,20250203,5,,배송 진짜 빨라요 감사합니다!!~!,0
wlgu********,릴 하이브리드3.0: 누아르 블랙,20250224,5,,기계상태 기스도 없고 좋네요!,0
