작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
yepp*****,컬러: 코튼 화이트(액상팟 포함x),20250509,5,,화이트깔끔하고 고급지고예뻐요^^ 잊어버려두번째구매인데 화이트사기를잘한거같아요,0
wpar***,컬러: 이클립스 블랙(액상팟 포함x),20250509,5,,굳굳 잘쓸게여 ㅎ 무니코틴 검증안된거 쓰면서 부작요우때문에 고민할거면 이게 정답인거ㅜ같라여 감사합니다,0
xi****,컬러: 밀키 블루(액상팟 포함x),20250510,4,,배송이 빠릅니다. 하카 대리점이 많이 생겨서 접근성도 좋아졌기에 하카 전자담배 추천합니다,0
rain*******,컬러: 코튼 화이트(액상팟 포함x),20250506,5,,꾸준히 쓰고있습니다 덕분에 연초도 끊게되었구요 가격도 색상 만족해요 다만 내구성이..,0
kjy4***,컬러: 이클립스 블랙(액상팟 포함x),20250509,5,,대기없이 바로 사용할수 있어 좋고 주머니에 쏙 넣고다니기 좋아요,0
2red***,컬러: 이클립스 블랙(액상팟 포함x),20250511,5,,휴대하기 편한 심플한 디자인~ 타 전담에 비해 흡입시 액상 튐이 거의 없어요,0
skdu********,컬러: 밀키 블루(액상팟 포함x),20250501,5,,색상도 쨍하고 예뻐요ㅋㅋㅋ 때가 좀 탔지만 개의치 않습니다. 기존 다른 전담에 비해 부피도 작고 편리해요,0
99lw*****,컬러: 밀키 블루(액상팟 포함x),20250429,5,,배송 총알배송이네요 기존에 쓰던거랑 번갈아 사용하려고 주문했는데 좋아요,0
blue***,컬러: 코튼 화이트(액상팟 포함x),20250425,5,,흰색 좋아하는데 흰색 넘 이쁨🤍 5핀짜리 케이스때부터 썼는데 핑크.블랙.네이비.빨강.초록...등 여러컬러 써봤지만 화이트가 젤루 고급지구 이뻐요. 근데 이염이나 때는 잘 탈꺼 같아요.,0
kk****,컬러: 밀키 블루(액상팟 포함x),20250510,5,,빠른 배송 매우 감사합니다!,0
6334***,컬러: 코튼 화이트(액상팟 포함x),20250508,5,,손에 착 감기는게 컴펙트하고 그립감 좋아요,0
star*******,컬러: 코튼 화이트(액상팟 포함x),20250506,5,,"잃어버려서 샀는데 또 잃어버렸음 ㅜㅠㅠ 크기가 작아서 그런가,,",0
min5*****,컬러: 이클립스 블랙(액상팟 포함x),20250426,5,,권렬에서 액상으로 넘어가는 중 입니다. 주변분들 추천 받아 구매했는데 액상은 오프 구매밖에 없다는게 조금 불편하기는 해요 ㅜㅡㅜ,0
jinc*******,컬러: 밀키 블루(액상팟 포함x),20250508,5,,액상이 입에 묻지않아서좋고 향도 좋아요,0
ll****,컬러: 코튼 화이트(액상팟 포함x),20250430,5,,색 너뮤 예뻐유!!!!!! 그전 기계 잃어버려서 샀는데 그전 기계를 찾아서 두개로 피려구요 ㅋㅋ,0
ssto******,컬러: 이클립스 블랙(액상팟 포함x),20250511,5,,그립감 최고네요 샥상 도한 너무 ㅇ0ㅖ1ㅓ요 무뢍이라 더 예ㅡㄴ어 같아요,0
