작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
gu****,옵션선택: 티파니,20250418,5,,"전자담배 입문부터 기변 고민까지? 젤로 맥스 하나면 끝입니다! 💨💖 전자담배를 처음 써봤던 건 벌써 10년 전이에요. 초창기 전담인 저스트XX부터 젤로까지 다양한 기계를 써봤었습니다. 그런데 요즘은 편의점 일회용 제품부터 다양한 기기들이 나오면서 다시 흥미가 생기더라고요. 그러다 알게 된 젤로 맥스, 결과적으로는 디자인, 성능, 가성비까지 모두 만족한 인생 전자담배가 됐습니다! ✅ 크기 & 그립감 – 상상 이상으로 작고 고급스러움 사이즈 알고 구매했는데, 직접 받아보니 생각보다 훨씬 작고 고급지다는게 게 첫 느낌이에요. 한 손에 쏙 들어오는 그립감 덕분에 사용감이 정말 편안하고, 컬러와 재질의 조합이 고급집니다. 특히 앞뒤 로고 색이 다른 디테일이 포인트인 것 같아요! 🔋 배터리 성능 – 하루 종일도 거뜬! 나름 대용량 배터리라서 한 4~5일 사용해도 충분한 것 같습니다. 예전 제품들은 충전 자주 해야 해서 너무 불편했는데, 이건 충전 텀이 길어서 괜찮아요. USB-C 타입이라 충전도 빠르고 간편합니다. 💨 연무량 & 흡입감 – 초보자부터 숙련자까지 모두 만족 무엇보다도 풍부한 연무량이 정말 인상적이에요. 발라XX처럼 너무 세지도 않고, 아XX처럼 부족하지도 않은 딱 알맞은 밸런스. 처음 사용하는 분도 부담 없이 쓸 수 있고, 전담 좀 써본 분들도 충분히 만족할 만해요. 😋 액상 맛 & 팟 – 깔끔하고 깊이 있는 맛 표현 팟도 넉넉한 용량 덕분에 액상 자주 리필 안 해도 되고, 맛 표현이 정말 잘 돼요! 특히 기존 젤로 제품보다 조금 더 풍부하게 느껴졌던 것 같아요 🧩 누수 없음 & 마감 퀄리티 – 안정감 최고 사실 누수가 많다는 리뷰가 있어서 걱정을 조금 했었는데 아직까지는 사용하면서 누수 전혀 없습니다. 팟 마감도 깔끔해서 믿고 쓸 수 있어요. 1주일 정도 써봤지만 지금까지 단 한 번도 불편한 점 없었고, 완성도 정말 높다고 느꼈습니다. 💸 가격 – 이 정도 퀄리티에 이 가격이면 무조건 추천 성능, 디자인, 마감 정도를 생각하면 이정도 가격이면 괜찮다고 생각합니다. 가격 대비 만족도가 너무 높아서, 저처럼 고민 중이셨던 분들께 꼭 추천드리고 싶어요. 다음에는 레이저 색상으로 하나 더 구매할 생각입니다 😊 💬 총평 ✔ 작고 세련된 디자인 ✔ 하루 종일 가는 배터리 ✔ 누수 없는 안정성 ✔ 풍부하고 부드러운 연무 ✔ 퀄리티 대비 합리적인 가격 지금까지 써본 전자담배 중에서 가장 완성도 높고 만족도 높은 제품이에요. 처음 전자담배 입문하시는 분부터, 기기 바꾸고 싶은 분들까지 젤로 맥스는 무조건 추천드립니다!",0
eras******,옵션선택: 블라썸,20250417,5,,"인생 첫 액상 전자담배, 젤로맥스 블라썸 색상 후기! 저는 연초면 수 년째 폈었는데요, 요즘 주변에서 전자담배 쓰는 친구들이 많고 냄새도 많이 신경쓰여 고민 끝에 저도 처음으로 액상 전자담배에 입문하게 되었어요! 제가 선택한 색상은 블라썸인데요! 남자는 역시 핑크죠ㅎㅎ 짙은 핑크 컬러가 너무 고급스러워서, 들고 다니는 것만으로도 만족도 굿! 처음 사용하는 액상 전담이라 살짝 걱정했는데, 생각보다 훨씬 만족스러워요. 연초만 피다가 젤로맥스를 쓰고 나서는 연초보다 훨씬 깔끔하고 부드러운 맛에 놀랐습니다. 불쾌한 담배 연기 냄새도 거의 없고, 입 안에 남는 텁텁함도 없어서 일상생활에서 사용하기 훨씬 쾌적해요. 특히 실내에서도 민폐 없이 사용할 수 있다는 점이 큰 장점인 것 같아요! 디자인도 슬림하고 가벼워서 주머니나 가방에 쏙 들어가고, 충전도 USB-C 타입이라 편리고 가성비도 나쁘지 않아서 전자담배 입문자에게 딱 좋은 제품 같아요. 처음 전자담배 고민하시는 분들, 특히 디자인이나 컬러도 중요하게 생각하신다면 젤로 맥스 블라썸 강력 추천드립니다!",0
jci1***,옵션선택: 스페이스그레이,20250502,5,,"젤로 맥스를 한달동안 직접 사용해본 결과, 기대 이상으로 만족스러웠습니다. 기존에 사용하던 일회용 전자담배보다 배터리 성능이 뛰어나 하루 종일 충전 없이 사용할 수 있었고, 액상 용량도 넉넉해 자주 리필할 필요가 없었습니다. 장점 ✅ 긴 배터리 수명 – 하루 종일 사용해도 배터리가 넉넉하게 유지됨 ✅ 풍부한 맛 – 맛 표현이 풍부하며, 연무량이 많아 만족스러움 ✅ 부드러운 흡입감 – 타격감이 적당해서 부담 없이 즐길 수 있음 ✅ 세련된 디자인 – 손에 쥐었을 때 그립감이 좋고 고급스러운 느낌 젤로 맥스는 기존 전자 담배보다 성능이 우수하고 디자인도 세련 된 제품 입니다.. 오래 사용할 전자 담배를 찾고 있다면 강추 합니다.^^",0
dlal*******,옵션선택: 실버,20250504,5,,전에 쓰던 젤로가 캡을 잃어버리기도 하고 1년 반을 썼길래 무난하게 성능좋고 누수 없는 젤로 맥스버전으로 사봤습니다. 3ml에서 4ml로 1ml차이인데도 많이 들어가는게 확연하게 보여서 자주안넣어도 될거 같아 좋습니다! 이 전 젤로가 팟이 잘 떨어져서 잃어버리기도 해서 이 점만 안좋았는데 맥스는 아예 안 쪽으로 탈부착하는거라 잃어버릴 걱정도 없을거 같아요! 흠집나는걸 안좋아해서 케이스는 무조건 끼는 편인데 이 전 젤로 케이스는 뚜껑 길이가 짧았는데 맥스 케이스는 아예 체인으로 길어서 여닫는게 쉬워졌어요. 체인이 쇠라 녹슬지만 않았으면 합니다..! 실버 색상이 깔끔하고 스티커로 꾸미기에도 좋을거 같네요. 잠깐 써봤는데도 흡입력부터 다릅니다.. 믿고 사는 젤로라서 불량 걱정은 크지 않은데 한 달 이용 후기도 쓰러 오겠습니다!,0
blum***,옵션선택: 스페이스그레이,20250508,5,,"여행가서 사용하려고 장만했는데, 여러가지로 만족스럽습니다. 일단 냄새 없어져서 좋고, 담배를 보루로 갖고 다닐 필요가 없어져서 매우 만족합니다. 디자인도 무심한듯 이쁘네요.",0
hana****,옵션선택: 블라썸,20250415,5,,받자마자 너무 이뻐서 맘에들엇어요 색상이 완전이뻐요!!!! 신랑이 여러개중 골라줬는데 저는 디자인보고만 헬베이프꺼 초이스햇는데 설명 후기보니 좋다고하더라구요 받아서 충전후 사용햇는데 맛표현도 잘되고 연기도많이나오구 그립감도좋구 빠지는게없네요 ㅎ 남편이도좋은지 바꾸까?하길래 냅다 도망갔습니다 ㅋㅋ 잘쓸께요^^,1
rhdr****,옵션선택: 실버,20250228,5,,"세련되고 깔끔하구 실물깡패에요✨💖 색상: 7가지 색상(블랙,그레이,실버,블라썸,바이올렛,레이저,티파니)이 일던 조는 전부 다 너무 예쁘고 맘에 들었어요 그 중 실버 바이올렛 레이저 세가지 중 고민했는데 제가 요즘 실버 컬러에 꽃혀 있기도 했고 가장 깔끔하고 세련됐다고 생각해서 실버로 결정했는데 너무 잘한 선택같아요!! 그리구 앞뒤로 로고 색이 다른것도 너무너무 예쁩니다🥹 (다음에 기회가 된다면 레이저도 지르고 싶네욤!!) 사용후기: 배송받고 일주일 사용하고 후기남겨용 일단 저는 불편한점은 하나도 없었습니당 기존에 사용하던 기기가 저가여서 그랬는진 모르겠지만 1년정도 썼는데 사용하면서 누수가 없었던적이 단 한번도 없었어요 그래서 팟을 되게 자주 교체하게 되고 비용도 많이 들었었는데 젤로 맥스는 일주일 쓰면서 누수가 전혀 없었어요 너무너무 대만족!! 기존에 젤로 쓰던 친구가 자기는 누수 전혀 없었다고 얘기 해주긴 했었는데 그래두 불안했었거든요 괜한 걱정을 했네용 헤헤 그리고 팟이 기존에 쓰던거 보다 더 큰것 같아서 액상 넣는 시기도 좀 더 길어져서 좋아요 맛에 관해서도 좀 얘기하자면 친구가 쓰는 기존 젤로랑 젤로맥스랑 비교해서 펴 보았는데 친구랑 저랑 둘 다 젤로 맥스 팟이 쪼금 더 달게 느껴진다고 얘기했어요! 저는 새로 산 젤맥에 너무너무 만족하고 잘 쓰고 있어요 담에 다른 색상으로 하나 더 뽑을 예정입니당💖💖💖",1
jd****,옵션선택: 스페이스그레이,20250328,5,,너무좋아요 최고입니다. 포장상태 보시면 사진 보시면 아시겠지만 잘되어있습니다. 또한 제품 사용하기 너무 쉽고요. 쥬스를 멘솔이랑 타바코 두개 사용하는데요.공기구멍이라고해야하나 그게 조절 가능해 너무 좋습니다. 쥬스에따라 빠는 스타일이 달라서요 ^^ 제가 미국에서 쓰던 제품이 한국에없어 몇년간 이제품 저제품쓰다가 그냥 연초 피웠는데 우연히 검색하다 후기 보고 구입했는데 현재까지 누수없고 대용량에 사용하게 너무너무 편합니다. 첫날만 저한테 맞게 조정하고 그다음부터는 아시죠 ㅋ 구성품으로 팟이 2개 들어있습니다 0.1 0.6 각 한개씩이요 전자담배 처음 사용하시는 분들은 두개다 사용해보시고 팟을 본인한테 맞는걸 구입하시는걸 추천드립니다.,0
jci1***,옵션선택: 스페이스그레이,20250401,5,,"젤로 맥스를 발라리안 맥스와 아스몬 대신 선택한 이유는 몇 가지 장점 때문입니다. 1. 배터리 성능 & 지속력 젤로 맥스는 대용량 배터리를 탑재하고 있어 하루 종일 사용이 가능하다는 점이 큰 장점입니다. 발라리안 맥스나 아스몬에 비해 배터리 성능이 뛰어나 충전 스트레스가 적습니다. 2. 풍부한 연무량 & 부드러운 타격감 젤로 맥스는 적절한 니코틴 타격감과 부드러운 흡입감을 제공하여 초보자부터 숙련된 사용자까지 모두 만족할 수 있습니다. 발라리안 맥스는 타격감이 강해 부담스러울 수 있고, 아스몬은 연무량이 상대적으로 적다는 평이 있습니다. 3. 다양한 액상 맛과 균형 잡힌 향 젤로 맥스는 다양한 액상 옵션을 제공하면서도 각 맛의 밸런스가 잘 맞아 있습니다. 발라리안 맥스의 경우 향이 강해서 호불호가 갈릴 수 있고, 아스몬은 특정 맛에서 화학적인 느낌이 강하다는 의견이 있습니다. 4. 그립감과 디자인 젤로 맥스는 고급스러운 디자인과 손에 쥐기 편한 그립감을 제공합니다. 발라리안 맥스는 디자인이 다소 투박하고 크기가 커서 휴대성이 떨어질 수 있으며, 아스몬은 가벼운 대신 플라스틱 느낌이 강하다는 점이 단점으로 꼽힙니다. 5. 가성비 & 유지 비용 젤로 맥스는 배터리와 액상 용량 대비 가격이 합리적이라 가성비가 뛰어난 제품입니다. 발라리안 맥스는 성능은 좋지만 가격대가 높고, 아스몬은 초기 비용은 저렴하지만 유지 비용이 더 들 수 있습니다. 결론 발라리안 맥스나 아스몬도 각각의 장점이 있지만, 배터리 지속력, 연무량, 부드러운 타격감, 디자인, 가성비 등을 고려했을 때 젤로 맥스가 가장 균형 잡힌 선택이었습니다. 💨🔥",0
zk26*****,옵션선택: 실버,20250425,1,,젤맥 고질병인 0.6옴팟 끼우면 1.0옴으로 인식되는 버그가 한달만에 당첨됐습니다. 케이스 백날천날 끼우고 청소도해주고 충전할때도 팟빼고 뭐 다 했는데 어느날 갑자기 와트가 10초반으로 내려가더니 누수까지 발생되더라구요.. 진짜 닷X드만한게 없나.. 싶더라구요. 이후 바로 교환신청 했습니다. 13일 문의후 15일 회수 23일 도착했습니다. 주말껴서 10일.. 결코 짧은 기간 아니었고 만약 서브기기 없었다면 어땠을까 라는 생각이 들더군요. 그리고 새기기 받았는데 디스플레이 부분은 잔기스도 발견되고 구성품 싹 빠지고 기기만 들어왔는데 기분 별로더군요. 박스는 왜 달라 캤는지는 모르겠네요. 아 이건 사람마다 다를텐데 판매자 말투가 영; 맘에 안들어서 기분이 별로였던걸지도 모르겠습니다. 어쨌거나 개선팟이고 뭐고간에 젤맥 이쁜거 빼면 닷X드 못 따라가는거 같네요. 바로 기변 했습니다. 젤맥 걍 아는동생 줘버리고 원래 쓰던거나 써야겠습니다. 오프라인 가세요. 교체도 교체후 실물확인도 증상에 대한 원인설명등 여러모로 오프라인이 훨씬 편합니다. 온라인은 다신 안 살거 같네요.,2
