작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
hede*****,옵션선택: 젤로 킷 - 블랙 로즈,20250425,5,,"전자담배 검색하니깐 상단에 위치하고 구매만족도가 높아 관심갖게 되었습니다. 헬베이프 젤로 킷이 가성비가 제일 좋아보여 때가 안타는 블랙로즈 색상으로 구매했어요. 제품 포장 박스가 있어 배송중에 파손될 일은 적을거 같고, 구성품이 필요한 것만 들어있어 군더더기 없고 깔끔했습니다. 특히 USB케이블 별도 구매가 아니라서 만족하였습니다. 언박싱 했을때 액상과 탑캡만 조립하면 시연할 수가 있어서 조립하는데 어려움도 없었습니다. 미리 샀던 액상을 넣고 전원을 켜보았습니다. 버튼이 하나라서 조금 낯설었지만 설명서를 보고 작동해보니 어려움은 없었습니다. 연무가 풍부하고 맛이 부드러워 만족스러웠습니다. 5년전쯤 전자담배 기기를 사서 피워본적이 있는데 그때는 텁텁하고 액상 맛이 너무 강해서 이질감이 느껴졌었는데 요즘 나오는 전담들은 맛표현이 정말 잘 되는거 같아요. 이 정도 만족도라면 연초도 금연 성공할 수 있다는 느낌을 받았어요. 이틀 사용해보니 배터리도 1회 충전하면 일주일은 유지 될거처럼 배터리가 빵빵해요. 연초대신 전담으로 바꾸면 유지비가 엄청 내려갈거 같네요. 심플하고 튼튼해 보여서 고장도 안날거 같네요. 헬베이프 젤로 킷 전자담배 강추합니다!!",0
bhk8***,옵션선택: 젤로 킷 - 달리아 초콜렛,20250419,5,,"일단 추천받아서 구입해 보았습니다. 냄새가 나지 않고, 기계도 너무 예쁘고 괜찮습니다.~~~대만족! 아직까지 이상 없음. 액상 체리 괜찮네요.",0
sj****,옵션선택: 젤로 킷 - 달리아 초콜렛,20250411,5,,액상전자담배는 처음입니다. 술자리에서 다른사람거 몇번 펴보고 구매결정했습니다. 첫 느낌은 소리가 크다는것. 빨아들일때마다 슈우욱소리가 무지 크네요. 베이퍼양 조절하는 +- 요거 조절해서 저는 - 쪽으로 많이 돌렸어요 담배 빠는 느낌도 중요하니까요 +쪽으로 갈수로 빠는느낌 안나요 글구 탑캡을 빼면 담배가 안펴지네요 완전 다 조립되야만 작동하는거 같아요 충전은 90프로정도 되어있고 충전기에 10분정도 꽃았더니 배터리부분에서 살짝 열 납니다 ㅠㅠ 다른 뜩별한일 있으면 다음후기에 올릴께요,1
ibbi***,옵션선택: 젤로 킷 - 달리아 초콜렛,20250416,5,,릴 사용하다가 액상으로 갈아타볼라고 엄청 검색하고 후기 보고 주문하게 되었습니다. 연초보다 냄새는 덜하지만 릴도 꾸린내 같은게 좀 나저라고요~ 전에 인터넷으로 액상기계 한번 사봤는데 누수때문에 너무 스트레스 받더라고요~ 그래서 찾은게 요 아이랍니다~^^ 오자마자 충전하고 액상 넣고 전원을 켰는데 안되서 사용설명서도 읽고 다 해봤는데도 안되서 당황했어요 ㅋㅋㅋ 액상 넣는 카트리지 자석?? 이라해야해나?? 그부분에 보호필름이 붙어있더라고요 ㅎㅎㅎ 그거 제거 하니까 잘되더라고요~^^ 첫번째로 누수가 안되서 너뮤 좋고 두번째 디자인도 너무 고급지도 이쁘고 세번째 무니코틴이라서 또 너무 좋고 네번째 작동이 너무 잘되고 가성비가 너뮤 좋아요^^ 액상기계 검색중이고 고민중이라면 정말 고민하지마시고 구매하셔도 후회 없으실꺼 같아요^^,0
mmsg*********,옵션선택: 1225 에디션 블랙,20250416,1,,젤로살거면 다른 스토어나 오프라인샵 이용하는걸 추천해요. 이번에 여기서 1225에디션 블랙을 구매했는데 흡입이 잘 안돼서 문의를 했는데 성의 없는 대처로 사과한마디 못듣고 결국 차단당했습니다. 사과도 없이 메일아드레스 하나 틱 보내놓고 증거 영상 찍으라고 말하길레 무슨영상을 찍냐고 물어봤더니 뭘어떻게 비교하고 어떻게 찍어달라는설명도 안해주고 하는말이 제품설명에도 아루미늄제품은 유격이있을수있다고 적혀있고 만약 제품 수거하고 이상없으면 배송비 요구한다네요 ㅋㅋ 그래서 이런성의없는 대처를 왜받아야되는지 모르겠고 더러워서 갖다보린다고 됐다고 하니까 바로 차단 박아버리네요 ㅋㅋㅋ 지금까지 젤로를 깔별로4대 문제 없이 사용해왔는데 불량이면 바로 알지… 딱펴도 하나도 공기가 안나오는데… 하여튼 여기서 산건 언청 후회되네요!!! 사과 한마디 하는게 그렇게 어렵나?? 뚜껑1개/배송비1건 그렇게 어렵나??? 그냥 사과하고 양해구하는식으로 했으면 영상찍고 해결하고 했을텐데 대충대애애애충 성의도 없이 하니까 참 열받고 안타깝네요. 진상고객에 얼마나 당해왔는진 모르겠는데 진짜 불량 받은사람한테도 그러면 안되죠. 덕분에 별로안해본 리뷰를 써보네용,9
moki***,옵션선택: 젤로 킷 - 블랙 로즈,20250415,5,,로켓배송~ 와우 놀랐어요. 전 연초만 피우다 아이도 있고 해서 냄새 안나는 전자담배를 알아보는중 전자담배는 누수가 젤 문제라고 들어서 엄청 검색하다가 젤로라는 기기를 알게되서 구매하게 되었어요. 포장도 너무 꼼꼼하고 패키지도 이뻐요 박스 버리기가 좀 아까운 듯 미리 사놓은 액상 넣어서 테스트 해봤는데 정말 누수없고 사이즈도 너무 적당하고 가볍고 좋아요. 밧데리가 엄청나게 오래가네요. 적극 추천제품이에요 실리콘 케이스도 같이 구매했는데 뭔가 잘 보호해 줄거 같아요,1
whie*****,옵션선택: 젤로 킷 - 반타 그레이,20250329,5,,"젤로를 기존에도 사용을 하다가 떨어트리는 바람에 고장이나서 재구매 했습니다. 재구매를 했다는건 기기 성능이나 품질에서 아주 만족감을 느꼈기 때문인데요, 사용법도 간단하고 연무량도 아주 풍부한 기기인것같습니다. 특히나 버튼을 누르지 않고 그냥 바로 흡입을 해도 작동이 가능하다는점이 아주 좋습니다. 그리고 팟의 누수가 타 기기에 비해 거의 없다시피 할정도라 아주 만족하며 사용하고 있습니다. 추후에 또 고장이 나게 된다면 젤로를 재구매 할듯합니다. 추천드립니다~~",0
aeg1***,옵션선택: 젤로 킷 - 달리아 초콜렛,20250418,5,,✨전자 담배 첫 입문입니다 !✨ 처음이라 고민이 많았는데 후기가 좋은 젤로로 선택하게되었습니다 배송도 하루만에 도착해서 한국인은 너무 행복합니다... 기기 색상이 다양해 취향에 맞게 선택 가능해서 좋았고 누수도 없다고 해서 구매했습니다 ! 실제로 받아보니 고민했던 시간이 아까울 정도로 너무 만족스럽습니다 ㅜㅜ!! 편의점에서 판매하는 일회용 스틱 사용하면 헛기침이 너무 심해 걱정했는데 젤로 사용해보니 헛기침 없이 부드럽게 잘 넘어가서 너무 좋습니다!! 그립감도 좋았고 버튼식 기능 설정도 가능하고 배터리 잔량도 확인 가능하니 편리합니다 배터리는 한번 완충하면 하루는 거뜬히 사용가능할것같아요,0
noro*****,옵션선택: 젤로 킷 - 피치 버터,20250504,5,,너무이뻐요... 남자침구랑 커플로 샀는데 너무 만족스러워요 원래 젤로쓰다가 고장나서 가볍고 그립감도 좋고 해서 다시 샀는데 못보던 컬러가 있어서 버터 시리즈로 사봤어요. 유광일줄 알았는데 무광이라 오히려 더 좋아요🩷💚 하늘색도 예뻣을거같아요 월급받으면 하늘색도 지르기로 ㅎㅎ🩵,0
ds****,옵션선택: 젤로 킷 - 새비 화이트,20250503,5,,기존에 권열형 글* 쓰다가 주위에서 점점 액상형전담으로 바꾸는걸보고 호기심으로 바꿨는데 너무 편하네요 ^^ 맛은 아직 못 정했지만 단맛이 조금 있네요 점점 맞춰가면서 쓰면 좋을꺼 같아요 디자인도 이쁘고 스티커 하나로 좀더 업된거 같네요. 목넘김도 부드럽고 좀더 써보고 한달리뷰 갈께요~~,1
