,작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
0,john*****,컬러: 글로 하이퍼 (코발트 블루),20250424,5,,"일반 담배 피우다가 직장 동료가 전자 담배로 갈아탄 걸 보고 호기심에 저도 구매해봤습니다. 오늘 기기가 도착해서 설명서 일고 스틱 구매하러 바로 편의점으로 갔습니다. 그런데 뭘 사야할지 몰라서 알바생한테 물어봤더니 흡연자가 아니라서 본인도 잘 모르겠다고 하더니 어떤 기계인지 보여달라고 하더군요. 그래서 해드폰으로 알바생과 같이 폭풍? 검색을 시작했습니다 ㅎㅎ;; 웃긴 건.. 둘이서 약 10분 검색하다가 알바생이 하이퍼 보라색 부스터를 추천해줘서 결제하고 나왔습니다. 스틱을 잘 못 선택한건지 기기를 잘못 선택한건지, 기기 불량인지는 모르겠지만 연초와 비교했을 때 타격감은 너무 약했고 연기도 별로 나지 않아서 흡연하는 느낌을 받진 못했습니다ㅜㅜ 아직 적응이 안되서 그런 거일수도 있겠지만 기기를 더 사용해봐야겠습니다. 글로 하이퍼 색상과 디자인은 마음에 듭니다^^",1
1,wngu****,컬러: 글로 하이퍼 (그래파이트 블랙),20250507,1,,정말 최악이네요. 네오스틱 리뉴얼되고 기기에서 제거할때마다 중간에 부서져서 새기기를 샀는데도 전혀 나아진게 없네요. 기기 문제 보다 리뉴얼된 네오스틱이 문제인거 같은데 문의하면 청소해라 이런 답변이나 보내고 진짜 짜증나네요. 테스트도 안해보고 판매하나요. 다버리고 전담 갈아타고 싶네요,2
2,wo****,컬러: 글로 하이퍼 (그래파이트 블랙),20250422,5,,전 모델보다 가볍고 디자인이 손에 촤~악 감기는게 사길잘했다는 생각이드네요 느낌상인지 몰라도 타격감이 좋아졌달까 블랙말고도 다른색상으로 하나 더 구매를 할까합니다~기능면에서 우와할정도로 업글은 아니지만 글로는 가격대비 여러모로 마음에드는제품입니다 친구도 요번모델보고 슬림해졌다고 구매한다네요,0
3,sonj*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250405,5,,어제 택배 무사히 잘 오고 완충제도 있었고 기기 등록하는 방법과 설명서도 있고 기기등록은 glo 홈페이지에서 회원가입도 했습니다 저는 초보자이지만 초보자도 사용할 수 있는 전자담배 기기로 추천해드립니다.택배에서 기기 꺼내서 잔량 배터리도 거의 완충되있어서 LED 표시 너무 보기에 좋았습니다. 부스트 스탠다드 모드 다이얼 돌려서 하시면 될거같고 스틱은 네오 제품 스틱 다양하게 편의점에서 살 수 있어요! 충전타입은 C타입이고 청소용품도 아직 사용안했지만 다른분들 사용하신 블로그 보고 청소해볼려구합니다✌️ 전자담배 처음 사용하신분들도 쉽게 사용할 수 있을거같습니다.😆,2
4,jhmo*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250507,5,,"하이퍼 프로 쓰다가 오래쓰다보니 스틱이 안들어가고, 들어가도 태우고 나면 스틱이 끊어지며 안에 남아버리는 현상이 생겨 재구매했습니다. 색상도 이쁘고 프로랑 크게 차이가 없네요. 부드럽게 들어가는 스틱이 젤 맘에듭니다. 다 좋은데, 스틱 뻑뻑해지는 현상만 개선되면 좋을 것 같아요.",0
5,lov5***,컬러: 글로 하이퍼 (코발트 블루),20250410,5,,배송 하루 소요.엄청 빠름. 기존 글로 보다 더욱 가벼워졌구요 무엇보다 스틱 들어가는 느낌이 훨씬 부드러움! 스틱 끼고 빼는 것이 너무나 부드러워서 좋아요. 그리고 배터리 상태를 옆에서 확인 가능 . 글로는 무엇보다 청소가 간편함! 만족합니다.,2
6,rlae******,컬러: 글로 하이퍼 (그래파이트 블랙),20250415,5,,"기존 하이퍼->하이퍼 프로 사용하다가 수명이 다 한 것 같아 하이퍼로 다시 넘어왔습니다. 항상 느끼지만 무게도 많이 무겁지 않고, 딱히 디스플레이 없이도 쓸만해서 좋습니다! 프로 모델에 비해 버튼도 세로로 길어 누르기도 편하고, 프로 모델에 있는 남은 시간 표시가 더 보기 편하지만 LED 칸 수로 잔량 및 배터리 체크도 직관적이라 좋아요! 특히 잔량 체크 시 칸마다 밝기가 줄어드는 디테일은 너무 만족합니다. 또 수명이 다 하면 같은 모델로 재구매 예정입니다! (한 갑 소모 후 청소솔로 매번 청소하는데 오래 사용시 스틱 투입 및 제거할 때 뻑뻑해서 잘 끊어져요 ㅠㅠ 이 부분 개선되면 너무 좋겠습니다!)",0
7,toye***,컬러: 글로 하이퍼 (그래파이트 블랙),20250421,5,,이전보다 슬림해져서 보관하기도좋고 주머니에쏙들어갑니다 소재도 부드러워 그립감이좋아요 터보버튼도 누르는게아니라 애초에 설정해놓고 펴서 헷갈릴 염려가없네요ㅎㅎ 다만 너무 그립감이부드러워서 한번씩 떨궈서 기스가났어요ㅎㅎ,0
8,5o****,컬러: 글로 하이퍼 (그래파이트 블랙),20250423,4,,배송 총알이네요 원래 프로 쓸때 좋았는데 기능이 비슷해서 구매했습니다. 연무량은 프로보다는 못하다는 느낌이드네요. 역시 비싼게... 하지만 이정도 연무량과 흡입감이면 만족합니다. 더좋은 상품 개발해주시기바랍니다,0
9,kyky****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250425,4,,24년 9월 17일 이 제품 블랙색상 구매했고 25년 2월말쯤 문제가 생겨서 3월 3일 하이퍼에어로 다시 구매했는데 성능은 이 제품이 더 괜찮아서 별수없이 재구매했어요. 지난번처럼 수명이 5개월도 안된다면 다시는 재구매안하고 갈아타렵니다.,0
