작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
kwon***,디바이스 컬러: Ocean Blue,20250419,5,,1. 타사브랜드도 사용해 봤지만 연무량이 일반담배와 비슷합니다(가장만족한부분) 2. 그립감과 디자인 주머니에 넣어도 툭 튀어나오지 않고 가볍기에 소지하고 다니기 좋습니다. 3. 스탠다드와 부스터 2가지 기능이 있어 취향별로 사용이 가능한점이 너무 마음에 듭니다. 4. 가격이 대비 제품에 너무 좋습니다. 5. 색감또한 마음에 들어 권렬형 초보자가 사용하기 너무 좋은 제품이라 생각합니다. 6. 한번 완충으로 20개피 정도는 가볍게 피울수 있어 너무 좋았습니다. 진짜 만족하면서 사용합니다. 7. 청소 진짜 쉽습니다. 8. 아쉬운점 전체적으로 가열이 되는게 아니라 중간부분만 가열이 되서 담배 전체를 피운다는 느낌 보다는 반만 피우다 버리는 느낌? 9. 하지만 전체적으로 진짜 타사브랜드 가격대비에 비해 너무 만족하면서 사용하고 있습니다. 10. 선물용으로 최고입니다 흡연자가 있다면 선물해 보세요,0
kwon***,디바이스 컬러: Crisp Purple,20250419,5,,1. 타사브랜드도 사용해 봤지만 연무량이 일반담배와 비슷합니다(가장만족한부분) 2. 그립감과 디자인 주머니에 넣어도 툭 튀어나오지 않고 가볍기에 소지하고 다니기 좋습니다. 3. 스탠다드와 부스터 2가지 기능이 있어 취향별로 사용이 가능한점이 너무 마음에 듭니다. 4. 가격이 대비 제품에 너무 좋습니다. 5. 색감또한 마음에 들어 권렬형 초보자가 사용하기 너무 좋은 제품이라 생각합니다. 6. 한번 완충으로 20개피 정도는 가볍게 피울수 있어 너무 좋았습니다. 진짜 만족하면서 사용합니다. 7. 청소 진짜 쉽습니다. 8. 아쉬운점 전체적으로 가열이 되는게 아니라 중간부분만 가열이 되서 담배 전체를 피운다는 느낌 보다는 반만 피우다 버리는 느낌? 9. 하지만 전체적으로 진짜 타사브랜드 가격대비에 비해 너무 만족하면서 사용하고 있습니다. 10. 선물용으로 최고입니다 흡연자가 있다면 선물해 보세요,0
deux****,디바이스 컬러: Celestial Navy,20250512,5,,프로슬림 단종/고장나서.. 바꿈 새거라 그런지 타격감이 좋아졌네요 고장나지 않고 오래 사용했으면 합니다. 근데 버튼이 빡빡한 감이 있는데 원래 그런건지 새거라 그런지 써봐야 알수 있을듯. 좋아요,0
joah*****,디바이스 컬러: Celestial Navy,20250505,5,,기존에 쓰전 글로 슬램기게와과 비슷 느낌이라 구매했는데 역시나 만족스럽네요^^ 근데 주의할점! 스틱살때 기존꺼랑 비슷해서 같은걸 삿더니 아니었어요 기존에 삿던건 얇고 날씬한? 이건 기존거보단 조금 통통하다? 그렇네요 혹시 스틱이름을 말함 문제될까 싶어 제 나름 설명했는데 도움이 될진 모르겠네요ㅋ,0
any0***,디바이스 컬러: Rose Gold,20250506,5,,1년 6개월 금연을 했다 다시 시작했는데요 네오스틱이 잘 맞아 글로 슬림을 선택했습니다. 네오슬림용 글로기기가단종되어 아쉽지만 본 제품을 구매했습니다. 두꺼운 스틱은 불만이지만 기기라도 슬림해서 다행입니다. 다만 너무 미끄러운 점이 단점입니다. 이 기기마저 고장나면 이젠 진짜 그만해야겠습니다.,0
lhn2***,디바이스 컬러: Ocean Blue,20250507,5,,너무 좋아요 냄새때문에 입문했는데 만족합니다 색도 딱 화면과 같고 가볍고 사용하기에 어려움 없었어요,0
an****,디바이스 컬러: Ocean Blue,20250511,2,,초기부터 글로를 썼는데 기기는 2년 안가고 항상 신제품만 내놓고 그 전 버전은 단종시켜버리고.. 그냥 울며 겨자먹기식으로 씁니다,1
vv****,디바이스 컬러: Celestial Navy,20250429,5,,기존 글로사용하다 사용감도그렇고 배터리도빨리닳아 새로 구매했어요 기존것보다 가벼워진거같고 그립감은 훨씬좋습니다,0
isj5***,디바이스 컬러: Ocean Blue,20250503,4,,가볍고 연무량도 좋은데 담배를 다피고 꽁초를보면 끝에서부터 타지않고 중간부터 타 아쉽네요 담배를 끝까지 꼽지않고 피면 연무량이 좀 부족하고 끝에서부터 확실히 탈수 있도록 개선이 필요한것 같아요,0
fu****,디바이스 컬러: Celestial Navy,20250502,5,,전자담배 처음 접해봤는데.. 제품은 그립감도 좋고 나쁘지 않지만.. 역시나 잘 적응이 안되네요! 나름 만족감도 있고 좋습니다 제품은 맘에 들어요~,1
