작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
lysl******,색상선택: 샌즈 베이지,20250512,5,,"너무 만족하는 제품... 일단 본인은 유명한 기기들은 안 사용해본 게 없을 정도로 많은 기기를 사용해봤습니다. 발000 시리즈, 젤0 시리즈, 베이000 시리즈, 닷00투00, 팬0 베0, 부0 시리즈, 하0, 아스0 등등 현재 가지고 있는 기기들만 10개가 넘습니다 근데 소울2 구매하고 부터는 요즘 매일 소울만 사용합니다.. 그정도로 만족을 하는데 만족한 부분 설명드릴게요 1. 디자인 평소 각진 디자인이 예뻐 보여서 주로 사용했었는데요 그래서 소울을 구매할 때 디자인에 크게 기대를 안 하고 주문했습니다. 근데 실물이 진짜 사진보다 훨씬 예쁩니다. 각진 디자인보다 훨씬 더 고급스러운 거 같아요. 베이지 컬러로 구매했는데 베이지 컬러 전자담배가 잘 없기도 하고 은은하게 색이 잘 빠져서 너무 이쁩니다. 히든 스크린 부분은 은은하게 골드빛이 나고 싸구려처럼 완전 광 나는 게 아니라 은은해서 고급스럽고 세련된 디자인 입니다. 디자인에 신경을 많이 쓴 제품 같습니다. 너무 예뻐요 진심 2.히든 스크린 히든 스크린은 정말 신의 한 수 라고 생각합니다. 보통 다른 제품들은 밝은 기기의 검정색 스크린이 일체감이 없고 혼자 둥둥 튀는 느낌이 들어서 볼 때마다 예쁘진 않더라고요. 반면 소울은 사용을 안 할 때나 사용 할 때 디자인을 헤치지 않게 화면 위에 글씨가 보여서 정말 이쁩니다. 저는 이 히든 스크린이 맘에 들어서 구매를 했었습니다 3.팟 보통 배터리가 2000이 넘는 기기들은 팟 가격이 5000원 이상이 대부분인데요 발000 프로 맥스는 일체형 팟이 6000천원.. 반면 소울은 팟 용량도 크고 배터리도 큰데 팟 가격이 다른 기기들에 비해 비싸지 않아서 좋습니다 그리고 팟 표현이 아주 훌륭해요. 평소 단 맛이 엄청 부스팅 되는 기기보다는 밸런스가 좋은 기기를 좋아하는데 소울이 밸런스 기기 탑티어 인 거 같아요. 베이핑 했을 때 스프레이처럼 촤악 하고 뿌려주는 느낌이 정말 좋습니다. 소울에 주연엔딩 넣고 사용한 후로는 매일 소울만 사용하고 있습니다. 궁합 진짜 최고예요 그리고 액상이 코일에 잘 닿을 수 있도록 단차가 있게 설계 되어서 액상을 남김없이 사용할 수 있다는 것도 좋습니다. 보통 다른 팟들은 에어플로우가 옆이나 아래에 있고 액상주입구가 위에 있어서 위로는 액상이 역류하고 에어플로우로는 누수가 생길 때가 많았는데요. 누수가 아예 없는 기기는 없지만 소울은 위에가 에어플로우고 액상 주입구가 옆에 있어서 설계부터가 믿음직스러워요. 그리고 일주일정도 사용하면서 누수는 커녕 결로까지 단 한 방울도 없었습니다. 아래로 누수가 되더라도 다른 부분까지 흐르지 않도록 가운데에 막이 쳐져 있습니다 이것도 누수방지용인 거 같은데 신경을 정말 많이 쓴 거 같아서 너무 좋습니다. 4,배터리 2100으로 정말 큰 배터리인데요. 배터리가 크면 크기가 큰 경우가 많은데 소울은 한손에 감기는 그립감과 크지 않은 크기가 정말 만족스럽습니다. 또 배터리 표시가 보통 숫자로 되어있는 경우는 별로 없고 3,4단계의 칸 수나 불빛인 경우가 많은데요 그래서 저는 언제 방전될 지 모르는 불안감 때문에 한 칸만 닳아도 바로바로 충전을 하면서 사용을 했었습니다. 반면 소울은 배터리도 보통의 전자담배의 거의 두 배나 되는데 숫자로 정확하게 표시까지 되어서 오래 쓸 수 있어서 정말 편하고 좋습니다. 약간의 아쉬운 점 평소 케이스를 끼면 예쁘지 않기도 하고 물건을 아끼고 떨어트리지 않고 사용을 하기도 해서 케이스를 사용하지 않는데요 근데 샌드 베이지 색이 러버코팅 재질이어서 일주일밖에 사용을 안 했는데 손때가 타네요.. 샌드 베이지가 제일 예쁘고 고급스러운데 다른 색상처럼 알루미늄으로 베이지색 출시 해주세요 제발ㅠ 소울만 사용하고 싶습니다… 결론 무조건 사세요.. 무조건.. 후회 안 하실 겁니다!!",0
lsh2***,색상선택: 샌즈 베이지,20250424,5,,"타사 제품 단점 1.x카 시그니처-> 1.7ml 작은 용량에 비해 너무 비싼 값;; 하루도 못피고 갈아야 했음 2. 일회용 무니코틴 전자담배-> 기재된 퍼프횟수보다 적음, 생각보다 비싸다고 느껴짐, 값싼 향과맛(제일 이유가 큼) 상기 이유로 몇주 동안 전자담배를 찾고 검색했습니다. 여러가지의 제품들이 있었으나 리뷰를 보면 모두 누수와 관련하여 속상한 리뷰들이 많아서 일회용만 펴야하나 고민하던 찰나 소울2제품을 발견하고 누수가 있다는 글이 없어서 바로 구매했습니다. ♡소울 2 특징♡ 1. 디자인 이쁩니다. (개취) 2. 누수 일절 없음 누수가 하나도 없습니다. 혹시몰라 배송받고 액상넣고 5분 뒤 연타위주로 흡입했는데 튐 현상도 없었습니다. 이게 구매이유 중 제일 큰 이유고 에어플로우? 이게 위에 있어서 누수가 안생기는 것 같아요. 누수 리뷰 제품들 보면 다 아래에 있음 3. 빠른 충전 항상 80~90%에서 충전을 시키긴 하지만 3분5분도 안되서 충전이 다되는 것 같습니다. 4. 버튼잠금을 해도 오토흡입가능 오작동 방지를 상시로 켜두고 흡입은 오토로 가눙하니 너무 편합니다. 별개로 판매자분 엄청 친절하십니다~ 대화하는 말투,태도로 구매를 해도 되겠다 생각이 들 정도로 친절하십니다ㅎㅎ앞으로 잘 피겠습니다 감사합니다!",0
tjdd******,색상선택: 샌즈 베이지,20250426,5,,"반디베이프 녹스만 3년넘게 사용했는데 유독 단맛 표현에 치우친 기기들만 출시되거나 배터리용량 미달인 팟디만 주구장창 나오더라고요. 1. 향표현 , 밸런스인 기기일것 2. 배터리용량이 최소 1600mh 이상일것 3.누수가 적을것 이 세가지 기준이 부합되지않아서 계속 패스하다가 이번에 우연찮게 정착할 팟디 찾았네여 단맛표현에 치우친 기기 싫으시면 강추 팟은 0.6옴으로 구매했는데 디저트나 연초액상보단 과멘액상이랑 잘맞네요 향이나 밸런스 잡아주는것도 좋습니다. (에어홀 1~2칸 개방이 젤 적당합니다. ) 발라리안이나 타기기들이랑 비교해보면 외출용으로 딱입니다 (제일 중요한 배터리 용량이나 누수위험이 적으니 계속 충전을 해주거나 휴지달고 살진않겟죠. 맛표현도 나쁘지않구요) 추후에 tpu 케이스 출시되면 케이스도하나사야겠어요 잘쓸게요!",0
zsed***,색상선택: 블랙,20250430,5,,안녕하세요~ 어제 주문해서 오늘 받았습니다~ 너무 빠른 배송에 감사드립니다~ 지금 리뷰 쓰는 직전까지 쏘울1을 사용하였습니다~ 아직 사용전이긴하지만 쏘울1을 아주 잘사용했기때문에 기대하고 있습니다~,0
gh****,색상선택: 펄 화이트,20250408,5,,물건 받자마자 바로 과맨 액상 넣고 사용 이햐 좋네요. 분무기로 입안에 뿌려주는듯한 느낌과 부드러운 맛표현 정말 죽입니다. 앞으로 잘 사용할것 같네요. 한가지 단점 이라면 섭스로 주신 tpu케이스가 너무 타이트 해서 한번 씌우면 벗기기가 넘 힘드네요. 벗기다가 기스가 2군데나....ㅠㅠ 안하고 다니다가 잔기스가.....에휴 고민좀 해봐야할것 같네요.,1
wwer******,색상선택: 어반 그레이,20250512,5,,배송 빠르고 좋습니다. 일단 몇일사용 안해봤는데 확실히 1사용 하다가 2쓰니까 배터리 늘어난게 체감되고 맛표현도 좋네요.,0
ocy1*****,색상선택: 미스트 퍼플,20250511,4,,"어제 구매한 팟 방금 도착해서 액상 넣고 사용해봤는데, 목이 아플 정도로 탄맛이 올라와서 아쉽네요. 기기는 더 써봐야 알겠지만, 현재로선 좋습니다.",0
zsta****,색상선택: 어반 그레이,20250429,5,,요즘 나오는 팟디들 좋네요 다만 동봉해준 케이스는 억센 느낌이 없잖아 있어서 버튼 누르기 힘들고 한번 끼우면 빼는것도 좀 힘듭니다,0
rain****,색상선택: 펄 화이트,20250418,5,,액상전자담배 누수때문에 스토레스가 많았는데 긱베이프는 누수없어서 만족합니다. 빠른배송 감사합니다,0
plkp*****,색상선택: 블랙,20250408,5,,주문하고 익일 도착 했어요~ 디자인도 깔끔하고 성능도 만족스럽습니다! 소울2 전자담배 사용해보니 흡입감이 부드럽고 발열도 거의 없어서 너무 만족합니다. 색상도 고급스러워서 실물 만족도가 높아요. 충전도 빠르고 사용 시간도 길어서 외출 시에도 걱정 없네요. 처음 전자담배 입문하시는 분들께도 강력 추천합니다!,0
tlqk***,색상선택: 미스트 퍼플,20250509,5,,"금연에 도전하려고 전담 찾던중 소울2 후기가 좋아서 구매해봤는데 디자인,성능 매우 만족합니다 금연성공 하겠습니다~",0
