작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
zooz********,소울2 / 컬러 선택: 미스트퍼플,20250414,5,,칼라 너무 이뻐서 만족요~~~추가구매 생각있습니다♡♡♡대박나세요,0
jyws****,소울 / 컬러 선택: 민티 그린,20250510,5,,선물했으요:) 색감 이쁘네요,0
wjdd********,쏠(소울) / 컬러 선택: 블랙핑크,20250504,1,,진짜 이거 누수 개심합니다 절대 사지 마세요 액튐 개심해서 빨 때마다 혀에 액상 그대로 튀고 토 존나 할 것 같습니다 아무리 기기 닦고 관리해도 안 됩니다 진짜 마음 같아선 이 기기를 택한 과거의 저에게 뺨 존나 때리고 싶네요 갖다 버렸습니다 이거 살 바엔 돈 좀 보태서 젤로 사세요,0
mi****,소울2 / 컬러 선택: 올리브그린,20250508,5,,한화는 7일 대전 한화생명 볼파크에서 열린 2025 KBO리그 삼성과 경기에서 선발 문동주의 호투와 7회에만 6점을 뽑은 집중력을 앞세워 10-6으로 이겼다.,0
hakt***,쏠(소울) / 컬러 선택: 스페이스 그레이,20250418,5,,쓰기 편하고 괜찮은것같네요,0
bid7***,쏠(소울) / 컬러 선택: 블랙핑크,20250406,5,,사자마자 소울2가 네이버에ㅜ떴더라고요..아쉽지만 색상이 이뻐서 만족,0
craz******,소울2 / 컬러 선택: 미스트퍼플,20250501,5,,크기도 색상도 딱 좋아요 포장도 꼼꼼하니 배송도 빨라 좋네요,0
rlat*****,쏠(소울) / 컬러 선택: 파스텔퍼플,20250218,5,,"잘 도착했어요. 청사과액상 사용할꺼라 민트색으로 수정 배송 요청 했었는데, 빠른 배송출발로 인해 수용되진 않아서 조금 아쉬우면서도.. 업무속도에 감탄하고 갑니다ㅎㅎ 본체 상자에 기본 포함된 1.0옴으로 펴보니, 팟 추가옵션 0.6으로 한것도 굿초이스였네요. 그래서 본체랑 팟 교환 안해도 될것 같습니다. 말랑말랑 고무재질의 TPU케이스도 너무 좋아용. 잘 쓰겠습니다. 감사합니다.",0
nave******,소울 / 컬러 선택: 펄 화이트,20250507,5,,쓰던거라편히씁니다!!!!,0
choi*******,쏠(소울) / 컬러 선택: 스페이스 그레이,20250409,5,,그 전에도 사용하던 제품이였어요. 디자인도 예쁘고 무엇보다 연기 흡입세기 조절 할 수 있는게 제일 좋았어요!,0
kimd******,쏠(소울) / 컬러 선택: 파스텔퍼플,20250321,5,,"배송 큰 무리 없었고, 성능 만족함.. 색깔을 잘못주문하는 바람에.. ㅠㅠ.. 그건 내 책임이니.. 쩝",0
asia*****,쏠(소울) / 컬러 선택: 클래식 블랙,20250423,5,,이거덕분에 금연할수있을것같습니다.,0
tpdu*******,소울 / 컬러 선택: 긱 오렌지,20250420,5,,배송도 빠르고 좋아요 ^^,0
sang******,소울2 / 컬러 선택: 펄화이트,20250416,5,,소울2나와서 구입했는데 기대됩니다 기계만 고장안났으면 좋겠습니다,0
ektl******,쏠(소울) / 컬러 선택: 클래식 블랙,20250419,5,,좋아요 쓸만합니다 가성비,0
