작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
asdq*****,네스티: 톡스바 25000 애플민트,20250430,5,,"처음으로 톡스바 사용해봤는데 생각보다 꽤 괜찮네요. 요즘 부드럽고 깔끔한 디바이스 찾고 있었는데 처음 만난 제품치고는 인상이 좋아요. 지금은 애플민트 맛 사용 중인데, 상큼하면서도 시원한 민트감이 느껴져서 피울 때 부담 없고 향도 꽤 만족스러워요. 입안에 오래 남지 않고 깔끔하게 사라지는 느낌이 좋습니다. 다음엔 피치아이스도 시도해보려고요. 지금 사용해보니 다른 맛들도 기대가 돼요. 처음이라 걱정했는데 꽤 만족하고 있습니다. 은은하게, 부드럽게 즐기기 딱 좋은 느낌이에요.",0
asdq*****,네스티: 톡스바 25000 피치 아이스,20250430,5,,"처음으로 톡스바 사용해봤는데 생각보다 꽤 괜찮네요. 요즘 부드럽고 깔끔한 디바이스 찾고 있었는데 처음 만난 제품치고는 인상이 좋아요. 지금은 애플민트 맛 사용 중인데, 상큼하면서도 시원한 민트감이 느껴져서 피울 때 부담 없고 향도 꽤 만족스러워요. 입안에 오래 남지 않고 깔끔하게 사라지는 느낌이 좋습니다. 다음엔 피치아이스도 시도해보려고요. 지금 사용해보니 다른 맛들도 기대가 돼요. 처음이라 걱정했는데 꽤 만족하고 있습니다. 은은하게, 부드럽게 즐기기 딱 좋은 느낌이에요.",0
kjy_****,네스티: 톡스바 25000 포카리,20250511,5,,배송빠르고 2개씩 2번주문했어요 담에또구입할께요,0
notr*******,네스티: 톡스바 25000 파인애플 아이스,20250428,5,,네스티바20000보다 타격감은 덜하고 단맛은조금 강한편 입니다 사이즈가 작아서 휴대는 쉽고 촌스런 20000보다 디자인은 좋은데 아쉬운건 20000보다 타격감이네요,1
re****,네스티: 톡스바 25000 망고아이스,20250510,5,,향이 많이 나고 디자인도 깔끔해서 좋습니다. 생각보다 단? 향이 강하네요 ㅎ,0
89****,네스티: 톡스바 25000 피치 아이스,20250501,5,,좋아요 ! 다른 제품보다 덜 달구요 근데 니코틴이 얼마나 들어가있는건지 궁금하네요,0
cree*****,네스티: 톡스바 25000 자몽 아이스,20250509,5,,만족해요 맛도 좋내요,0
tmdw****,네스티: 톡스바 25000 레몬아이스,20250503,3,,공기 흡입구는 추가로 테입 발라서 구멍 줄이면 흡입력은 연초 비슷하게 맛출수 있는데 노멀 모드로 해도 저한텐 너무 달아서 별로네요,0
jean******,네스티: 톡스바 25000 포카리,20250508,5,,가성비는 갑이네요. 액상 남은게 눈으로 보여서 좋네요,0
mshw*****,네스티: 톡스바 25000 애플민트,20250511,3,,담배 줄이는데 좋아요 종종 이용할게여,0
bk88***,네스티: 톡스바 25000 청포도,20250510,5,,잘받았습니다 감사합니다,0
0_09***,네스티: 톡스바 25000 더블 알로에베라,20250503,5,,남편꺼 대신 샀어요 첨엔 위스키맛이 난다더니 적응되니까 맛있대여,0
uu****,네스티: 톡스바 25000 피치 아이스,20250509,5,,제품만족합니다 톡스 자주애용해요,0
park********,네스티: 톡스바 25000 더블 알로에베라,20250422,5,,"박스포장 없이 비닐포장으로만왔네요 원래그런건가요? 새제품인데, 기기에 기스가 많이있네요 시연해봤는데 왜인기있는지 알것같네요",0
swan*****,네스티: 톡스바 25000 피치 아이스,20250509,4,,빠른 배송 감사합니다,0
whgd***,네스티: 톡스바 25000 포카리,20250510,5,,맛있어요 멘솔처럼시원해요,0
jean******,네스티: 톡스바 25000 피치 아이스,20250509,5,,맛있네요 가성비도 훌륭,0
jean******,네스티: 톡스바 25000 애플민트,20250509,5,,맛있네요. 가성비도 훌륭,0
gubu***,네스티: 톡스바 25000 피치 아이스,20250509,5,,빠른 배송 감사합니다. ^^,0
gubu***,네스티: 톡스바 25000 포카리,20250509,5,,빠른 배송 감사합니다. ^^,0
gubu***,네스티: 톡스바 25000 애플민트,20250509,5,,빠른 배송 감사합니다. ^^,0
jumb****,네스티: 톡스바 25000 레몬아이스,20250321,1,,아니 몇일 사용하고 있었는데 주머니에 넣어놨는데 허벅지가 뜨거워서 꺼내보니 액은 질질 새고있고 엄청 뜨거워져있는데 연기는 빠는곳에서 계속 나고 터질까봐 무서워서 죽는줄 알았네요 너무 무서워서 일단은 안전한곳에 버리긴했는데 이거 안전한거 맞나요 액상도 남아있는상태에서 이러니 무서워서 이거 하겠나요?? 와...진짜 식겁했네 너무 무섭네요 이거... 몇일 사용은 해서 말은 못하겠지만 무서워서 이제 못하겠네요 안전한거 맞나요? 네스티바/블랙유니콘바 둘다 해보고 톡스바도 해본건데 이거 너무 무섭네 진짜,25
brow*****,네스티: 톡스바 25000 더블 알로에베라,20250504,4,,신랑사줬는데 넘달데요 ㅋㅋ 근데 괜찮데오,0
