작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
ykny****,맛선택: 포도아이스,20250418,2,,"왼쪽은 3개구매하면 한개 서비스로 주신 이온아이스고, 오른쪽이 구매한 포도 아이스인데요. 전체적으로 쿨링감은 매우약한편이고 맛으로 따지자면 이도저도 아닌맛입니다. 이온아이스가 그나마 제일 나아요. 망고 파인애플은 처음에 한입씩 맛만보고 이게 뭔가 싶었어요. 아 그리고 그냥 기계자체를 근처에 꺼내만 나도 액상향이 엄청남...",2
daw7***,맛선택: 이온아이스,20250501,5,,맛은 아직 모르겠지만 디자인이랑 그립감은 좋네요 일회용 전담은 첨 사보는데 왜 맛이 다 단거 뿐인지 모르겠네요 안단것도 좀 만들어주셧음 좋겟네요,0
rlaa********,맛선택: 이온아이스,20250430,5,,"처음 써보는 기계인데 믿음가는 무니코틴제품에 디자인, 그립감이 좋습니다 배터리하고 액상, 누수는 써봐야알겠지만 첫 개공은 맘에 드네요",0
imph********,맛선택: 이온아이스,20250422,5,,민트아이스 펴봤는데 시원하고 좋아서 다른맛도 다같이 주문했어요 무니코틴인데 나름 타격감도 있고 용량도 커서 좋아요 타제품보다 디자인적으로도 괜찮아요,0
polo******,맛선택: 망고아이스,20250503,5,,배송도 너무빠르고 정말 만족합니다. 번창하세요,0
ellz****,맛선택: 포도아이스,20250420,5,,너무 마음에듭니다. 무니코틴을 찾아 너무많이 찾아다녔지요. 다른 제품들은 목넘김이 재일로 문제엿는데 누베제로는 그 아쉬움을 잘 해결해주엇습니다. 앞으로 이제품만 사용할거같아요!,0
hira*****,맛선택: 이온아이스,20250508,5,,빠른배송 좋은제품 감사합니다,0
ahah***,맛선택: 포도아이스,20250509,4,,모든맛 체험중인데 민트가 좀 담배피는거같네요,0
s2dn*****,맛선택: 포도아이스,20250507,5,,매우 좋아요 편하고 시원해요,0
amaz*******,맛선택: 포도아이스,20250427,4,,항이 세지 않아서 좋아요 쿨링감은 좀 센듯 저한테는 잘 맞는것 같습니다,0
youn*****,맛선택: 민트아이스,20250417,5,,"불량 댓글이 꽤 있길래 상태 먼저 다 확인했는데 다행히 다 괜찮네요 서비스로 주신 커피향도 생각보다 입에 맞고, 쿨링감이 다 쎈 편이라 좋아요",0
em06***,맛선택: 포도아이스,20250505,5,,누베제로 포도아이스 재구매입니다,0
dbja****,맛선택: 민트아이스,20250426,5,,맛은 예상했던 거보다 무맛입니다. 그래도 시원은 해서 좋네요.,0
jej2***,맛선택: 커피향,20250503,3,,3+1때문에 펴본적도없지만 3개 산건데 센스 진짜없음; 커피향삿는데 서비스를 커피향으호 보냄 ㅋㅋ ㅠ 골고루펴봐야 취향에 맞는거 찾아서 재구매할텐데 걍 좀 센스가 없는듯 ㅎ 걍 하나살걸 괜히 3개삿네ㅠ,0
jej2***,맛선택: 포도아이스,20250503,3,,3+1때문에 펴본적도없지만 3개 산건데 센스 진짜없음; 커피향삿는데 서비스를 커피향으호 보냄 ㅋㅋ ㅠ 골고루펴봐야 취향에 맞는거 찾아서 재구매할텐데 걍 좀 센스가 없는듯 ㅎ 걍 하나살걸 괜히 3개삿네ㅠ,0
yoyo****,맛선택: 이온아이스,20250426,4,,스트레스용으로 샀어요 나쁘지않아요,0
heyj********,맛선택: 이온아이스,20250428,5,,빠른배송 금연에 도움이되길,0
geun***,맛선택: 포도아이스,20250425,5,,지금 벌써 4개째 돌아가면서 맛보고 있는데 파인애플 빼고는 다 만족스럽네요 ㅎㅎ,0
pi****,맛선택: 파인애플아이스,20250430,5,,매번 만족하고 사용중,0
pg****,맛선택: 이온아이스,20250429,5,,타격감도 좋고 딱 기대했던!,0
dudt***,맛선택: 수박아이스,20250428,5,,저렴하게 구매했습니다 잘 쓸게요^^,0
dudt***,맛선택: 블루베리아이스,20250428,5,,저렴하게 구매했습니다 잘 쓸게요^^,0
dudt***,맛선택: 커피향,20250428,5,,저렴하게 구매했습니다 잘 쓸게요^^,0
thed******,맛선택: 파인애플아이스,20250506,5,,다른맛은 사용안해봤지만 이온은 맛나네요~ 멘솔이 쪼금 약하지만 대체적으로 맘이 들어요~^^,0
raff********,맛선택: 수박아이스,20250422,5,,다른 제품이품절이라 주문했는데 생각보다 괜찮네요,0
hjs8***,맛선택: 망고아이스,20250421,4,,휴대 편하고 맛 괜찮습니다. 가끔 전담들 보면 너무 확 튀어서 목이 붓는 느낌 드는 것들 있는데 이정도면 괜찮습니다. 다만 가격이... 아직 끝까지 다 못피웠는데 한달 두개 정도면 적당한 가격이나 계속 구매할만한지는 끝까지 사용해보고 다음 리뷰에 ...,0
zxcv****,맛선택: 포도아이스,20250425,5,,잘피고 있습니다 맛이좋아요,0
