,작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
0,snsd*******,옵션 선택: 찰떡 패키지 / 색상 선택: 카본 레더 / 드립팁 선택: 레드,20250503,5,,"내돈내산 수년전부터 전담을 해왔는데 닷모드같은 경우 디자인은 기깔난데 실제 맛표현이나 이런 것들이 살짝 애매하다는 말을 많이 듣고는 제가 그동안 수십종 이상의 기기를 써봤으나 닷모드는 닷스틱 위에 다른 탱크를 올려쓰는등이 전부 였었네요 그런데 이번에 제 마음을 사로잡은 카본에디션을 발견하고 원래 카본패턴을 그렇게 좋아하지도 않는데 디자인과 색감 하나는 원탑인것을 증명하듯 홀린듯이 구매해버리고 말았네요 ㅋㅋ 찰떡 패키지 구매했습니다 투명케이스, 기기보호필름 1.0 팟 2개 0.6팟 2개 검빨 조합을 좋아해서 뻘건드립팁으로 골랐어요 서비스로 주신 미니 보조배터리도 센스 대박 벽돌같은 보조배터리가 조금 부담스러울때 딱인 귀여운 보조배터리 급할때 잘 쓸게요^^ 디자인 디자인은 뭐 말해 뭐해 제 기준 현존 탑1 이라고 생각합니다 카본의 고급진 느낌과 투엑스랑 닷각인이 각각 한면씩 보이는데 양옆 다 팟디라고는 믿기지 않을 정도로 고급스러운 모습을 보여줍니다 디테일한 화면 조합도 맘에 들었는데요 연초모양의 퍼프카운트라던지 전원 on시 투엑스 표기가 보인다던지 등 큐트한 포인트가 살짝 귀엽다는 느낌을 받았습니다 세심한 포인트 있는 것을 좋아하는데 화면도 한몫한것 같습니다(사진을 찍으려고 했는데 화면이 밝아 번져서 나오네요) 팟 용량은 꽤나 대용량에 속하는 편이라 한참을 피워도 문제 되지 않을 것 같네요 누수에도 강할 것 같아보이구요 느낌이 컴팩트한 고급 보로기기 만지는 느낌이라 보로기기 대비 편리하면서도 향표현이 일품이라 고급디바이스 생각 안나더라구요 예전에는 리빌드도 하고 보로기기도 쓰고 한발기기 무화기 올려도 써보고 돈 엄청 투자했었는데 요즘은 만사가 귀찮고 바쁜지라 조금 유지비가 더 나오더라도 팟디로 만족하자 하고 구매했는데 대대대만족합니다 맛표현 제 입맛경우에 너무 단것은 싫어하면서도 향표현이 선명한걸 좋아합니다 물론 맛표현 선명한 팟디도 따로 쓰고 있습니다만은 기본적으로 맛은 약간 슴슴하더라도 밸런스 정도에 향표현 선명한 것을 좋아했어서 Tmd 코일을 좋아했었네요 이번에 1.0에 크오크 넣고 베이핑을 해보았는데 첫입은 좀 슴슴한듯 싶었으나 계속 베이핑 하다보니 딱 내가 찾던 기기구나 싶었습니다 원채 저는 세고 진하고 달고 그런 스타일을 좋아하지는 않아서 일부러 늘 연하게 먹어서 이렇게 표현한다는 점 참고해주시면 좋을 것 같구요 연무량도 굉장히 부드럽고 1.0인데도 불구하고 풍부하게 나오는 편이였습니다 흡입압조절이 4단계라 좋았고 4단계는 넘 널널하고 제 입에는 3이 딱 좋았습니다^^ 1-2는 꽤나 빡빡하더라구요 빡빡한 흡입 좋아하시는 분들께도 만족도가 높을 것 같습니다 흡입소리는 고요한 제품 대비는 살짝 있는 편이지만 무난한 편으로 분무기 뿌려주는식의 발라리안 소리는 아닙니다. 이점도 맘에 들었습니다 이번에 정말 각잡고 뽑았구나 싶었습니다 딱 한가지 팟 가격이 5500원으로 다소 높게 책정 된것인데 팟 자체가 대용량에 세심히 설계하고 튼튼하게 설계된 것이라 비싼 것을 알고 있습니다만 지속구매할 입장에서는 비싸도 5000원 정도였으면 좋았겠다 개인적으로 그런 바램이 있네요 전체적으로 몹시 만족스러웠고 이번에 새로 베이핑 시작하면서 5대의 종류를 구매하였는데 닷투엑스 포함 3개만 제 손에 남게 되었습니다 정말 대 만족인 기기 앞으로 오래 팔아주시길 재구매의사 100% 입니다",2
1,ppoo****,옵션 선택: 찰떡 패키지 / 색상 선택: 카본 레더 / 드립팁 선택: 블랙,20250502,5,,초창기 전담 시절부터 지금까지 별의별 기기는 전부 써봤습니다 근데 닷 모드 틀리네요 진짜 좋습니다 첫째 디자인 카본 패턴과 골드의 포인트가 환상적입니다 둘째 기능 요새 전담의 기능이나 성능은 대동소이한 거 갔습니다 근데 닷 모드만의 장점은 상부 액상 주입 정말 편합니다 또 누수 또한 거의 없고 손에 쥐고 베이핑시 그립력도 아주 만족입니다 셋째 맛 표현 이게 가장 중요하죠! 코일의 회사가 어딘진 모르지만 예전 고출력 모드 기기로 리빌드 해서 베이핑 할 때 맛 표현을 코일 기성품이 어느 정도 따라온 거 갔습니다 최고👍 전체적인 평가는 ⭐⭐⭐⭐⭐ 별이 다섯 개입니다!,3
2,ttob******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250208,5,,"오오 아침 일찍 부터 택배가 왔네요 기존에 쓰던 전담이 변기에 빠지는 바람에 부랴부랴 구매 했습니다ㅠ 기존에 하복 se제품을 사용하고 있었는데 구매당시 투엑스 제품과 고민하다 하복을 구매 했는데 이렇게 투엑스도 구매하게 됬네요ㅎㅎ 닷모드 제품이야 워낙 유명한 제품이라 믿고 사용해도 되죠 뭐 전담계의 명품이라고 보면 될꺼 같습니다 몰랐는데 투엑스가 유명 DJ투엑스 X_X라는 분과 콜라보 해서 나온 제품이였네요!! 닷스틱 제품도 두 종류 써봤는데 상당히 만족하고 사용 했던 기억이 있습니다. 닷모드 제품들은 디자인이 정말 영롱하게 잘뽑아 내는거 같아요👍 거기다 압도적인 스펙까지! 하이엔드급 전담이라고 보면 되겠습니다. 팟 용량이 무려 5ml 출근 할때 넣고 퇴근할때까지 베이핑 할수 있는 대용량! 배터리도 2100mAh 사이즈로 한번 충전하면 2~3일도 거뜬한 대용량!! 팟도 5중으로 누수 zero에 좀비코일까지 제가 전담 살때 팟용량, 배터리,누수 를 제일 집중적으로 보는데 이번 투엑스는 디자인에 괴물같은 스펙까지 뭐 하나 빠지는게 없는 제품입니다. 와트수는 5-30w 까지 5w단위로 조절 가능합니다 출력이 높을 수록 더욱 진한 맛과 타격감을 줄수 있지만 그만큼 코일의 수명이 단축된다는 점! 닷모드 투엑스 제품은 팟 교체형 기기라 관리가 매우 편리해요! 코일 교체형 팟은 코일 교체 할 때마다 청소를 해줘야 되요! 하지만 일체형은 팟만 쇽 버리고 바꿔 주기만 하면되죠!ㅎㅎ 버튼을 4번 연타하면 베이핑 버튼을 잠금 및 해제가 가능 합니다 오토베이핑과 버튼베이핑 모두 가능하기에 버튼 잠금을 해놓으면 주머니 속에서 실수로 버튼이 눌리는 일은 없겠네요 :) 아 중요한 맛표현 연무량 타격감 모두 만족합니다! 사실 요즘 기술이 워낙 좋아져서 맛표현 연무량 타격감은 큰 차이가 없어 보입니다 워낙 잘 만드니까요 지금도 리뷰 쓰면서 열심히 베이핑 중인데 디자인이 미쳤습니다 남자들이라면 좋아할 블랙카본😎 무게도 가볍고 손에 쏙 들어오는 컴팩트함 너무 맘에듭니다 다른 기기는 눈에 안차요ㅎㅎ 아! 팟 밑에 보면 흡압 조절 가능해요! 신기하게 팟에 조절 기능이 있네요😲 전 아주 만족 스런 구매 였습니다. 다른분들도 구매에 도움 되시면 좋겠네요",0
3,jung*******,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250429,5,,"선물 할거라 상태만 확인 했는데 역시나 예쁘네요! 서비스로 주신거 보다보니, 샤슈컴퍼니 인가보네요? 오늘 전담카페 보다가 우연히 알게되서, 가입하고 액상이랑 다른 기기 기추 했는데!! 왠지 모를 반가움이..ㅎㅎ 액상 가격이 저렴해서 자주 이용하도록 할게요! 서비스로 주신 물티슈, 보조 배터리 잘 쓰겠습니다. 번창하세요!",0
4,cy****,옵션 선택: 찰떡 패키지 / 색상 선택: 카본 레더 / 드립팁 선택: 블랙,20250501,5,,"아니 무슨 구성품이 이리 많나요ㅎㅎ 작은 보조베터리까지! 샵을 잘 찾았네요. 일단 발라리안,하복을 사용중이였습니다. 발라리안은 코일이 싸고 작아서 좋은데 맛표현이 너무 약하고 용량이 작아 자주 보충해주어야하고, 하복은 파워는 좋은데 맛표현이 약하고 멘솔은 너무 증폭되어 목이 항상 아팠습니다. 닷모드는 적당한 타격감과 맛표현과 단맛표현이 아주 예술이네요.. 유웰쓰시는 분들 고민하지말고 이거 사세요.",1
5,yo****,옵션 선택: 찰떡 패키지 / 색상 선택: 레드 / 드립팁 선택: 레드,20250503,5,,일단 빠른 배송은 너무 감사한데.. 구성품 누락되었어요 화요일까지 공휴일이라 수요일에나 연락 주실거같은데 빠른 처리 부탁드립니다~,0
6,dlqu******,옵션 선택: 닷모드 투엑스 / 색상 선택: 실버,20250425,3,,살짝 무겁기는한데 디자인때문에 뭐...배터리도 오랴가는거 같고 팟에 흡입 조절도 되고 실버색상에 드립 투명 기본 쓰는데 액상이 자꾸 묻어나오고 팟에서 새는곳 확인되네요 탄맛은 아닌데 2일정도 되니까 액상이 점점 노래지네요 06옴 빼고 1옴 들어있는거 장착해보고 새로운 팟 생각해봐야겠네요,0
7,vane*******,옵션 선택: 닷모드 투엑스 / 색상 선택: 건메탈,20250507,5,,남자친구와 커플로 바꿨고 누수가 없어 신기하고 맛표현도 너무 괜찮네요. 둘 다 만족합니다.,0
8,cokd******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250228,5,,일단 디자인과 맛표현이 좋다해서 샀습니다 배터리 1500짜리도 하루정도 써서 이용량은 차고 넘치네요 닷스틱을 사용중이었습니다 기존에 샀던 팟시스템은 팟 아래 누수가 생겨 기계안으로 유입되어 정말 몇번을 교환을 하다가 방출하여 탱크기기로 전환했는데 다시 그 편한 팟이 그리워지더라구요 그래서 여러개 보는중에 타사와 이 닷모드 두개중에 고민중에 연디류가 맛향 표현이 좋다고 하여 주저 없이 골랐습니다 닷이 감성면에서만 뛰어나지 성능은 크게 기대를 안했습니다 데인적이 많아가지고요 그래도 카페글들 정독하면서 이번엔 마지막으로 믿어 보자는 식으로 구매를 했는데 일단 새로나온 카본 디자인이 너무 맘에 들었고 저에게 제일중요한건 맛표현인데 정말 선명하고 뚜렷하게 나오네요 팟자체가 작정하고 만든것처럼요 장착을 하게될때 자석 형태인데 뺏다 끼면 슬릭자국이 생기기는 하는데 누수가 없고 에어벨브조절도 아래 다이얼식으로 되어 있어 잘 만들었다 생각이되더라구요 이거 정말 물건이네요 팟은 편하지만 누수되면 안에 액상이 유입되기에 답이없어 포기하려고 했는데 맛표현도 직접코일 말아피는 입퓨클에 안밀릴정도로 훌륭하고 재구매의사 홍보의사 50000%센트 입니다 액상맛이라는게 코일이 결정하는건데 한 카토를 주입하더라도 맛있게 필수있으면 그걸로 된거죠 닷모드라는 브랜드에 대해서 다시 봤습니다 케이스 핏감도 예술이네요 팟 꼇다 뺄때 위에 벌려지는게 좀 그렇긴 하지만 다시 오므려주면 되니까요 ㅎㅎ 감성영역이아닌 성능 디자인 모두 최고로 달리고 있네요 앞으로 이런 제품 자주 만들어줬으면 좋겠고 양산하고 있는 팟들도 불량률 적으면 완전히 정착할거같네요 빠른배송 감사하구요 많이 많이 파세요 긴 글 읽어주셔서 감사합니다,0
9,elfn********,옵션 선택: 단일 상품 / 색상 선택: 카본 레더 / 드립팁 선택: X,20250503,5,,제가 써본 전자담배 중 이녀석만큼 맘에 드는 모델이 또 있었나? 싶을만큼 너무 좋아요. 요녀석에게 정착할 예정입니다!,0
10,youn*****,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250429,5,,우선 전자담배 너무 이쁘네요 아직 액상이 없어서 못폈는데 엄청 찾아보고 구입한거라 보고만 있어도 너무 좋네요 이번 기회에 연초를 끊어봐야할 것 같아요,0
11,vane*******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250507,5,,디자인이 너무 예뻐요~ 누수가 없고 맛 표현이 아주 좋아요. 냄새나는 담배로부터 해방 되었어요~,0
12,choi****,옵션 선택: 닷모드 투엑스 / 색상 선택: 티파니 블루,20250506,5,,굿굿 말이 필요없음… 연무량도 좋고 타격감도 지립니다. 스페인 출장가서 2달동안 코일 하나로 버텼는데 마지막쯤에는 살짝 탄맛이 나고 연무량이 줄어들었지만 그래도 이정도면 대단한 기기입니다.,0
13,bind****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250425,5,,이것저것 전담 많이 사용해봤는데 닷모드 닷투엑스 파티 블랙 사용해보고 진짜 만족스럽네요 입호흡 전용이라 그런지 흡입감이 부드럽고 액상도 잘 나오네용 디자인도 깔끔하고 그립감이 좋아서 손에 쥐었을 때 편하고 팟 교체도 간편하고 맛도 진하게 나서 만족스러운데다 가격도 합리적이고 색상도 다양해서 취향에 맞게 고를 수 있어서 좋은거 같아요 다른 전자담배랑 비교했을 때 훨씬 편하고 사용하기 좋아서 계속 쓸 예정~,0
14,chfh****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250407,5,,회사오빠가 제꺼 펴보곤 괜찮다고 아는형꺼랑 같이 주문해달래서 주문해줬어요~~ 하나는 저희집으로 받아서 전달해줬고 하나는 안동으로 보내서 블랙색상은 구경도 못해봤네요ㅎ (사진상 블루&레드는 근처 매장에서 산 기기로 대체합니다) 솔직히 액상 세는건 어느 기기나 다 있다고 생각하고.. 입 닿는곳엔 액상튐 현상은 없어서 만족하며 3개월째 쓰는중이예요. 보조배터리도 감사합니다~~,0
15,kbm4***,옵션 선택: 단일 상품 / 색상 선택: 그린 / 드립팁 선택: X,20250502,5,,"디자인이 세련돼서 들고 다니기 좋은 전자담배예요! 디자인이 시크하고 고급스러운 느낌 뿜뿜✨ 무게도 가볍고 그립감도 좋아서 손에 착 감기더라구요~ 입호흡이라 흡입감도 부드럽고, 액상 누수 없이 안정적으로 잘 사용되고 있어요! 담배 냄새 안 나서 주변에서도 거부감 적은 것도 장점이에요ㅎㅎ 깔끔하고 멋스러운 기기 찾는 분들께 추천하고 싶어요!",0
16,pym2***,옵션 선택: 찰떡 패키지 / 색상 선택: 카본 레더 / 드립팁 선택: 레드,20250503,5,,"배송 빠르고 배터리 용량, 오토 드로우, 액상 용량 3가지 장점이 구매 이유가 컸습니다. 누수는 써봐야 알것 같아요",0
17,lapu******,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250427,4,,디자인도 이쁘고 사이즈도 좋은데 기본 드립 팁에서 단맛 표현이 조금 부족하고 밍밍해요;; (단맛이 조금 적은 알로에베라 젤로 비교) 직경 조금 넓은 걸로 바꾸시면 좋아요.,0
18,gahe******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250507,5,,이거 피운이후로 신랑이 연초를 진짜 끊었네요 냄새안나서 좋아요,0
19,dp****,옵션 선택: 찰떡 패키지 / 색상 선택: 카본 레더 / 드립팁 선택: 실버,20250503,5,,1주일째 사용중닌대 누수도 엄ㅅ고 맛표현도 괜찮음,0
20,kims*****,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250420,4,,수정합니다 릴 하이브리드 사용하다 고장나서 바꿨습니다 이쁘고 편하고 좋네용!!!! 이벤트 필름이아니라 제가 제돈주고 구매했는데 안와서 별하나 뺀겁니다 공짜로안줬다고 댓글 다는거 아닙니다만 ㅎ 택배보내실때 검수좀 잘해주세요ㅋ,0
21,jshy****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250423,5,,빠른 배송 감사합니다~! 처음 전자담배 입문하면서 찾은 제품인데 블랙 색상이라 세련되면서도 지문 잘 안 묻고 무난하게 사용하기 좋아요 실제로 받아보니 사이즈도 손에 딱 들어오는 컴팩트한 크기라 휴대성도 아주 만족스럽네요 흡입감이 부드럽고 연무량도 과하지 않아서 연초에서 전환하는 데 부담이 없어요 잘 쓰고 있어요,0
22,tkfk*******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250506,5,,다른제품쓰다가 역시 디자인은 닷모드인거같네요 너무이뻐서 성능은둘째치고 구매를했는데 성능도 나쁘지않아 잘선택한거같네요,0
23,need*******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250423,5,,한달은 사용해봐야 알겠지만 처음 봤을땐 기기가 예쁘고 잡았을 때 느낌도 좋습니다! 전체적으로 기존에 쓰던 기기보다는 더 나은 것 같아요 좀 더 써보고 한달 리뷰로 돌아오겠습니다!!,0
24,lgp0***,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250426,5,,배송도 빠르고 고급지네요~ 처음 구매해보는건데 아주 만족합니다! 구성품도 좋아요~,0
25,ok****,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250423,5,,발라@@ 맥@쓰다가 누수이슈가 너무있어서 갈아탔어요 현재는 써보니 누수없고 좋네요 그래도 몇달써봐야 알죠 ㅎㅎ 지금은 만족스럽고 한달후기로 다시 쓰겠습니다!,0
26,nice***,옵션 선택: 단일 상품 / 색상 선택: 로얄 블루 / 드립팁 선택: X,20250503,5,,배송빠르게 잘받았습니다 계속 사용하고 있는거라 말이 필요없죠 잘 사용하겠습니다,0
27,pr****,옵션 선택: 닷모드 투엑스 / 색상 선택: 실버,20250428,5,,좋은게 배송도 다른 업체들보다 빠른것같고 배송 잘 받았어요. 여럿 고민했는데 가장 맘에 드는걸로 산듯하네요. 근처에 액상가게가 없어서 사봤는데 딴데보다 좀 더 저렴하게 잘 샀네요. 요새 오프 가게들이 많이 사라져서 인터넷으로 사봤는데 여기꺼 좋네요.,0
28,qw****,옵션 선택: 단일 상품 / 색상 선택: 레드 / 드립팁 선택: X,20250508,5,,빠르게 보내주셔서 좋아요 디자인도 심플하고 속에 잡히는 느낌이 편하고 가벼워서 맘에드네요 전체적으로 기대했던 거 이상으로 만족합니다!,0
29,rlaw********,옵션 선택: 닷모드 투엑스 / 색상 선택: 로얄 블루,20250424,5,,우선 배송이 엄청빠름 발맥프로 액상누수 스트레스 받아서 넘어옴 기기 사용전이지만 닷모드 색감 참 이쁘게 잘 뽑음 액누수만 없으면 정착할 예정,0
30,happ*******,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250504,5,,매장보다 싸서 좋네요 잘사용합니다,0
31,yuna*******,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250504,5,,"디자인이 멋져서 들고다니기 이쁜 전담입니다ㅋㅋ 시크하고 고급스러운 느낌을 줘요 무게도 가볍고 그립감도 좋아서 손에 착 감겨요 입호흡이라 흡입감도 부드럽고, 액상 누수 없이 안정적으로 동작해여ㅋㅋ",0
32,emdd******,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250508,5,,디자인도 멋있고 정말 사용하기 편리해서 좋아요!!!,0
33,djhs*******,옵션 선택: 닷모드 투엑스 / 색상 선택: 그린,20250408,5,,기기야 어디서 사던 다 똑같지만 여기 주인장은 택배를 배송이 아니라 발사를 해주십니다.. 지방지역이라 쿠팡도 2-3일 걸리는데 배송이 하루만에 오는게 너무 신기했어요 궁금한거 문의사항도 여쭈었을때 빠르게 답변해주시고 정말 친절했어요 전자담배는 이집으로 정착해야겠네요 번창하세요 사장님!!😁😁,0
34,ls****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250503,5,,향 잘뽑아내는거 같아요 디자인도 전자담배계의 애플,0
35,tjdq******,옵션 선택: 단일 상품 / 색상 선택: 로얄 블루 / 드립팁 선택: X,20250506,5,,디자인이랑 색감이 이쁩니다. 만족해요,0
36,syle****,옵션 선택: 단일 상품 / 색상 선택: 실버 / 드립팁 선택: X,20250503,5,,이쁘네요 성능도 좋고 아주 좋아요,0
37,0728***,옵션 선택: 단일 상품 / 색상 선택: 블랙 / 드립팁 선택: X,20250504,5,,"디자인이 세련되고 핸디한 사이즈로 휴대가 용이해서 편리했어요. 입호흡이 부드럽고, 연기도 자연스럽게 나와서 사용하기 좋았어요. 액상형 팟디바이스라 교체가 간편하고, 맛이 깨끗하고 풍부하게 느껴졌습니다.",0
38,kw****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250504,5,,전자담배 입문하면서 구매해봣어요ㅎㅆ 블랙 색상이라 세련되면서도 지문 잘 안 묻고 디자인도좋네요ㅋㅋ 사이즈도 손에 딱 들와가지구 휴대성도 아주 만족스럽네요 흡입감이 부드럽고 연무량도 과하지 않고좋네용,0
39,dani********,옵션 선택: 단일 상품 / 색상 선택: 블랙 / 드립팁 선택: X,20250507,5,,"간편하게 액상을 교체할 수 있고, 세척이나 관리가 쉬워서 사용이 편리해요. 기기 본체도 가벼운 무게로 휴대가 용이하고, 배터리 수명도 길어 외출 시에도 안심하고 사용할 수 있었습니다.",0
40,wjd8***,옵션 선택: 닷모드 투엑스 / 색상 선택: 건메탈,20250507,4,,밧데리도 오래가고 용량도 하루사용하기 좋은거 같아요~~~~,0
