작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
1072***,디오X: 세트1(기기+팟) / 색상: 사이언실버+0.6옴팟,20250417,5,,"배송 빠르고 포장 좋습니다 케이스 서비스로 주셨네요 감사합니다 케이스 끼우니 딱 맞고 스크래치 걱정없이 쓸수 있겠네요 그립감도 좋고 사이즈도 손에 딱 입니다 일단 디자인 좋고 액정있어서 배터리 잔량들 현재상태를 볼수 있어서 좋아요 색상도 여러가지라 선택폭도 넓고 이뻐요 이뻐 배터리 용량도 커서 오래 쓸수 있고요 충전시 세워놓고 충전 가능해서 누수 걱정도 덜하네요 소문대로 제품 좋습니다 출력 조절 , 흡입공기량 조절까지 되니 나에게 딱 맞는 스타일로 사용 가능합니다 액상 주입시 팟을 분리하지 않아도 주입 가능하고 누수는 없네요 팟과 본체 자력도 강해서 분리될 걱정 없습니다 드립팁이 긴 편이라 흡입시 더 편하고 잘 되고 그리고 맛도 정말 좋네요 타사 쓰다가 이거 쓰면 타사꺼 못쓰겠어요 .. 원리설명은 있지만 어떤 원리인지 참 신기합니다 제품 정말 잘 만들었네요 강추합니다",0
l0****,디오X: 단품 / 색상: 새비지블루,20250415,5,,"※ 4/4 ~ 4/15(현재) 까지 사용 중 1. 배송 - 4/3(목) 오후 주문 - 4/4(금) 오전 9시전 도착 (로젠택배) 2. 색상 - 제가 올린 사진 상의 색보단 살짝 어두운 톤인데 개인적으로 맘에 들고 고급스럽단 생각이 듭니다 3. 그립감 - 기기의 촉감 괜찮고 그립감 좋습니다. 손 작으신 분들도 한 손에 착 들어올 듯 4. 배터리 - 6Ω 20W 기준으로 완충 시 약 8~900회 정도 베이핑 가능할 것으로 예상 5. 누수 - 6Ω / 20W / 공기흡입구 1개만 개방 / 파이어버튼 X / 오토드로우로만 사용 / 과일, 디저트 액상으로 10일 정도 사용한 후기입니다. 6Ω = 과일, 12Ω = 디저트라 하셨는데 각 팟에 맞는 액상으로 사용해야 할 것 같습니다. 누수는 몇 번 있었고 무조건 새는 건 아니라 어떤 조건이 성립되었을때 새는지는 모르겠습니다. 팟이 불량이었는지 제가 액상 사용을 잘 못한건지는 모르겠습니다. 지금은 12Ω 11W 오토베이핑으로 시가향 액상 사용중인데 아직까진 누수 없습니다. 6. 케이스 - 사은품으로 주신 케이스는 밑에 구멍이 없어서 기기를 한번 넣어봤다가 다시 뺄 때 고생좀 했습니다..ㅜㅜ 7. 디자인 -기기 밑 부분이 넓지 않고 사이드 부분이 둥근 편이라 살짝 건드리면 잘 넘어집니다. 기기의 디자인은 깨끗한 느낌에 이쁜데 살짝 아쉽네요.. 8. 연무량 - 괜찮은 것 같습니다. 6Ω 보다는 12Ω 이 부드러운 느낌이 나긴 하네요 9. 만족도 - 저는 상당히 만족하고 재구매나 지인에게 추천 의사도 있습니다. 누수는 좀 더 사용해 봐야 알 것 같고, 누수 없는 기기는 없으니 최대한 적었으면 좋겠습니다. 10. 정리 -장점 : 디자인, 색상, 배터리, 그립감, 연무량, 고객 응대 -단점 : 기기 밑부분, 사은품 케이스",0
egh4***,디오X: 세트2(기기+팟+스텐드립팁) / 색상: 사이언실버+0.6옴팟,20250425,1,,"⭐️한 달 사용후기(칭찬할것도있고 깔것도있음..) [한 달만에 배터리가 망가졌어요] 뽑기운이 있는건지.. 어느날 배터리가 죽어있음. 별짓다해도 켜지지가 않습니다. 그래서 지금 다른거 주문하는김에 리뷰남겨요. 싼가격이 아닌데 이 정도에 배터리가 죽는다는건 새로 받거나 as를 맡기기도 애매해서 그냥 일단 다른거 삽니다. [맛표현은 무난함] 당도는 중-상 정도 적당하게 올려줌 향표현은 좀 뭉게지는폄. 유튜버가 오바떨면서 맛표현 개쩐다고 하지만 저는 별로 하지만 저주파 베이핑은 좋았음. 전담 특유의 소음(공기소리,부우웅 모터소리) 이런건 체감이 될정도로 좋았고 이게 생각보다 엄청난 장점. 흡입시 연무의 느낌또한 매우 부드러웠음 이건 계속 연구해볼만한 기술인건 분명한듯. [액상 누수 전혀없음] 진짜로 여태껏 써본 기기가 20종류는 넘고 싹다 누수가 있었음. 누수없디는 리뷰 봐도 싹다 한달만에 발생이였지만. 디오만큼은 누수가 없었다.. 칭찬해 [배터리 오래가고 가벼움] 말그대로 오래감. 무게 진짜 개 가벼움. [기스가 너무 잘남] 손톱으로 긁어도 기스남. 궁금하면 긁어보시길 🌟총평 디오2가 나오면 재구매를 긍정적으로 생각해볼듯. 그 이유는 단지 저주파 베이핑때문임. 만약에 디오2가 나온다면,팟을 개선해주길. 이 팟을 리뉴얼하지 않으면 절대안삼. 연초디저트는 1.0에서 너무 좋았지만, 0.6팟에 과멘넣었을때 팟의 향표현은 진짜 좀 애매함. 필때마다 항상 아쉬운 느낌 그리고 배터리가 망가지는건 원인이 너무 많아서 기기 자체결함이라고 말하기에는 양심상 찔림. 하지만 소비자 입장에서는 뽑기운이라고 밖에 생각이 안듬... 가만히 충전만해도 망가지다니.....😥",0
soni****,디오X: 세트2(기기+팟+스텐드립팁) / 색상: 레트로퍼플+0.6옴팟,20250430,5,,"디오X 세트 2번구매 저는 초창기( 브이스루시리즈 전체 다해보고 디오로 넘어오고)나왔을때 샀고 저 사니까 남자친구(브이스루,발라리안,젤로 등등)도 사달라해서 사주고 홍보대사마냥 넣을때 실수 안하면 누수없다고 하니까 회사차장님 발라리안 맥스 피다가 누수 때문에 짜증난다면서 나도 주문해달라고 하셔서 세번째 구매네요. 저는 검은색 남자친구는 회색 차장님은 보라색 제가 살때보다 해택도 더 좋아진 것 같고 마음속으로 부러워하면서 오! 해택이 훨씬 좋아진 것 같다고 하니까 팟하나 나눠주셔서 팟도 하나 생겼네요 ㅋㅋㅋ 업그레이드 버전이 나온다면 또 구매 할 것 같네요",0
sea0****,디오X: 단품 / 색상: 메탈블랙,20250427,5,,약 3달 사용후 서브용으로 두번째 구매합니다^^ 인생 전담 디오엑스~ 넘 만족하며 사용중이에요!! 소음 없고 튐 없고 액흐름 없고~ 맛표연 또한 굿~ 주변 지인들 다들 바꾸고 있습니다 ㅎㅎㅎ 저는 어라운드 홍보대사 ㅋㅋㅋ 후회 없어요~ 쓰!세!요!!,0
hs48******,색상: 레트로퍼플,20250305,5,,"전자담배 12년째 못끊고 있는 여성입니다^^;; 여태 얼마나 많은 기기들을 써왔겠냐구요😅😅 맨날 술마시고 잃어버려서 매장가서 바로 샀는데ㅠㅠ 이번에는 잃어버린김에 끊어보자싶어서..참다가 하루를 못견디고 인터넷 이리저리 뒤젹거려보는데., 디오X 요놈 디자인이 눈에 계속 거슬리더라구요 ^^^;;;상품평도 좋은것같고 반신반의하메 주문~!! 디오X .. 이거슨 일단 색상이 아주아주 영롱허네요? 😍😍😍😍😍 택배뜯자마자 너무이쁘다고 취저😍😍😍😍 일단 이쁘니까 써보자싶어서 바로 0.6옴 끼워서 액상넣구 5분기달... 저는 참고로 과일멘솔^^!!! 기다리는동안 뭐 설명서 후딱읽어보고 어려운거 전혀~~~~!!!!없드라고요?^^ 오늘 하루종일 물고있었는데 누수한방울없구!! 목넘김좋고👌 타격감좋고 손에 그립감 완전 죽여주네요? 여자손에 딱 알맞은 크기에다가 그냥이뻐서 그냥 다좋음👍👍 전자담배 오래피신분들은 별말안해도 몇번 빨아보면 다~~~알지않나요?!! 긴말필요없음^^^ 투명케이스 선물주셔서 감사합니다 🩷🧡💛💚💙🩵💜🤎 매번 기기 기스나서 속상했는데 아주 잘써볼게요❤️ 진심 이가격에 이렇게 이쁘고 품질좋은 기기보내주셔서 감사합니다😍 아주대박나세요 주위친구들한테도 강츄츄할게요😍",2
mins*******,디오X: 세트1(기기+팟) / 색상: 새비지블루+0.6옴팟,20250409,5,,"먼저 때깔 보세요……..🩵💙 전담 처음 입문 하는데 저 같은 경우 뭐 하나 살 때 며칠동안 유튜브 네이버 폭풍 검색해서 구매를 하거든요?! 디오x가 맛표현, 디자인, 누수 걱정 등 전체적으로 봤을 때 너어무 끌려서 살까말까 고민 하루종일 했는데, 🔥고민은 행복을 늦춥니다.🔥 앞서 말했다시피 때깔 뒤집어지십니다.. 그립감, 크기 아주그냥귀여워🐹🐹🐹 뭔가 반려동물이 생긴 느낌? 그냥 뽀뽀쪽10000번 했습니다… 보내주신 케이스 덕분에 더욱 귀여워보임…. 그리고 사실 아까 떨어뜨렸는데 케이스 덕분에 안전 착지 🥢 폭풍 검색러가 사용해 본 디오x 기깔나게 장점 적어보겠습니다 👯‍♀️ 🩵 영롱한 색상 -어떻게 이런 디자인을 띵킹 하셨습니까..? 🐬 대용량, 간편함, 누수 걱정x 팟 - 자주 액상을 갈 필요 없이! 코일 교체로 귀찮음 없이! 액상이 흐르지 않게 상단 주입 방식으로! 👅 선명하고 맛있는 기기 디오x -액상의 맛을 더 맛있게 표현한다는 평이 많은 이유.. 알 것 같습니다 🔥 고민은 행복을 늦출 뿐. 당장 구매하시옹. 🐹",0
wkgn*****,디오X: 세트1(기기+팟) / 색상: 메탈블랙+0.6옴팟,20250318,5,,"●1개사용중인데 만족스러워서 1개더 추가구매해요 3개월정도 사용했는데 장점 적어볼께요 구매하는 분들참고하시면 좋을꺼같아요 1. 0.6 , 1.2옴 2종류가있는데 저는 개인적으로 0.6이 무난히 다 잘어울리는거같아요 2. 기기가 슬림해서 휴대하기 편합니다 3. 기기에 홀드 기능이 있어서 주머니에서 눌릴 일이 없어요 4. 상부 슬라이드 주입버튼이라서 주입, 보관이 액상누유일이 없습니다 5. 배터리용량이 넉넉해서 연초기준1갑반 폈는데 외출시에 배터리 부족할일 없습니다(겨울 사용기준) 6. 팟 교체형식이라서 다른기비 코일교체하면서 손에 액상이 묻거나 흘릴일이 없습니다 7. 팟이 마그네틱 형식으로 보관시 부착이 편하고 분리되어 떨어질일이 없습니다 이렇게 개인 생각하는 장점 기제했습니다 추천해요~~",0
surp******,디오X: 세트2(기기+팟+스텐드립팁) / 색상: 레트로퍼플+0.6옴팟,20250425,5,,슬림해서 맘에 들어요~ 기존 유웰하복을 쓰고 있었는데.. 느낌이 완죤 다릅니다~ 손안에 착 감기니까 좋아요. 색상도 맘에 듭니다.,0
tjdd******,디오X: 세트1(기기+팟) / 색상: 메탈블랙+0.6옴팟,20250509,5,,기존에 쓰던제품이 누수도 잘되고 액상도 딸려오는현상이 많아서 디오로 고매했는데 맛표현도 부드럽고 다격감도 더좋네요 진작에 바꿔야했단 생각이 드네요 적극추천하고 싶습니다,0
