작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
ljc4***,색상: 코튼블루 COTTON BLUE,20250501,5,,"오전 11시 이전 결제하니 빠르게 익일 오전 배송(경기도 기준)되어 배송 속도도 만족하며, 기기 배터리 90퍼센트 상태로 내•외부 결함 없이 깨끗하게 왔고 실사용 또한 만족합니다. (실리콘 케이스는 별도 구매하여 착용)",0
sang********,색상: 코튼블루 COTTON BLUE,20250510,4,,배송 빠릅니다 잘 받았어요,0
lou0****,색상: 코튼블루 + 랜덤 정품 케이스(반값),20250502,4,,빠른 배송 좋아요 굿,0
al****,색상: 코튼블루 + 랜덤 정품 케이스(반값),20250421,5,,기계 좋아요 케이스도 주고,0
joda***,색상: 코지버건디 COZY BURGUNDY,20250425,5,,정말 좋은 제품을 저렴하게 잘 구매한것 같습니다. 굉장히 많은 도움이 됩니다.,0
hoho****,색상: 코튼블루 COTTON BLUE,20250508,5,,빠른 배송 감사합니다,0
love****,색상: 코튼블루 COTTON BLUE,20250503,5,,빠르게 배송 해주셔서 감사 합니다,0
lkj5*****,색상: 코지버건디 COZY BURGUNDY,20250416,4,,버건디시켰는댕블루가왔넹ᆢㄷ,0
ross*******,색상: 코튼블루 COTTON BLUE,20250428,5,,배송도 빠르고 제품도 좋아요,0
phki*****,색상: 코튼블루 COTTON BLUE,20250430,5,,카트리지 없어서 좋아요,0
pubb***,색상: 코튼블루 + 랜덤 정품 케이스(반값),20250418,5,,생각보다 더 좋은거 같아요 만족합니다,0
jkle***,색상: 코튼블루 + 랜덤 정품 케이스(반값),20250328,5,,매우 좋아요. 재 구매합니다..,0
kvc1***,색상: 코튼블루 COTTON BLUE,20250402,5,,사업 번창 하세요.,0
kihw******,색상: 코지버건디 COZY BURGUNDY,20250406,5,,좋아요. 추천드립니다. 다만 색상이 잘못왔습니다. 주문과 다르게...,0
oner***,색상: 코튼블루 COTTON BLUE,20250316,5,,배송빠르게 보내주셨고 제품도 양품인거같네요 잘사용할게요,0
an****,색상: 코튼블루 COTTON BLUE,20250322,5,,전 기기를 1년쓰고 고장나서 다시 구매..as 하러가는게 더 귀찮..,0
6364***,색상: 코튼블루 COTTON BLUE,20250411,5,,잘쓰고 있습니다 저렴하게 구매했네요,0
kimg*****,색상: 코튼블루 COTTON BLUE,20250324,1,,연무량이 별로 안좋습니다,0
yama***,색상: 코지버건디 + 랜덤 정품 케이스(반값),20250324,5,,이쁘고 매우 만족해요.^^,0
dunh*****,색상: 코지버건디 COZY BURGUNDY,20250319,5,,배송 빠르고 좋아요,0
gus8***,색상: 코튼블루 COTTON BLUE,20250406,5,,너무좋아요 만족합니다,0
mkmo****,색상: 코튼블루 COTTON BLUE,20250318,5,,배송도 빠르고 좋아요...,0
jkle***,색상: 코튼블루 COTTON BLUE,20250318,5,,제품에 매우 만족합니다..,0
bmwq****,색상: 코튼블루 COTTON BLUE,20250326,5,,릴 원보다 기능적으로 훨씬좋아졌고(밧데리잔량표시 등) 그립감및 무게가 가벼워 넘 편하게사용허고 있습니다!,0
yeun****,색상: 코튼블루 COTTON BLUE,20250303,4,,액상기계 는 부작용 때문에 사용못했는데 에이블2.0 사용후 몸에서 담배 냄세가 덜나고 부작용이 없어 잘 쓰고 있음 .,0
bmwq****,색상: 코튼블루 COTTON BLUE,20250215,5,,무게 그립감 타격감 다 맘에들어요 구성도 깔끔하게 되어 있어서 좋아요!,0
se_e****,색상: 코지버건디 COZY BURGUNDY,20250318,5,,안새고 편해요 이쁘고 그립감도 좋아요,0
hyun********,색상: 코튼블루 COTTON BLUE,20250321,5,,가성비 있게 잘 구매햇습니다 좋아요,0
ae****,색상: 코튼블루 COTTON BLUE,20250216,5,,싸게 잘샀어요 남동생 친구 선물 다 해줬오요 결과는 대만족,0
oyj5***,색상: 코튼블루 COTTON BLUE,20250314,5,,만족합니다.두번째 구입이에요,0
duca*****,색상: 코튼블루,20250318,5,,"연무량, 시간 모두 만족합니다.",0
b0****,색상: 코튼블루 COTTON BLUE,20250217,5,,좋은물건 빠른배송으로 잘받았습니다 감사합니다,0
ae****,색상: 코지버건디 COZY BURGUNDY,20250216,5,,가격싸게 잘샀어요 동생 친구 다 선물해줬어요,0
se_e****,색상: 코지버건디 COZY BURGUNDY,20250313,5,,이뻐용 멀리서 오느라 느리긴 했지만요,0
