작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
rl****,베이포레소 크로스 4 미니 / 컬러: 스페이스 그레이,20250420,5,,"베이포레소 크로스미니2,3 다 사용하다가 이번에 4까지 구매해봤는데요! 일단 디자인이 가장 예뻐요 ㅎㅎㅎ.. 색상도 너무 만족합니다. 실버는 너무 밝고 블랙은 너무 칙칙한데 그라데이션이라 너무 예쁩니다ㅎㅎ 크기는 크로스미니3에 비해 아주 조금 뚱뚱해지고 길어졌어요. 쓰다보니 또 적응되긴합니다. 그래서 팟을 체결했을때 팟이랑 단차가 조금 생기긴하는데 걸리적거리거나 신경쓰일 정도는 아닙니다~ 이번에 미니 모델에 에어홀조절이 생겨서 좋네요~~ 맛은 피다보니까 전작이랑 비슷한거같아요~~ 기존꺼 잃어버려서 급하게 주문했는데 배송이 총알배송이라 너무 좋았어요 알콜솜이랑 보조베터리 서비스도 최고입니다~ 감사해요 다음에 또 구매할 일 있으면 후크팩토리에서 구매하려구요!!",1
tigu****,베이포레소 크로스 4 미니 / 컬러: 샴페인 골드,20250418,5,,"세번째 내돈내산 후기입니다. 예전에 몇 년간 잘 쓰던 베이포레소는 수명이 다하거나 (물에 빠뜨렸어요), 혹은 분실해서 (차 시트 사이에 어딘가 빠졌는데 다시 나타나길 기도 중) 이번에 또 구매하게 됐습니다. 액체 튐 현상 전혀 없고 누수도 없습니다. 연무가 풍부할 뿐더러 이번엔 더 많은 컬러와 LED 표시등까지 달고 등장했네요. 여러 제품 써보다가 정착하게 됐는데, 가격마저 타사 대비 훌륭하다보니 앞으로 베이포레소만 계속 쓸 듯 합니다. 여기저기 고민하고 비교하지 마시고 그냥 이거 쓰시는 걸 추천합니다. 리뉴얼한 이번 버전이 유달리 더 맘에 들어서 태어나 처음, 길게 리뷰 써봤습니다.",1
ymle*****,베이포레소 크로스 4 미니 / 컬러: 카모 실버,20250509,5,O,기기 너무 이쁘네요.. 한달넘게 사용해본결과 다른기기들과 비교하자면 아쉬운점이 많지만 그래도 무난하게 쓰기 좋을거 같아요 굳이 단점이 있다면 액튐이 좀 거슬린다? 그리고 누수도 생각보단 좀 있는편이었어요 그래도 자주쓰는 분들은 괜찮을거 같아요!,0
ssj2***,베이포레소 크로스 4 미니 / 컬러: 카모 스타,20250507,5,,처음 사용했을때 약간 누수가 있어서 의심했는데 팟한번 갈고나니 누수가 지금까지 없어요. 아마도 그때 주머니에 넣고 너무 흔들렸나봐요. 이것저것 많이 써봤는데 그냥 간편한게 최고인것 같아요. 추천합니다,0
jo****,베이포레소 크로스 4 미니 / 컬러: 스페이스 그레이,20250425,5,,배송 빠르고 제품 정품이라 좋습니다. 전 모델도 같은 모델이라 특별할것도 없지만 스스로 검증한 제품이라 브랜드나 모델에 대한 믿음은 있어서 구매했어요. 충전기 서비스 고맙습니다!!.,0
wbsc*****,베이포레소 크로스 4 미니 / 컬러: 스페이스 그레이,20250512,3,,배송은빠른데 누수가 너무심하네요 세워놓고 계속닦는데도 줄줄새요 겉에도 계속 묻어나와요,1
ssb1***,베이포레소 크로스 4 / 컬러: 블랙,20250508,5,,그립감좋고 에어조절 좋고 디자인도 좋아요. 사은품으로 주신 보조배터리도 잘 쓰겠습니다^^,0
flqk******,베이포레소 크로스 4 미니 / 컬러: 아이스 블루,20250402,5,,"기존에 아스X 전담 사용중이었는데 누수때문에 너무 열받아서 기기바꾸려고 검색해보다가 친구가 실제 사용중인데 누수없다고 추천해줘서 샀습니다. 배송도 빠르고 기기도 기존거보다 작고 슬림해서 휴대하고 다니기엔 더 좋네용 아이스블루 색상도 이쁘네요! 배터리사은품이랑 빠른 배송 감사합니다☺️ 제발 누수가 없길,,🙏",1
ssss******,베이포레소 크로스 4 미니 / 컬러: 아이스 퍼플,20250509,5,,맘에들어요. 배송 빨라서 좋습니다.,0
og****,베이포레소 크로스 4 미니 / 컬러: 블랙,20250504,5,,가성비 좋은거같아요! 보조빠데리 써비스도 감사합니다@@,0
