작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
ba0r***,브이메이트 E2: 월넛 브라운,20250402,5,,"브푸 시리즈 다 사용해본 저로써는 이번 브푸2 혁신적인 제품이라 생각됩니다. 첨부영상 마다 짪은멘트 써놨지만 단점을 찾긴 힘들것같습니다. 시리즈 보안점을 다 극복해 나간 제품이라 확신합니다. 가짜리뷰,악성리뷰 이런거 아니고 진짜 찐 리뷰입니다.주변 지인들한테 추천해주고 다들 대만족이라 하네요. 저는 몇개 더 구입해야겠어요.",2
z2****,브이메이트 E2: 네이비 블루,20250508,5,,연초만30년 피다가 브이메이트 덕분에 연초 끊었습니다. 액상이 달달해서 그런지 연초 생각이 안나네요 가격도 저렴하고 연초보단 많이 피는거 같지만 담배냄세가 안나서 너무 좋습니다,0
sky2*******,브이메이트 E2: 제트 블랙,20250510,5,,다양하게 찾아보고 주문했는데 정말 만족하면서 쓰고 있습니다. 배송도 빨라서 매우 만족합니다.,0
shin******,브이메이트 E2: 제트 블랙,20250504,5,,배송도 빠르고 디자인 너무 이쁘네요 그립감도 좋고 무엇보다 누수없이 잘쓰고 있습니다.,0
amen******,브이메이트 E2: 에메랄드 그린,20250423,5,,전자담배는 이 제품이 가장 고급스럽고 성능도 최고인것 같습니다. 연초 끊으려고 전자담배산건데 너무 만족스러워 전자담배를 못 끊을거 같네요. 휴우,0
0109*******,브이메이트 E2: 월넛 브라운,20250510,5,,와.. 개봉과 동시에 퀄리티로 1차 놀라고 사용감 후 2차로 놀람 굳,0
re****,브이메이트 E2: 어반 카모,20250503,4,,배송이 생각보다 느렸지만 제품은 만족합니다.,0
nalk*****,브이메이트 E2: 네이비 블루,20250420,5,,"크기가 딱 좋습니다. 그래서 그립감도 좋아요, 배터리도 이틀은 가는게 적당합니다, 맛표현도 훌륭해요 누구도 거의 없습니다! 고장나면 또 사러 올게요! :)",0
gogw****,브이메이트 E2: 월넛 브라운,20250510,5,,2번째 구매입니다 지인이 추천해달라고해서 또 구매했네요 배송 다음날 바로와서 너무 좋아요,0
yran***,브이메이트 E2: 제트 블랙,20250430,5,,기계가 오래되서 바꿨는데 블랙 너무 이쁘고 뚜껑이 자석이라 더 좋은거같아요~,0
