작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
gusa****,부푸 브이메이트 i2: 매트 블랙,20250430,5,,브이메이트 E2 사용하다 분실해서 연초를 피웠는데 다시 전담으로 전향할 생각에 최신기종인 i2를 구매했네요. 디자인도 더 슬림해지고 기능도 깔끔하고 배터리 용량도 더 커져서 여로므로 만족하게 사용할듯 싶네요~! 사은품으로 챙겨주신 스티커랑물티슈도 잘 사용하겠습니다.또 필요시 재주문 하겠 습니다,0
ysy6***,부푸 브이메이트 i2: 매트 블랙,20250511,5,,빠른 배송과 다양한 사은품까지 감사합니다 ㅎㅎ 배터리가 정말 길어 이틀은 무난하게 사용이 가능하고 사이즈가 컴펙트해 딱입니다!,0
deat******,부푸 브이메이트 i2: 스페이스 그레이,20250503,5,,빠른배송 감사합니다^^ 톡톡상담 친절하시고 칼배송에 서브기기? 사은품까지 뭐가 남긴 하는지는 모르겠지만 자주 애용하겠습니다~,0
ds****,부푸 브이메이트 i2: 스페이스 그레이,20250506,5,,빠른배송. 제품을 토요일날 받고 지금까지 액상두번 채우고 밧데리 사용시간이 길어 좋네요 강추합니다,0
sik7***,부푸 브이메이트 i2: 매트 블랙,20250501,5,,"뭐가 많이 들어있어서, 뭐지 ?해서 다시 봤더니 사음품을 어마어마하게 주시네요. 대박나시길!!",0
gt****,부푸 브이메이트 i2: 매트 블랙,20250430,5,,리뷰를 무조건 쓸 수 밖에 없네요 ^^ 흡입도 괜찮고 서브용으로 주신 것도 맘에 듭니다. 감사합니다 !!,0
kjyw***,부푸 브이메이트 i2: 매트 블랙,20250513,5,,배송도빠르고 무엇보다 배터리가 커서좋습니다,0
peac****,부푸 브이메이트 i2: 매트 블랙,20250509,5,,좋아요. 또구매할게요,0
thom***,부푸 브이메이트 i2: 매트 블랙,20250503,5,,가격도 괜찮은데 같이 오는 구성품도 많아 좋네요~~ 앞으로 종종 이용할게요~~,0
baby****,부푸 브이메이트 i2: 로지,20250508,5,,제품 굿~~~사은품도 주시고 너무 좋아용,0
jch4***,부푸 브이메이트 i2: 스페이스 그레이,20250322,5,,"부푸 프로,부푸 브이메이트E 쓰고 있다가 오래 써서 배터리가 고장나서 여기서 브이메이트i2를 구매하였는데 역시 믿고 쓰는 부푸입니다. i2는 프로에 비해배터리가 1500이라 진짜 오래가서 너무 좋았습니다! 사장님이 사은품도 야무지게 잘챙겨주셔서 너무너무 감사하고요!또 톡톡으로 문의드렸는데 너무 친절하게 대답 해주셔서 감사했어요!! 사업 계속 번창하시구요. 조만간 또 주문하러올게요!아 주위에 소문도 많이 내겠습니다!!",0
kyuh********,부푸 브이메이트 i2: 매트 블랙,20250429,5,,맥스에서 넘어왔는데 가볍고 좋습니다 챙겨주신 사은품도 잘쓰겠습니다.,0
jhk1*******,부푸 브이메이트 i2: 매트 블랙,20250418,5,,두개와서 너무 좋네요~ 근데 첨엔 설명서가 안들어있어서 사용하는데 어리둥절했어요~ 그래도 슬림하고 깔끔해서 너무 이쁘네요🥰,0
zeal***,부푸 브이메이트 i2: 매트 블랙,20250424,5,,적응한다고 머리약간 띵했는데 잘써보겠습니다 길이가 생각보다 길었네요.,0
jawo*****,부푸 브이메이트 i2: 루비 레드,20250410,5,,아주 뽁뽁이로 강력하게 와서 열어보니 포장도 너무 잘되있고 이것저것 잘챙겨주시는게 아주 처음 느껴보는 전자담배 스토어입니다 잘포장해서 보내주셔서 감사합니다 앞으로 많이 이용하겠습니다!,0
cool****,부푸 브이메이트 i2: 로지,20250418,4,,만족합니다 입문용으로 지인에게 선물드렸는데 흡족해하십니다 액상만 잘선택한다면 말입니다 사업 번창하세요,0
sb****,부푸 브이메이트 i2: 스페이스 그레이,20250419,5,,여기서만 주문합니다!!! 친절도 배송속도 뭐하나 흠잡을게 없어요!! 고맙습니다 ^^,0
dpdm******,부푸 브이메이트 i2: 매트 블랙,20250402,5,,포장이 너무 깔끔하게 왔어요. 기기도 너무 만족스럽구요! 컬러는 원톤인 블랙이랑 레드 중 고민하다가 깔끔한 블랙으로 선택했는데 예뻐요 ㅎㅎ,0
sako******,부푸 브이메이트 i2: 매트 블랙,20250430,5,,업그레이드 제품이라 기대됩니다^^,0
bijo****,부푸 브이메이트 i2: 로지,20250512,5,,오 부푸 신상버전인가봐요 흡입할때 옆에 네온불빚 들어와서 예뻐요^^,0
wils*****,부푸 브이메이트 i2: 로지,20250415,5,,전담을 분실해서 재주문했는데 로지가 아닌 레드로 왔네요ㅠㅠ아쉬운대로 그냥 쓸께요~,0
hong****,부푸 브이메이트 i2: 던 블루,20250408,5,,포장 깔끔하게 잘 왔어요 사은품도 잘 쓸께요 두개 구매했는데 카트리지는 한개만 왔네요,0
no****,부푸 브이메이트 i2: 스페이스 그레이,20250425,5,,최고 엄청빠른배송!! 시키고다음날아침바로왔어요 서브용인지 모르겠는데 기기가하나더있어서 놀랐다는 최곱니다,0
gksw***,부푸 브이메이트 i2: 포레스트 그린,20250413,5,,이쁘고 같이 주시는게 많아서 좋아요. 종종 구매할게요,0
cool****,부푸 브이메이트 i2: 스페이스 그레이,20250412,5,,입문용으로 구매하였는데 나름 만족합니다 잘쓸께여 사은품도 굿입니다,0
hong****,부푸 브이메이트 i2: 루비 레드,20250408,5,,제품 잘 받았어요 포장도 잘 되어오고 사은품도 잘 쓰겠습니다,0
good*****,부푸 브이메이트 i2: 던 블루,20250421,5,,사은품까지 대박입니다.,0
pdy0***,부푸 브이메이트 i2: 루비 레드,20250403,5,,브이쓰루보다 팟 하나정도 크기가 커지고 배터리용량이 많이 늘었으니 만족합니다 보조배터리와 스티커도 잘 사용하겠습니다,0
idlo******,부푸 브이메이트 i2: 네온,20250411,4,,배송빠르고 제품은 아주 만족합니다,0
sace****,부푸 브이메이트 i2: 루비 레드,20250507,4,,좋은 제품 잘사용하겠습니다,0
neya****,부푸 브이메이트 i2: 로지,20250415,5,,"길이, 무게 등 맘에 듭니다",0
wlst********,부푸 브이메이트 i2: 매트 블랙,20250404,5,,"향도 좋고, 사용하기가 너무 간편하고, 사이즈가 아담해서 마음에 듭니다! 가격대비 대만족이고, 앞으로도 잘 사용하겠습니다~ 감사합니다!!",0
wjsd******,부푸 브이메이트 i2: 포레스트 그린,20250425,5,,슬림하규 콤팩트하지만 성능은 정말 단연최고입니더!,0
se****,부푸 브이메이트 i2: 던 블루,20250402,5,,제품은 저렴하게 잘산듯 합니다 근데 0.7은 괜찬데 1.2옴은 괜히 산듯 다른건 다 만족합니다~,0
back******,부푸 브이메이트 i2: 매트 블랙,20250427,5,,디자인도 이쁘고 배터리도 오래가요,0
dlxo******,부푸 브이메이트 i2: 스페이스 그레이,20250313,5,,회사 동료가 추천해줬는데 어제 받고 처음 펴봤습니다 니코틴 맛도 없고 냄새도 담배 쩐내같은거 없어서 굉장히 좋네요 ㅎㅎ 하루종일 방에서 주구장창 빨았네요 번창하세요!,0
jiyu***,부푸 브이메이트 i2: 매트 블랙,20250429,5,,잘 사용하겠습니다.,0
youb********,부푸 브이메이트 i2: 매트 블랙,20250412,5,,전담하나 샀는데 보조배터리?랑 팟이 하나 더 왔네용 연초피다가 냄새땜에 첫 전담이었는데 배터리가 확실히 진짜 오래가요 잘쓰겠습니당,0
soon****,부푸 브이메이트 i2: 루비 레드,20250411,5,,문안하게 잘 사용하고 있습니다 벌써 3개월째인듯한데 특별한 문제는 없음 재구매 의향있음,0
viki****,부푸 브이메이트 i2: 로지,20250413,5,,예뻐요 누수도 별로 없고 잘 쓰겠습니다,0
ssm0****,부푸 브이메이트 i2: 로지,20250327,5,,방문수령으로 빠르게 잘 수령했습니다.,0
ek****,부푸 브이메이트 i2: 던 블루,20250324,5,,액상흐르는것도 없고 연기도 많이 나옴,0
ek****,부푸 브이메이트 i2: 네온,20250324,5,,액상흐른는것없고 최곱니다,0
k5****,부푸 브이메이트 i2: 매트 블랙,20250403,5,,"상세설명과 틀린부분 없고, 매우 만족합니다!",0
patb****,부푸 브이메이트 i2: 포레스트 그린,20250401,5,,바뀐기기 짱좋음 또사고싶음 ㅋㅋ,0
wils*****,부푸 브이메이트 i2: 로지,20250218,5,,약간 가벼운 느낌이네요~색은 이쁩니다!첫 액상전자담배인데 만족이에요!!잘쓸께요~,0
pwhd*****,부푸 브이메이트 i2: 스페이스 그레이,20250327,5,,아주 좋습니다 잘 쓸게요,0
imsa****,부푸 브이메이트 i2: 로지,20250304,5,,진짜 편하고 좋아요 카트리지가 작아서 하루에 한번씩 액상 채우는게 귀찮은데 릴에 비하면 이정도면 귀찮은 것도 아니죠 가볍고 좋은데 흡입할때마다 반짝거린느게 좀 거슬리는정두만 ~그래도 좋아ㅛㅇ !,0
you7***,부푸 브이메이트 i2: 매트 블랙,20250324,5,,기기 6대 구매중 리뷰 필요 없음,0
hand*******,부푸 브이메이트 i2: 로지,20250212,5,,기존 브이메이트E 쓰다가 고장이 날거같아서 이 제품 주문했는데 가볍고 사용하기 좋습니다 배터리도 더 오래간다고하니 맘에드네요,0
lote****,부푸 브이메이트 i2: 매트 블랙,20250318,5,,배송도 빠르고 만족합니다,0
kfck***,부푸 브이메이트 i2: 스페이스 그레이,20250215,5,,기존 가지고 있던 니코틴든 액상과 9 대1 비율로 일단 쓰는데 니코틴 만힝 든것 같이 탁격감좋네요.,0
yu****,부푸 브이메이트 i2: 스페이스 그레이,20250311,3,,전에것 보다 커서 좋아요,0
awz5*****,부푸 브이메이트 i2: 로지,20250107,5,,전단계보다 사이즈가 커진건 아쉽지만 그만큼 배터리도 커졌다는거니 좋아요ㅎㅎ 색도 예뻐요!!! 전용 보조배터리도 서비스로 주다니 넘 좋네요 배터리가 얼마나 남았는지는 보기 불편하긴한데 익숙해져볼게요ㅎㅎㅎ,0
rjsr******,부푸 브이메이트 i2: 매트 블랙,20250310,5,,약간의 누수가 있긴한데 좋습니달,0
ehfk*****,부푸 브이메이트 i2: 매트 블랙,20250205,5,,조아요 아주아주 만족,0
kjsi******,부푸 브이메이트 i2: 매트 블랙,20250119,5,,"평소에 브이쓰루 프로를 사용하고 있었는데, 브이메이트 12가 브이쓰루 프로 팟과 호환된다는 소식을 듣고 정말 반가웠어요. 기존에 가지고 있던 팟을 그대로 사용할 수 있다는 점이 정말 매력적이었답니다. 그래서 고민 없이 바로 구매하게 되었어요. 택배 박스를 받아보니 포장도 정말 꼼꼼하게 되어 있었어요. 기기가 안전하게 포장되어 있어서 안심하고 받을 수 있었답니다. 배송도 빨라서 주문하고 바로 다음 날 받아볼 수 있었어요. 요즘 택배 정말 빠른 것 같아요!",0
us****,부푸 브이메이트 i2: 매트 블랙,20250113,5,,VOOPOO오리지날 버전 2개를 쓰다가 1개가 퉁전단자 고장나 폭풍검색하게 됐습니다. VMATE i2가 배터리 용량이 늘어났다고해서 구매하였습니다. 제주도까지 번개배송에 보조배터리까지 서비스로 챙겨주시는 사장님의 센스! 감사합니다.,0
sala****,부푸 브이메이트 i2: 매트 블랙,20250124,5,,"일단 디자인도 이쁘구여 배송도 빨라서 맘에 들어요 색상도 깔끔하고 기존꺼보다 그립감이 더 좋아진거 같아용 보조 배터리를 서비스로 주다니,, 완전 감사합니다 가성비 너무 좋은거 같아요",0
da****,부푸 브이메이트 i2: 루비 레드,20250204,5,,너무 만족합니다 최고,0
bbre****,부푸 브이메이트 i2: 매트 블랙,20250124,5,,친구가 추천해줘서 구입해봤는데 일단 배송 너무 빠르고 포장 튼튼하게 왔어요! 매트블랙 고급스럽고 손에 잡히는 그립감도 좋습니다ㅋㅋㅋ 다른 색도 사보고싶네요~,0
