작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
iway******,컬러선택: 팬시 퍼플,20250501,5,,프로쓰다 배터리 소모가 너무 심해져서 새로샀습니다 프로보다 베이핑 측면에서 많이 개선된게 보입니다. 일정한 맛표현이 강점아닐까 합니다. 프로는 피다보면 맛표현이 변하는데 맥스는 일정하다보입니다. 외적으로 아쉬운건 10만원 사은품 받고싶은데 할인후 가격 기준인가봐요. 다른덴 할인전 가격기준이라 할인전 10만으로 맞췄는데 10만 사은품이 안온걸로보아 할인후가 10만 넘어야하는듯. 10만 넘으면 뮐 줄지 궁금해서요.,0
ggob*******,컬러선택: 오닉스 블랙,20250508,5,,부푸는 믿고쓰는 브랜드에요👍🏻 늘 만족함,0
clea****,컬러선택: 오닉스 블랙,20250510,5,,빠른배송 감사합니다,0
hwan****,컬러선택: 도브 그레이,20250325,5,,"네이버페이구매 확정창닫기 상품을 잘 받으셨다면 구매확정 해주세요 구매확정 이후에는 반품/교환 신청하실 수 없으니 꼭 상품을 받은 후 구매확정 해주세요. 판매자로부터 상품 배송 전 구매확정을 요구받았다면 사기의 가능성이 높으니 고객센터에 신고해주세요. 프로키베이프 부푸 브이메이트 맥스 전자담배 액상형 입호흡 전담 기기 기계 브이쓰루 프로 팟 호환 네이버플러스 멤버십 상품명부푸 브이메이트 맥스 전자담배 액상형 입호흡 전담 기기 기계 브이쓰루 프로 팟 호환 옵션 컬러선택: 도브 그레이 구매확정 시 550원 리뷰작성 시 최대 150원리뷰 작성 시 포인트 안내 구매확정이란? 상품을 배송받거나 서비스를 제공받은 후 반품, 교환 없이 구매를 확정하겠다는 구매자 의사표시입니다. 네이버페이는 안전한 거래가 이루어질 수 있도록 구매확정 후 판매자에게 결제 대금을 지급하고 있습니다. 상품이나 서비스를 제공받기 전 구매확정을 하신 경우 구매하신 상품, 서비스의 불만족이나 미수령등의 배송문제에 대한 책임은 구매자에게 있습니다. 포인트 적립 유의사항 한달사용 리뷰 작성 포인트는 위와 별개이며, 구매확정 이후 31일부터 [쇼핑MY > 상품리뷰] 에서 작성 가능합니다. 텍스트 리뷰와 포토/동영상 리뷰 적립 혜택은 중복으로 지급되지 않으며, 최초 작성한 리뷰 기준으로 지급됩니다. 해당 상품과 무관한 내용이나 동일 문자의 반복 등 부적합한 내용의 리뷰 작성은 통보 없이 삭제 및 적립혜택이 회수될 수 있습니다. 상품주문결제 금액에서 구매 적립과 리뷰 적립 포인트를 차감한 금액이 0원 미만(마이너스 금액)일 경우 구매 적립과 리뷰 작성에 대한 포인트 적립이 제외됩니다. 네이버페이 머니 결제 혜택 및 네이버통장 추가적립은 전체 상품 구매확정 완료 후에 추가 적립됩니다. 네이버페이 머니 중 '즉시적립혜택'을 받은 네이버페이 머니는 제외하고 적립 혜택이 지급됩니다. 선물 구매확정 시 구매적립 포인트는 선물 보내신 분께 적립됩니다. 구매확정하고 550원 받기",0
feww****,컬러선택: 팬시 퍼플,20250511,4,,휴대하고 다니기 좋네요,0
ssb5***,컬러선택: 글래이셔 실버,20250510,5,,아직은 잘 사용하고 있어요!!,0
pbr6***,컬러선택: 팬시 퍼플,20250325,5,,아빠 드릴려고 주문했어요! 아빠가 원래 쓰시던 제품인데 모델이 달라서 그런지 흡입이 안된다고 하셔서 판매자분을 제가 엄청 귀찮게 했는데..반품 택배보내기 직전에 결국에 전원이 켜졌어요ㅠ 저도 전담을 안써서 처음 봤는데 버튼을 정말 진짜 빠르게 5번 눌러야 켜지네요ㅜ 왠만한 빠름으로는 안되는거 같아요.. 아빠는 그냥 켜놓고 쓰시라고 해야겠어요ㅠ 판매자님 빠르게 답변해주셔서 너무 감사해요😭 온라인 구매 많이 하는 편인데 이렇게 친절하신 분은 처음 봤어요! 감사히 잘 쓸께요🤍,0
sang*******,컬러선택: 루비 레드,20250512,5,,잘쓰고있어요 백업용으로 2개사서쓰는데 냄새안나고 좋아요 주변에서 담배피고온줄도 모르네요..,0
schs****,컬러선택: 글래이셔 실버,20250306,5,,부푸메이트 초기 신상품을 사용하다가 사망하여 ~~ 신제품 재 구매해봅니다~~^^ 역시 믿고 쓰는 voodoo ~~^^ 그래서 두개 질러봅니다 뇌물팟 2개도 잘받았구요 LED 가 무지개빛으로 한껏 새련되 보이네요^^ 액상넣는 곳이 가로에서 세로로 변경되어서 조금 생소하지만 이것도 곧 적응.. 부푸의 장점 ... 액상 누출이 없다는것이 가장 매리트가있어요 번창하세요 판매자님~~~~~~~~^^,1
kh****,컬러선택: 오닉스 블랙,20250428,2,,실물은 크고 무겁네요... 기능은 좋은 것 같아요,1
