작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
sh****,브이쓰루 프로 / 색상 선택: 네온,20250509,5,,잘 받았습니다 타제품 액상일체형 팟쓰다가 교체비용 부담돼서 주위에서 추천받고 바꿨네요 품절이라 미리 전화주셔서 메이트프로로 교체해주시고 바로 사용할수 있게 해주셨네요. 빠른 대응 다음번에 또 찾게 될거 같습니다 주위에도 추천할게요 수고하세요~,0
nn****,브이메이트 프로 파워에디션 / 색상 선택: 던 블루,20250512,3,,브이메이트 프로 파워에디션 다좋은데 on/off 시 연타하는거랑 실리콘 케이스를 따로 구매해야 뚜껑이 있다는 단점이 있네요...,0
sjok*****,브이쓰루 프로 / 색상 선택: 문화이트,20250508,5,,흡입도 좋고 제품도 튼튼하고 색상도 이쁘고 쪼오오끔 새는? 그 정도 빼고는 좋아요,0
wnsf****,브이쓰루 프로 / 색상 선택: 네온,20250509,5,,기존꺼 품절이라고 신상으로 보내주셔서 너무 만족하고 감사드립니당,0
ku****,브이쓰루 프로 / 색상 선택: 문화이트,20250403,5,,상품누락이 있었지만 판매자님께서 확인해주시고 빠르게 다시 보내주셨네요 전화가 안된다는 문의가 많던데 톡톡이나 Q&A로 문의해도 다 해결 가능한거 같으니 여유있게 기다려보시길.. 그리고 기계 설명 드리자면 디자인 가격 모두 만족합니다 헌데 액상선택이 잘못되면 베이핑시 답답한 느낌이 있을수 있으니 액상 선택만 잘하시면 좋을듯 합니다,0
sain*****,브이쓰루 프로 / 색상 선택: 네온,20250507,5,,물품배송전 친절하게 전화도 주시고 배송된 물품도 민족스럽네요,0
717d*****,브이쓰루 프로 / 색상 선택: 네온,20250429,3,,기존에 쓰던 게 더 나은 것 같아요 뭔가 흡입 할 때 느낌이 속빈강정 같은 느낌 ?,0
km****,브이쓰루 프로 / 색상 선택: 네온,20250512,5,,담배를 피기 어려운 곳에 요걸 사용하는데 너무 사용감 좋게 애용하고있습니다. 판매자님이 물품 보내주실 때 젤리도 함께 보내주시니 기분이 좋네요~~,0
haha********,브이쓰루 프로 / 색상 선택: 네온,20250509,5,,배송전에 재고이슈로 미리 연락도 주시고 꼼꼼하게 챙겨주셔서 감사합니다! 누수없이 잘동작해서 좋아요!,0
mpar***,브이쓰루 프로 / 색상 선택: 네온,20250509,5,,강도 조절 되어 신모델 좋네요,0
cuty***,브이쓰루 프로 / 색상 선택: 네온,20250510,5,,손에 착 감겨서 좋아여~,0
tjgu*****,브이쓰루 프로 / 색상 선택: 네온,20250422,3,,흡압이 헐거운데... 원래 그란거라 하니 그냥 써봄니다. 흡압시 팟. 기계 이음새 부분 막으며 쓰니 쓸만하네요,0
ak****,브이쓰루 프로 / 색상 선택: 네온,20250401,5,,타사 전담을피다가 찐내가심해서 액상전담으로 추천받아구매함 디자인이쁘고 연무량좋고 맛도괜찮네요 처음에 사용할때 안돼서 불량인줄알았지만 10분정도 액상채우고 사용하니 잘돼네요 앞으로 쭈욱잘사용할듯합니다. 가격도 착해서 부담도덜하네요~^^,0
kimh*****,브이쓰루 프로 / 색상 선택: 네온,20250513,5,,사용 후 만족감 굉장히 좋습니다.연초가 전혀 생각나지 않네요.부푸 Good 👍,0
kmj6****,브이쓰루 프로 / 색상 선택: 네온,20250427,5,,배송 빠르고 제품 좋아요,0
mita*****,브이쓰루 프로 / 색상 선택: 네온,20250429,5,,브이스루보다 좋아요,0
sm05****,브이메이트 프로 파워에디션 / 색상 선택: 핑크,20250429,5,,가볍고 들고다니기 편해요!!,0
thsg*******,브이쓰루 프로 / 색상 선택: 네온,20250324,5,,처음 입문용으로 구매 했는데 지인짜 좋습니다 무엇보다 자신이 오늘 몇번 흡입했는지 유무를 알 수 있어 좋았구요 그날그날 리셋해서 사용하니까 너무 편하고 좋았습니다 하나 팁을 드리자면 팟을 진짜 잘 구하셔야 합니다 매장에서 사는 걸 추천 드려요 인터넷은 비추천합니다,0
