작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
abc_*****,빌리아4.0 컬러선택: 매트 블랙,20250509,5,,배송도 빠르고 맛도 좋아요~ 타 제품 쓰다가 넘어왔는데 이제 액상 스트레스에서 자유가 되니 너무 기분이 좋습니다 특히 고온에 흡연량도 자유라 더 맘에 드네요,0
mand*****,빌리아4.0 컬러선택: 로열 퍼플,20250402,5,,"주문하는데 착오가 있었지만 빠른처리로 도와주셔서 빠르게 잘받았네요. 전자담배를 수년간 사용하면서 기계를 아무리 청소를 잘해도 묻어 나오는 찌꺼기와 쩐내가 싫어서 작년부터 인덕션으로 넘어왔는데 넘 편하고 무엇보다 찌꺼기가 생기질않으니 쩐내가 없어서 주변환경도 깨끗해져서 좋은거같아요! 이전에 사용했던 첫 인덕션 제품이 충격을 주거나 떨어뜨려본적도 없는데 갑자기 고장이나서 전자담배를 수년간 사용하면서 이런적이 없었고 판매처에선 답변이 세월아 네월아하고 하루 한갑씩 피우는데 금단현상이 올것처럼 답답하고해서 이번엔 좀더 괜찮은 제품을 찾고자 급히 둘러보다가 빌리아라는 이름은 생소하지만 신상에 가까운 제품인듯한데 가격도 그리 높지가않고 as도 빠르게 되는듯하고 해서 바로 주문했는데 배송도 엄청빠르고 이틀간 한개도 못피웠터라 지금 3시간동안 10개를 피워보니 오토스탑이란 기능에 온도와 시간만 설정하면 되서 편하고, 담배는 순한 오아시스펄만 피우는데 연무량은 비슷한데 이 담배가 원례 이렇게 타격감이 괜찮았나 싶을정도네요! 메탈이 아니라서 무게도 가벼워 소지하기에 괜찮고, 다만 때가 잘묻는 재질인데 밝은 색상을 선택해서 손을 좀 자주 씻어줘야겠어요! 좋은 제품 감사합니다. 잘 사용할께요!",0
kiyo*****,빌리아4.0 컬러선택: 클래식 네이비,20250425,5,,핏과 히츠 때랑은 연무량 타격감이 너무 떨어지지만 관리면에서 최고입니다. 재도 안쌓이고 청소도 필요없고 좋아요~ 테리아 스틱 아주 잘빠져요 핀셋 필요없음ㅎ 테리아 여러종류를 접해보고 맞는걸 찾으면 더욱 더 만족될듯요 ㅋ 연초에서 권련형 히츠 핏 피다가 액상갔다가 연초갔다가 이것으로 정착할듯 싶습니다.,1
wjdw***,빌리아4.0 컬러선택: 스모키 그린,20250512,5,,배송 적당하고요 컬러도 그립감도 좋아요. 무엇보다 가볍고 청소할 필요가없어서 좋아요. 다핀 담배는 살살 흔들어가면서 빼면 돼요. 잘못하면 꽂혀서 안빠짐 부속품으로 쪽집게가 들어있어서 괜찮아요.,0
ppy0***,빌리아4.0 컬러선택: 클래식 네이비,20250429,5,,"배송 빠릅니다. 여러 전자담배를 사용해봤지만, 흡연시간 최대 6분이라 여유있게 사용할 수 있고, 스틱에 따라서 연무량, 타격감 어느정도 만족스럽습니다. 다만 310도가 넘어가면 마지막 부분에서 탄맛이 조금 올라오는데, 이건 전담의 문제인지 스틱의 문제인지 모르겠네요. 310도로 맞추면 탄맛은 별로 나지 않습니다. 가죽질감이라 고급스럽고 손에서 미끄러져 떨어트릴 일도 적겠네요. 암튼 개인적으로는 궐련형 전자담배의 끝판왕이라고 생각합니다.",0
khy9*****,빌리아4.0 컬러선택: 스모키 그린,20250419,5,,마감도 좋고 실물이 너무 예쁘네요~ 1도씩 온도조절 가능하다는 점이 아주 매력적입니다. 타격감도 좋아요~ 다만 연무량은 조금 아쉬운데 흡연 텀을 길게 가지면 많이 나오네요. 매우 만족합니다~~~,0
sp****,빌리아4.0 컬러선택: 클래식 네이비,20250503,5,,제가 릴 사용하다 고장나서 다시 릴사용할려다 해외나가서 사용하는게 카트지액상은 걸리면 벌금 많이 맞는다해서 다른거알아보다가 빌리아제품을 고민끝에 구매한결과 완전대만족입니다 카트리지없이 분무량이 생길까 의문이 많이들어 고민했는데 사용결과 분무량 타격감 다 대만족입니다 카트리지교환자주해줘서 진짜 귀찮았는데 진작 이걸살걸 후회되네요 ㅎ,0
ch****,빌리아4.0 컬러선택: 애쉬 그레이,20250416,5,,배송 하루만에 받았습니다 배송 빨라요 엄지척!! 타기기사용중 7개월만에 고장으로 as보내고 혹시몰라 두번째로 이제품을 선택했습니다 근데 너무 맘에들어요 !! 전 320 에 5분10초 설정후 예열후 20초뒤에 4가지 테리아 사용했는데 찐.탄맛도 없고 맛도 다르네요? 기기마다 다르겠지만 비슷하다 생각했었는데 이제품은 진짜 맛이 좋아요 !!! 디자인도 깔끔하고 ..케이스 바로 끼워사용합니다 제가 그 벨벳느낌?같은거 안좋아해서 ㅎ 이젠 빌리아에 정착합니다.감사합니다,0
tnwl******,빌리아4.0 컬러선택: 클래식 네이비,20250430,2,,택배포장시 전자기기이다보니 뾱뾱이 포장 해주셨으면 좋겠다는 생각을 합니다 그리고 생각보다 연무량과 타격감이 만족스럽지가 않아요 디자인은 엄청이쁩니다,0
sall*********,빌리아 4.0: 로열 퍼플,20250123,5,,"구입하고 항상 이 제품을 들고 다니고 있습니다. 빌리아를 처음 써보면서 가장 마음에 들었던 건 타격감이었습니다. 연초 만큼은 아닙니다, 가끔 연초를 피기는 해서 알지만 연초만큼은 아니여도 연초 생각은 안나게 하는 맛이긴 합니다. 대체용으로 가능합니다. 사실 다른 전담은 흡입 끝 무렵에 맛이 이상하게 변하거나 타는 냄새가 나기 마련인데, 빌리아는 그런 부분이 거의 없더라고요. 처음에는 스틱이 몇개가 타서 문의한적도 있지만, 속에 물기인지 침인지 습기가 들어가서 그렇다고합니다. 닦아서 쓰니까 정상적으로 돌아왔습니다 , 테리아 스틱도 기대 이상이었습니다. 스틱 종류가 워낙 많아서 고민이 됐는데, 다양한 맛을 시도하면서 벌써 몇개째.. 지금은 썬펄인데 멘솔류로 돌려가면서 사용중입니다 저는 멘솔 계열과 캡슐형을 주로 사용했는데, 깔끔하면서도 끝까지 맛이 유지돼서 아주 만족! 찐내도 거의 없고 냄새도 심하지 않아서 좋습니다. 전담이여도 냄새가 나긴하는데 옥상가서 피고 들어가면 싹 사라져서 회사다니면서 사용하기 아주 좋습니다. 배터리 성능도 기대 이상이었습니다. 하루 종일 쓰는데도 충분히 버티고, 충전 시간도 길지 않아서 불편함이 없었습니다. 가끔 배터리 한 칸만 남아도 불안해서 충전하는 경우가 있지만, 실제 사용 시간은 넉넉합니다. 또 온도 조절 기능이 세밀하게 되어 있어서 취향에 따라 설정을 달리할 수 있는 점도 아주 편리했습니다. 저는 주로 330~340도 사이에서 사용하는데, 이 온도가 가장 적합하더라고요. 디자인도 정말 마음에 들었습니다. 가죽 마감 덕분에 고급스럽고, 손에 잡히는 그립감도 좋아서 사용할 때 떨어트릴일이 없습니다. 발열 문제도 전혀 없어서 여름철에도 걱정 없이 사용할 수 있을 것 같아요. 빌리아를 쓰고 나니 연초가 전혀 생각나지 않을 만큼 만족스럽습니다. 가성비도 훌륭하고, 내구성도 좋아 보이니 앞으로도 계속 써보고 이상 없다면 한달후기 남기겠습니다",0
