작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
gkyj****,종류: 아보카도 베이비 / 색상: 라벤더 퍼플,20250422,1,,일단 너무 예뻐요! 전담 찾다 찾다 이걸 발견해서 이제야 주문 해보고 파스텔톤이라 너무 이쁘고 취향 연보라색 있어서 두배로 좋네요 연무량도 짱짱하고 용량 작은 거 빼면 아직까진 괜찮은 것 같아요 한달 후에 또 후기 남길게요 ---------------------------------------------------------------- 계속 써보고 한달 후 리뷰 남기려 했으나 최악인 제품인 걸로 갠적으로 결정해서 두번 다신 안쓸 것 같습니다 먼저 1시간 후 스팀누수 점점 심해집니다 용량 작은 거야 감안하고 계속 베이핑 했지만 연속 베이핑도 아니였구요... 공팟에 액상 가득이고 본품에도 액상 방울방울 난리가 나요... 수시로 닦아 주실 거 아니면 비추합니다 파스텔톤 너무 예뻐서 충동구매한 게 이렇게 악으로 돌아올 줄은;;,0
qufl****,종류: 아보카도 베이비 / 색상: 블러쉬 핑크,20250507,5,,고장도 잘 안나고 디자인듀 이뻐서 비싼 갑어치를 하는거같아요! 코일은 한달에 한번? 정도 갈아주고 있어요 한달이나 두달 지나면 탓맛이 나더라고여 제가 입문자여서 잘 모르지만..😅,0
sdr0****,종류: 아보카도 베이비 / 색상: 아보카도 그린,20250417,5,,1.일단 예뻐서 좋습니다. 2. 단맛도 잘 끌어올려줍니다!! 3. 핸드폰 뒤에 대면 정품 등록 바로 가능해서 신세계!!,0
kims********,종류: 스페셜 에디션 / 색상: 트리플 블랙,20250512,3,,디자인 이뻐요 액상 띠김이 조금 있는듯 아담 하고 쓰기 펜하네요 코일이 얼마갈지 오리니 갔으면 좋겠네요,0
sung*******,종류: 스페셜 에디션 / 색상: 하입에디션 화이트,20250430,5,,한달이상 사용중인데 개인적인 생각으로 단점 하나 없이 너무 만족합니다! 베이비 2세대 기원하겠습니다!,0
ever********,종류: 아보카도 베이비 / 색상: 차콜 그레이,20250418,5,,구관이 명관이라고 아보카도밖에 안쓰다가 최근에 잃어버려서 다른거 썼는데 결국 인테넷으로 다시 주문하게 되네요. 맘이 힌결 편안하고 내것을 찾은(?) 기분이 듭니다!!! 튀는색깔 하고 싶었는데 남자고 나이도 있고해서 원래 쓰던색으로 골랐어요. 고장없이 잘 사용했음 좋겠습니다,0
qazl***,종류: 아보카도 베이비 / 색상: 아보카도 그린,20250507,5,,돌고 돌아서 다시 아보카도로 구매했어요 ~ 무난하게 사용하기 좋습니다,0
rbf0***,종류: 아보카도 베이비 / 색상: 클라우드 화이트,20250501,5,,하루만에 배송이 왔어요! 지금 아보카도 베이비만 3번째 구매해서 쓰는 중이에요 맛표현이 너무 좋고 가성비 갑..!,0
kksg****,종류: 아보카도 베이비 / 색상: 차콜 그레이,20250511,5,,배송도 빠르고 만족합니당 작아서 좋아용 추천해용,0
v010****,종류: 스페셜 에디션 / 색상: 하입에디션 레드,20250420,5,,아보카도베이비 너무 만족해요~ 편하고 좋습니다:) 색상도 너무 예뻐요 ! 근데 자석이 떨어져서ㅋㅋ..ㅠ 쓰는데는 불편함 없어서 걍 씁니다~,0
vlf5***,종류: 아보카도 베이비 / 색상: 아보카도 그린,20250509,5,,두번째 구매입니다 1년 넘게 안망가지고 좋아요,0
gloo****,종류: 일렉트릭 에디션 / 색상: 일렉트릭 블루,20250428,5,,배송도 빠르고 좋아요 ㅎㅎ 맘에 들어요 ㅎㅎ 감사합니다,0
ym****,종류: 아보카도 베이비 / 색상: 차콜 그레이,20250512,5,,3번째 구매입니다. 아주 굳.,0
dmsw*****,종류: 스페셜 에디션 / 색상: 하입에디션 레드,20250425,4,,가볍고 편한데 역시 맛은 발x 이랑은 차이가 나네요 그래도 단거 별로 안좋아해서 괜찮아요 타격감은 발 뭐보다 좋은 것 같아요,0
yasi*****,종류: 일렉트릭 에디션 / 색상: 일렉트릭 라임,20250510,5,,N번째 구매중입니다 맘에 들어요,0
gudw*****,종류: 아보카도 베이비 / 색상: 차콜 그레이,20250510,5,,"가격,배송 모두만족합니다",0
whit********,종류: 아보카도 베이비 / 색상: 차콜 그레이,20250427,5,,배터리나 추락고장 이슈 등등으로 일년에 한번씩 새로 사는듯 흑흑 얘가 넘 예쁘고 좋아서 계속 얘만사게돼요,0
wldu*****,종류: 일렉트릭 에디션 / 색상: 일렉트릭 오렌지,20250505,5,,좋아요 2번째구매입니다,0
ekdn*****,종류: 아보카도 베이비 / 색상: 클라우드 화이트,20250511,5,,자주 고장나지만.. 사용하기 편해요,0
bn_a******,종류: 아보카도 베이비 / 색상: 라벤더 퍼플,20250415,5,,원래 쓰던걸 분실해서 구매했습니다. 가볍고 들고다니기 편하고 타격감이 너무 좋습니다~!!,0
arab****,종류: 스페셜 에디션 / 색상: 트리플 블랙,20250509,5,,역시나 좋은 제품 ~~ 팟도 한달넘게.감,0
kell*******,종류: 아보카도 베이비 / 색상: 아보카도 그린,20250505,4,,크기 좋고 색도 예뻐요,0
k2al***,종류: 아보카도 베이비 / 색상: 라벤더 퍼플,20250510,5,,색상이 너무 취저입니다,0
qwer******,종류: 아보카도 베이비 / 색상: 클라우드 화이트,20250412,5,,첫 전자담배로 가격대비 후기도 나쁘지 않고 젤 모양도 무난하니 예뻐서 골랐어요 일주일 좀 넘었나? 아직까지 문제없고 좋아요,0
wms5***,종류: 아보카도 베이비 / 색상: 블러쉬 핑크,20250408,5,,발라리안만 3개째 해먹었다가 아보카도 베이비가 궁금해서 사봤는데 넘 괜찮네요 무게도 가볍고 무엇보다 팟이랑 코일이 일체형이라서 너무 조아요 ㅎㅎ 솔직히 이거에 메리트를 느껴 구매 했는데 잘 쓰고 있습니다 !!,0
lapu******,종류: 아보카도 베이비 / 색상: 파스텔 블루,20250422,4,,이쁜데 자동 베이핑이 안되서 조금 아쉽네요 ㅎㅎ 그래도 작고 귀여워서 좋아요!,0
seoh********,종류: 아보카도 베이비 / 색상: 파스텔 블루,20250508,5,,이제 다른 담배 생각 안 나요!,0
ba****,종류: 일렉트릭 에디션 / 색상: 일렉트릭 핑크,20250508,5,,지인추천으루 아이코스에서 넘어왔습니당 아주잘쓰고있구용 배터리가 좀 오래안가는게 아쉽지만 작아서 가방에쏙 넣고다니기 조아요!!,0
leec******,종류: 아보카도 베이비 / 색상: 클라우드 화이트,20250507,5,,쏘쏘 괘차나요 세번째 구매,0
homa******,종류: 아보카도 베이비 / 색상: 차콜 그레이,20250507,5,,그립감도 좋고 먼족,0
