작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
rlat*******,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 플라스크실버,20250511,5,,코일 공팟 여분도 들어있고 구성이 다 있어 좋아요! 구매할건 액상만 구매하면 됩니다 ㅎㅎ 지인 추천으로 구매했습니다! 누수없이 잘 사용됨 좋을텐데 아직 시험해보는중이에요!,0
ditj******,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 글로우화이트,20250418,5,,타사 발**안 2년을 쓰다가 이번에 아스몬으로 갈아타게된 실사용자의 100%내돈내산 리뷰입니다. 제품을 처음받고나서 만족스러운 부분은 디자인이였습니다 저는 핸드폰과 색상을 맞추려고 글로우화이트를 선택했는데요 쨍한 생화이트보다 은은하게 아우라를 내뿜는 화이트인점이 심심하지 않아 마음에 들었습니다 제품을 받게되면 0.8옴의 일체형팟이 기본적으로 체결되어있습니다 일체형팟치고 에어홀이 널널해서 흡압감 좋고 0.6옴 못지않게 맛표현이 좋습니다 동봉되어온 0.6옴 코일팟으로 과일계열 액상 흡입시 더욱 깊은 맛표현을 느낄 수 있었습니다 맛표현도 그렇지만 제일 중요한건 액상누수겠죠 제품을 받고나서 3일간 두가지 종류 팟 모두 아직 누수는 없었습니다 아직 사용한지 얼마 안돼서 그럴 수 있겠지만 누수개선팟인만큼 액상 주입구와 코일체결부 그리고 에어홀도 모두 신경써서 만든 제품이라는게 느껴집니다 좀 더 지켜보며 사용해보려고합니다 더 써봐야 알겠지만 현재까지 만족하며 쓰고있습니다 한달리뷰로 다시 돌아오겠습니다 감사합니다,2
mila****,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 글로우화이트,20250510,5,,23년 5월 딱 2년전에 구입하고 케이스없이 막 쓰다가 엄청 떨궜는데 결국 모서리 깨먹어서 같은 모델 같은 색상으로 새로 구입했어요 그만큼 고장없고 기능 좋은거 잘 아니까 그모델 그대로 다시 구입했습니다. 너무 막쓰는 바람에 기스나고 벗겨지고 깨지기도 했지만 2년동안 이것만 쓴것치고는 고장없고 기능에 문제없는게 너무 마음에 들어요. 만약 케이스를 하고 다녔다면 계속 썼을테지만 투명 케이스 솔직히 변색 너무 심해요ㅠ 변색 없는걸로 출시해주시면 정말 좋을 것 같아요. 한달도 안돼서 변색 돼버리니까 처음에만 쓰고 안쓰게 되더라고요...,0
luni****,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 딥다크블랙,20250409,5,,세번째 구매하네여. 잊어 버리진 않았는데 자꾸 떨어트려서 금가고 깨지고 이제 운명하셔서 이번엔 케이스 같이 구매 해서 잘 가지고 다녀야 겠어요. 아스몬은 뭐 이제 아실 만한 분들은 다 아실듯 합니다. 칭찬도 과하면 듣기 싫을것 같아. 좋아요~아주 좋아요~ 근데 다크블랙의 단품 품절 아쉽네요. 케이스는 충격 보호보다는 외부 도색 까짐을 방지 하는 차원에서 구매 했어요. 주머니 가방등 여기저기 넣고 다니다 보면 칠이 까져서 없어 보임. 다른 제품 보다 다시 원점으로. 쓰던게 편하고. 불편함 없으니.,0
toyo******,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 오로라,20250423,5,,진심존예♡ 다른 부품은 어딧지 한참찾았는데 이쁜 상자속에 똿!! 넘 귀여운거 아니예욧?!! 전담 시작을 아스몬과 하게되었어요~ 제가 딱 원하는 색감과 그립감입니다^^ 누수없이 잘 작동되길 바라며. 액상이 조금 늦게 도착한다해서 아직 시연전 입니다. 즐거운 베이핑이 되었으면 좋겠어여♡,0
ss04****,아스몬: 오리지널 에디션 / 컬러: 오로라,20250414,5,,"토토가 갔다 잃어버려서 재구매 해써요,, 친구3명이 아스몬쓰고있어서 입문하게 되었구! 기본에디션이 클로즈팟아니어도 숨구멍?그거있어서 베이핑느낌이 더 좋아요! 담번엔 오로라 말고 다른색 사구 공팟 5000짜리사서 써보려구요 오로라도 이쁘지만 ! 아 그리고 액상이 입으로 튀시는분들 저위에 팁이었나? 6000원짜리 저거 사면 거의 안튑니다! 누워서 피지마세요 액상 마시게되니까...연초 꼴초였고 릴하이브리드피다 연초보다 비용이더 부담되어 갈아탔는데 적응하다보니 요것만 피고있어요! 제일 꿀팁은요 ,,,,, 깊게많이빨면 코일타니까 클로즈팟 한 2~3개 추가구매하셔서 갈아끼우며 베이핑하세욬ㅋㅋ 수명2배 되요 ❤ 연초에서 갈아타신것을 축하드리며 이것저것 끄적여 봅니다,,, 쿠팡에도 부수적인거 파니까 아스몬기기는 개꿀임니다",0
batt******,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 딥다크블랙,20250511,5,,아스몬기기 정착해서 사용한것만 몇개째인지 모르겠네요 누수없는팟과 안정적인 기기 오랜기간 사용하면서 하나 아쉬운것은 가끔 코일이 불량인지 뭔지 모르게 수명이 하루도 안가 아무맛도 안느껴지는게 걸리는 경우가있습니다 코일 복불복이 있는게 아쉽네요,0
wngo****,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 오로라,20250511,5,,전남친이 사줬던게 고장나서 새로 제돈 주고 샀는데 여전히 좋네요 베터리도 오래가서 넘 좋아요 케이스도 꼭 같이 사시는걸 추천합니당 주머니에 넣기 딱 좋아요,0
demi*******,아스몬: 듀얼 에디션 (기기 동일 / V3 공팟 포함) / 컬러: 오로라,20250509,5,,전자담배 처음 펴보는데..입문하기 좋은 기기라는 명성으로 구매해서 연초 피듯이 폈다가 기침만 오지게 했네요 ㅋㅋ 점점 나아지겠죠..연초 끊어 볼려고 샀는데 생각보다 좋습니다 ㅎㅎ 오로라 색상 너무 예뻐요,0
lee1****,아스몬: 오리지널 에디션 / 컬러: 오로라,20250512,5,,용량이 기존에 쓰던 것보다 커서 좋았고 다른 기능들은 딱히 사용하지 않지만 편리합니다 케이스에 뚜껑이 있어서 청결하게 사용가능해서 같이 구매하길 잘 했고 반영구적으로 사용하는 카트리지가 맘에 듭니다 여러가지 액상을 자주 바꿔 사용하는 타입이라 더 편리하네요!,0
