작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
lsh9***,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 베이지(사은품2종 증정),20250410,5,,어제 갑자기 avp max 사용하다가 전원이 나가서 급하게 구매하게 되었는데 역시 배송 오늘 받았네요~^^ 팟이 일체형이고 새는것도 없을 것 같이 구성이 아주 좋네요. 다만 케이스도 살걸이라는 아쉬움이 남습니다. 빠른 배송과 max 재고도 확인해주셨던 후크팩토리 감사합니다.,0
po****,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 베이지(사은품2종 증정),20250430,5,,발라리안 몇년째 고장안나고 잘쓰고있는데 최근 몇번 주머니에 넣고다니다 핸드폰이랑 같이 두면 버튼이 자꾸 계속 눌려있어 코일이 타버리는경우가 생겨 바꿔봤는데 가격&디자인 다마음에 들지만 빨리는 감이 상대적으로 조금 빡빡하긴합니다. 만듬새는 정말 기대이상입니다 이 가격에 이정도면 안쓸이유가 없을것 같아요 발라리안은 팟개선이후 거의 누수가 없어서 좋았는데 댓글중 누구가 있다는 글들이 종종 보여 걱정이긴 합니다만 부디 경쟁업체의 구라이길 바랍니다. 한달 사용후기 때 남길게요! (랜덤 사은품2종은 알코올 스왑 네장..ㅜ 이런건 안보내주셔도 괜찮을것 같습니다),0
hey7***,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 스카이 블루(사은품2종 증정),20250411,5,,기존에 한번써보고 재구매입니다. 기존제품 3년썻는데 아직까지 잔고장 한번도 없이 잘사용했는데 혹시나 갑자기 고장날까봐 미리 준비하는맘으로 새제품으로 더구매했습니다 가격도 많이 할인되고 다음날 바로 택배로 받을수있어서 좋습니다. 무거운 전자담배처럼 가지고 다니기 힘들지 않아서 넘좋습니다 한손에 쏙들어오는그립감과 호주머니에 넣고 다녀도 전혀 불편함도 없고 한번 충전하면 2일동안 주구장창펴도 남습니다. 이번에 구입하면서 투명케이스도 구매했는데 정말 잘구매한거같습니다 많이 파세요,0
tori****,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 핑크(사은품2종 증정),20250510,5,,몇번떨궜었다 이번에 크게 떨구고 완전고장나서 산건데 새거써보고 알았네요 이제까지 고장난걸로 피고있었단걸. 떨구면안되겠어요 내구도 팍팍 깎임. 배송 완전빠르고 좋아요 뭣보다 여기가 팟이 젤싸서 여기서만 이제 구입할예정👍🏻 이번엔 케이스도 사봤는데 사길잘한듯 ㅋㅋ,0
clov****,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 퍼플(사은품2종 증정),20250509,5,,차에서 쓰기 좋아요 다만 액상의 단맛이 입으로 너무 들어오는건 아쉽지만 튼튼하고 배터리 좋아요 혹시 단맛 안들어오는 기계는 없을까요? 액상도 같이 입으로 들어와서..,0
lsa0***,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 핑크(사은품2종 증정),20250502,5,,여기가 최저가 이고 배송도 완전 빨라요 아직 제품은 사용전인데 이상 없겠지요 ㅎ 기존에 사용하던거 재구매 입니다 액상 전담기기 중 가성비 최고 에용 디자인도 이뻐요 다만 무게감이 좀 잇는데 쓰다보면 적응 됩니당,0
clov****,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 퍼플(사은품2종 증정),20250403,5,,"상품이 생각보다 예쁘네요. 액상 리필하기 좋아서 편리합니다, 다만 흡입구가 넓어서 적응하려면 좀 걸릴 거 같아요 하카시그니처에서 팟을 매번 사기가 거시기해서 넘어왔는데 만족스럽습니다 같은 고민하시는 분들 많을 거 같아 크기비교도 올려봅니다. 아자아자",0
brus****,아스파이어 AVP AX: 아스파이어 AVP AX 플라워 에디션 / 컬러 선택: 스카이 블루(사은품2종 증정),20250509,5,,지인과 저 각 한개씩 주문하여 사용하고있는데 무게나 그립감 연무량 가격든 전반적으로 너무 마음에들고 잘사용하고있습니다,0
brus****,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 베이지(사은품2종 증정),20250509,5,,지인과 저 각 한개씩 주문하여 사용하고있는데 무게나 그립감 연무량 가격든 전반적으로 너무 마음에들고 잘사용하고있습니다,0
jski*****,아스파이어 AVP AX: 아스파이어 AVP AX / 컬러 선택: 퍼플(사은품2종 증정),20250501,5,,너무너무 좋아요 두번째 구매 좋은 상품 판매해주셔서 감사합니다,0
