작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
nine******,고텍 X (사은품2종증정): 핑크,20250509,5,,좋아요 재구매예정 입니다,0
tlaa*****,고텍 X (사은품2종증정): 핑크,20250428,5,,"처음에는 가격이 너무 저렴해서 성능도 별로라 생각했지만, 막상 제품을 받아보니 컴팩트한 사이즈지만 좋은 무화량과 맛 표현이 좋았어요! 물론 다른 기기에 비해 떨어지는 배터리량과 불안도가 단점이라 볼 수 있을 거 같아요 하지만 실사용에 문제가 생기는 단점은 아니라 생각하기에 전자담배를 입문하시는 분께 추천 드립니다🌼",0
kimj*****,고텍 X (사은품2종증정): 클리어,20250328,5,,가격대비 너무 좋아요 포장도 꼼꼼하게 포장했고 사은품도 주고 무엇보다 가벼워서 좋아요 다만 설명서가 한글이 아니라서 좀 그렇지만.....연무량도 조절이 되고 회사 동회들에게 홍보하고 있습니다 지금 연초나 전담에서 액상전담으로 넘어가는 중입니다 많이 파시고 번창하세요,0
ces7***,고텍 X (사은품2종증정): 클리어,20250509,5,,"맛표현이 가격대비 괜찮습니다 가성비가 상당함 가볍고 작아서 휴대성도 좋습니다 폐호흡 모드기기는 무거워서 잘 안들고 다니는데, 이건 주머니에 넣고 다니기 딱 좋음",0
alal****,고텍 X (사은품2종증정): 블랙,20250508,5,,배터리도 생각보다 오래가고 일단 팟 자체가 불량이 아닌이상 누수가 전혀없다고봐도 무방합니다. 정말 괜찮은 제품입니다.,0
myst********,고텍 X (사은품2종증정): 핑크,20250507,5,,작고 예뻐요~ 배터리는 제가 매일 출퇴근포함 14시간 정도 외출중이라... 그냥 한대 더 다른 컬러로 살래요 ㅎㅎ,0
op****,고텍 X (사은품2종증정): 클리어,20250503,5,,가격이 저렴해서 의심햇는데 연무량 너무 좋구요 액상 새지않고 너무 좋네요 가성비갑!! 베이퍼입니다,0
zp****,고텍 X (사은품2종증정): 클리어,20250506,5,,일단 가성비 개꿀 이네요 배터리도. 하루종일 사용하니까 충전하는데 이정도 쯤이야 상관없습니다,0
kkd6****,고텍 X (사은품2종증정): 블루,20250508,5,,좋아요 맘에들어요 가격대비 성능도 좋아요.,0
rlas********,고텍 X (사은품2종증정): 클리어,20250430,5,,상품은 잘받았습니다 액이 없어서. 아직 사용못하고 있는데 그립감은. 좋은거 같습니다,0
hoen*****,고텍 X (사은품2종증정): 클리어,20250418,5,,누수나 액상 넘친등은 시간이 지나봐야 겠지만 현재는 맛표현이나 제품 퀄리티는 정말 금액대비 너무 마음에 들고 깔끔해서 너무 좋습니다. 배송이 너무 빨라 놀랐습니다. 감사합니다.,0
chas****,고텍 X (사은품2종증정): 블랙,20250508,5,,배송도 상품도 완벽했습니당 문의했을 때 너무 친절하셔서 감사했어요🩷,0
kkd6****,고텍 X (사은품2종증정): 클리어,20250508,5,,가격대비 성능도좋고 포장도 깔끔한게 좋아요.,0
nine******,고텍 X (사은품2종증정): 핑크,20250405,5,,다른 전담기기들 여러종류 사용해봤는데 타기기들보다 가성비좋고 사용감 정말 만족합니다 재구매예정 입니다,0
jun3***,고텍 X (사은품2종증정): 블랙,20250508,5,,총알배송에 가격대비 성능극강!!,0
hee7********,고텍 X (사은품2종증정): 클리어,20250409,5,,안에 액체가 자꾸 새어나와서 뚝뚝흐르고 흡입할때 액상이 입으로 빨려들와요.반품하자니 통을 다버렸고 다시 사야하나요? 다시 사서 또 누수되면 어쩌죠ㅜㅜ (후기등록후)바로 톡톡 상담주시고 새기기를 보내주신다고 합니다.보기드문대처 넘넘감사드립니다,0
thfk****,고텍 X (사은품2종증정): 핑크,20250425,5,,디자인도 예쁘고 좋아요,0
sing*******,고텍 X (사은품2종증정): 클리어,20250509,5,,작고 편리해서 2개째 구매했어요,0
coal*******,고텍 X (사은품2종증정): 클리어,20250426,5,,작고귀엽네요 흡입도부드럽고 고장나면또사도부담이없어요ㅋㅋ,0
jbhg*****,고텍 X (사은품2종증정): 블랙,20250510,5,,전담 사려면 5만원은 줘야하는데 이거 ㄹㅇ 물건입니다.,0
jina***,고텍 X (사은품2종증정): 핑크,20250422,5,,재구매 입니다! 가볍고 편하고 액상 누수도 없어서 너무 좋아요 배터리도 오래가고 계속 팔아주세요!,0
siyu***,고텍 X (사은품2종증정): 블랙,20250415,5,,배달 받자마자 바로 액상넣어서 펴봤는데 와 좋네요 사용법도 간단 편하고 액상용량이 커서 진짜 좋아요 가격도 저렴해서 부담없이 잘 피우도록 하겠습니다 감사합니다,0
0203***,고텍 X (사은품2종증정): 블랙,20250426,4,,상품 잘 받았습니다 배송이 빨라서 너무 좋네요,0
dwct***,고텍 X (사은품2종증정): 엠버,20250419,5,,생각보다 제품이 좋네요. 사용하다보면 장단점이 더 나오겠지만 첫날은 만족입니다.,0
nmy0***,고텍 X (사은품2종증정): 클리어,20250501,5,,이 가격에 흡입감 맛표현 대박입니다,0
dubb***,고텍 X (사은품2종증정): 블랙,20250421,5,,누유없고 가성비 최고네요. 번창하세요~,0
youj*******,고텍 X (사은품2종증정): 핑크,20250424,5,,괜찮아요 기기도 잘 작동합니다,0
ppaa****,고텍 X (사은품2종증정): 블루,20250427,5,,잘쓰겠습니다 감사합니다,0
kyt9***,고텍 X (사은품2종증정): 블랙,20250429,5,,꼼꼼하게 포장잘되서 빠르게 왔습니다,0
siyu***,고텍 X (사은품2종증정): 클리어,20250419,5,,배터리가 작은게 흠이라면 흠이겠지만 하나더 사면되지뭐 😁 일하는 시간이 길어서 충전하며 번갈아서 쓰려고 하나더 구입했습니다,0
newh****,고텍 X (사은품2종증정): 클리어,20250428,5,,가격도 저렴하고 만족합니다.,0
opti****,고텍 X (사은품2종증정): 핑크,20250430,5,,서비스 빠르고 저렴하네요,0
yhun******,고텍 X (사은품2종증정): 블랙,20250419,5,,하얀색이랑 검은색 둘다 삿엇는데 하얀색이 더 깔끔란거같고 소리도 잘 안나고 빨때도 좋은것같아여,0
sinn*****,고텍 X (사은품2종증정): 핑크,20250503,5,,저렴한 가격에 비해 아주 만족해요.비싼 상품보다 훨씬 좋네요.. 감사합니다,0
wjde*****,고텍 X (사은품2종증정): 블랙,20250429,5,,미니멀해서 여름에 좋을듯,0
ah****,고텍 X (사은품2종증정): 블랙,20250512,5,,배송 엄청빠르고 별다른 잔고장 없이 잘 쓰고 있습니다,0
dltm********,고텍 X (사은품2종증정): 블랙,20250430,5,,가지고 다니기 편해요!,0
wlsr******,고텍 X (사은품2종증정): 엠버,20250414,5,,좋아요 기기도맘에들고 팟도 잘 사용하고있습니다,0
em_u********,고텍 X (사은품2종증정): 핑크,20250430,5,,이쁘고 좋아요😄.,0
dubb***,고텍 X (사은품2종증정): 엠버,20250421,5,,일주일 사용후기인데 누유없고 가성비최고입니다,0
kshq****,고텍 X (사은품2종증정): 블랙,20250428,2,,"배터리 잔량 표시안되고 전원버튼 없는것까진 가격도 싸고 기기 자체가 원래 그런거니까 이해하는데, 하루 쓰자마자 액튐생기고 누수도 조금씩 생기더니 이제는 빨아들이기만해도 생기는 액튐때문에 못쓰겠네요..",0
rlas****,고텍 X (사은품2종증정): 블랙,20250510,5,,항상 너무 만족합니다!!! 감사합니다~,0
rlas****,고텍 X (사은품2종증정): 클리어,20250510,5,,항상 너무 만족합니다!!! 감사합니다~,0
hero******,고텍 X (사은품2종증정): 엠버,20250326,5,,빠른 배송 및 친절하고 빠른 궁긍증 답변 연무량도 생가보다 좋습니다~~ 사길 잘했다고 생각하네요^^,0
kilj******,고텍 X (사은품2종증정): 클리어,20250509,5,,액상누수도없고 아주좋은 전담입니다 강추합니다,0
lnk6***,고텍 X (사은품2종증정): 클리어,20250419,4,,누수 없고 넘 좋아요 잘 쓰겠습니다,0
scle****,고텍 X (사은품2종증정): 블루,20250418,5,,빠른배송 및 특가로 가성비가 좋아요,0
from*****,고텍 X (사은품2종증정): 클리어,20250328,4,,금연해보려고 구입했어요 액상은 처음이라 저렴한거 구입했고 이 브랜드가 유명하다 해서 골랐는데 작고 이쁘네요. 1점 뺀 이유는 종종 액상이 넘어와서 맛이 느껴져서.. 그래도 용량도 크고 맘에들어요!,0
rlat*******,고텍 X (사은품2종증정): 블랙,20250512,4,,가격대비 훌륭한 가성비로 잘쓰고있습니다.,0
od****,고텍 X (사은품2종증정): 블랙,20250416,3,,연기 잘 나옵니다. 이동시 액상이 흘러나오는 문제가 있네요,0
kkc2***,고텍 X (사은품2종증정): 클리어,20250420,5,,아직까지는 좋습니더 S에 비해서 내구성 좋은듯요,0
miho***,고텍 X (사은품2종증정): 클리어,20250420,5,,액상 새는 것도 없고 아주 잘 사용중입니다!,0
newh****,고텍 X (사은품2종증정): 블랙,20250428,5,,아주 막족합니다 ~~~~^^,0
ra****,고텍 X (사은품2종증정): 블랙,20250423,5,,항상 이용하는 제품입니다.,0
