작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
mild*******,제품선택(사은품 증정): 블랙,20250506,5,,디자인 심플하고 그립 감도 너무 좋아요 크기는 라이터크기정도로 생각하면좋을것같구 이것저것 서비스도 많이도 주셨네요 감사합니다,0
im****,제품선택(사은품 증정): 블루,20250510,5,,처음 사용이라서 어떻게 하는지 몰랐는데 너무도 빠른 답변 해주셔서 감사합니다. 기계도 가성비가 진짜 짱입니다.,0
yuhi****,제품선택(사은품 증정): 블랙,20250508,5,,전자담배를 사면 1+1 서브용까지 주셨어요 기분좋아요 여기 강력추천합니다 배송도 빠르고 사장님도 착하셔요~~,0
oops****,제품선택(사은품 증정): 블랙,20250408,5,,"기존에 아스파이어 페부 사용하는데 미니 추가로 구매해서 사용합니다. 사용감은 똑같고, 손에 쏙 들어오는 아담한 사이즈로 휴대하기도 편하네요. 기존 사이즈와 다르게 미니사이즈는 화면이 따로 없어서 색상과 LED 위치로 충전여부와 출력을 판단하는거만 다른데, 불편하진 않아요. 만족스럽게 사용하고 있습니다.",0
gssi****,제품선택(사은품 증정): 블랙,20250321,5,,"옆 친구가 이 전자담배 기기를 사용하는 걸 보고 궁금해서 구매하게 되었습니다. 직접 사용해보니 기대했던 것보다 훨씬 만족스럽네요. 디자인도 깔끔하고, 그립감도 좋아 손에 착 감기는 느낌이 좋습니다. 사용법도 어렵지 않아서 처음 접하는 사람도 쉽게 적응할 수 있을 것 같습니다. 무엇보다 보조배터리까지 챙겨주신 점이 정말 감사했습니다. 배터리 걱정 없이 오래 사용할 수 있어서 편리하네요. 세심한 배려가 느껴지는 서비스였습니다. 덕분에 더 좋은 경험을 하게 된 것 같습니다. 배송도 예상보다 빠르게 도착했고, 포장도 꼼꼼하게 되어 있어 제품이 손상될 걱정 없이 안전하게 받을 수 있었습니다. 고객을 신경 써주는 모습이 인상적이었고, 전반적으로 매우 만족스러운 구매였습니다. 앞으로도 꾸준히 사용할 계획이며, 좋은 제품과 서비스 덕분에 기분 좋게 사용할 수 있을 것 같습니다. 감사합니다!",2
omar*****,제품선택(사은품 증정): 브라운,20250501,5,,미니였군요 괜히 싸다고 생각했네요. 이미 페부를 쓰고 있는데 미니는 컴팩트하고 좋네요. 서비스로 온 제품도 좋네요,0
seji******,제품선택(사은품 증정): 핑크,20250510,5,,좋아요. 소리가 완전 안날 줄 알았는데 그건 아니에요ㅜ,0
ljeu*****,제품선택(사은품 증정): 핑크,20250424,5,,이 제품 완전 요물이네요!!다른 전자담배 쓰다가 고장나서 싸구전자담배 홈페이지보고 색상도 이쁘고 마음에 들어서 구매했는데 단계도 3단계 조절가능해서 너무 마음에드네요!친구도 보더니 구매한다고해요~~,0
rleh*****,제품선택(사은품 증정): 블랙,20250426,5,,기존페보사용하다 4개월만에 고장나서 재구매하려고 들어와봤더니 미니가 새로나왔네요? 귀엽고 작아서 그립감 최고이구요~ 핸드팩자리차지안하니 럭키비키?자나~~~!!,0
dudc******,제품선택(사은품 증정): 블랙,20250430,5,,기존 아스파이어 페보 쓰던게 고장나서 주문했습니다. 근데 실수로 미니를 구매해버렸지만 더 만족하고 사용중입니다 ㅋㅋ,0
