작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
otak***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 비비드 테라코타,20250426,5,,"한 달 동안 아이코스 일루마 i를 사용해보니, 확실히 ‘편해졌다’는 느낌이 가장 먼저 들었어요. 예전 모델은 쓰다 보면 청소하는 게 너무 귀찮았는데, 일루마 i는 청소할 필요가 거의 없어서 스트레스가 확 줄었어요. 안에 블레이드가 없다 보니까 내부에 찌꺼기 남는 것도 거의 없고요. 흡입할 때 맛도 더 깔끔해진 느낌이었어요. 예전엔 가끔 탄맛 비슷한 게 올라올 때가 있었는데, 일루마 i는 그런 게 거의 없고 부드럽게 끝까지 유지돼서 만족스러웠어요. 특히 아침 첫 모닝 한 대 피울 때, 거친 맛 없이 부드러워서 좋더라고요. 자동 가열 기능도 은근히 편했어요. 스틱 꽂기만 하면 자동으로 작동돼서 버튼 누를 필요 없고, 그냥 자연스럽게 사용할 수 있어서 손에 익으면 정말 편해요. 배터리도 꽤 오래 가는 편이라 하루에 몇 번 충전할 필요 없이 쓰기 좋았고요. 디자인은 말할 것도 없이 깔끔하고 고급스럽게 나와서 들고 다닐 때 괜히 기분 좋아졌어요. 다만 아쉬운 건, 스틱 가격이 조금 올라서 장기적으로는 돈이 꽤 들 것 같다는 점? 그리고 기존 모델 대비 본체가 약간 커지고 묵직해진 건 좀 아쉬웠어요. 손에 착 감기는 맛은 살짝 줄어든 느낌? 그래도 전체적으로 보면, 편의성이나 맛 품질 면에서 확실히 업그레이드됐다고 느꼈어요. 예전 아이코스를 쓰다가 불편했던 사람들이라면, 일루마 i로 갈아타는 거 진심 추천합니다.",1
otak***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 비비드 테라코타,20250321,5,,"🌟 아이코스 일루마 i 솔직 리뷰! 🌟 🚀 요즘 핫한 아이코스 일루마 i 새로운 전자담배 찾는 분들, 혹은 기존 아이코스 쓰다가 업그레이드 고민하는 분들 참고하세요! 🔥 박스 열어보니 패키징 깔끔~ 저는 색상:비비드 테라코타로 샀는데요. 상세페이지 이미지보다는 많이 톤다운 된느낌임 좀더 화사할줄 알았는데 고건아님 약간 어두운 로즈 톤입니다. 구성품은, ✔️ 일루마 i 본체 ✔️ 충전 케이스 ✔️ USB-C 충전기 ✔️ 설명서 등이 들어있어요. QR코드 찍으면 이벤트도 참여 가능! 🎁 (+네이버페이 5000원!) 기존 아이코스보다 더 슬림하고 깔끔한 느낌! ✔️ 무광이라 지문 덜 묻고 손에 착 감기는 그립감 굿~ ✔️ 충전 케이스도 자석식이라 히터 넣고 뺄 때 편함! 가방이나 주머니에 쏙 들어가서 휴대성도 최고! 🎒 💥 가열 방식이 바뀜! 기존 블레이드 방식 ❌ → 스마트코어 유도 가열 방식 ⭕ 👉 이게 뭐냐면, 블레이드가 없어서 청소 안 해도 됨! (이거 진짜 혁명) 👉 연무량 적당하고, 냄새 확 줄어듦! (실내에서도 덜 찝찝~) 👉 가열 시간 짧고, 온도도 안정적! (빨리 한 대 피고 싶을 때 굿) 🔋 배터리 – 충전 한 번 하면 오래감! 🔌 USB-C 충전이라 빠름! 기존 모델보다 배터리 오래 가서 하루 종일 써도 넉넉~ 🔌 충전 케이스 배터리도 용량 커져서 외출할 때 신경 안 써도 됨! ✅ 총평 – 사야 돼? 말아야 돼? ⭐ 장점: ✔️ 블레이드 없이 깔끔! 청소 ❌ ✔️ 냄새 덜 나고 깔끔한 연무량 ✔️ 디자인 세련됨, 휴대성 굿 ✔️ 배터리 오래가고 충전 빠름 ❌ 단점: ❗ 가격이 좀 있음 (근데 유지보수 필요 없어서 장기적으로 보면 괜찮을지도?) ❗ 전용 스틱(테리아)만 사용 가능 (다른 스틱 쓰던 사람은 참고!) 💡 최종 결론: ✔️ 기존 아이코스 유저? → 업그레이드할 만함! ✔️ 전자담배 입문? → 첫 기기로도 괜찮음! ✔️ 청소 귀찮은 사람? → 완전 추천!!",1
mk****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 디지털 바이올렛,20250429,5,,"같은회사 하위 모델에 비해 흡연타임이 더 길다는게 가장 맘에듬. 아이코스 일루마 원은 진짜 담배 피자마자 바로 끄는 느낌이라면? 이건 1.5배 가까이 길게 필수 있음. 청소 안해도 되고, 늘 새것처럼? 태울수 있어서 좋음. 그리고 담배끼우면? 자동으로 켜져서 바로 태우기 편함. 담점은? 충전기 커버에 끼워서 충전해야 하는 번거로움을 감수 해야함. 그리고 원형이라 책상이나 높은곳에 잘못놔두면? 굴러서 떨어지는 불편함. 거기에 재질이 미끄럽고 닭살돋는 그런 느낌이라 담배끊기 딱좋은? 손이 안닿고 싶은 그런 촉감인게 특징임.",1
dean*****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 브리즈 블루,20250507,5,,갑자기 쓰고 있던 일루마 구버전 배터리가 사망해서 급하게 주문했어요. 휴일인데도 배송은 빨라서 잘 받았습니다. 리뷰에 구버전보다 출력이 좋다고 해서 기대했는데 나아지긴 했지만 아직도 마지막엔 약하다는 느낌이 있네요. 재질은 구버전이 더 좋았던것 같습니다. 색깔은 이쁘네요.,0
bena******,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 미드나잇 블랙,20250501,5,,그동안 일루마원을 사용중이었는데 가끔 가열 시작하고나서 흡연을 다 못하고 시간이 끝나버리는 경우가 생기기도 해서 스틱이 아깝다는 생각이 들기도 했는데 신형은 i모델에는 일시정지 모드가 생겼다길래 주저 없이 구매했습니다 ㅎㅎ 일루마원 보다는 포켓 충전기 사이즈가 크긴 한데 대신 좀 더 사용시간이 길기 때문에 나쁘진 않을거 같아요 만족합니다,0
siro****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 브리즈 블루,20250412,5,,배송 바로도착이었고. 기존 사용제품 1년 넘어서 여유분으로 하나 더 구입해봤어요 색상이 은은하게 이뻤고 터치스크린과 일시정지 모드가 편하고 좋아요. 그립감 좋고 무광이라 지문 안타니 항상 깔끔하게 유지 할 수 있어 좋아요. 연초는 인제 옆에서 냄새만 맡아도 딱 싫어요,1
0831***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 브리즈 블루,20250508,5,,배송이 완전 깔이예요 남편 선물해주었습니다 전자담배 첫시도라 아이코스로 선택했어요,0
jse0***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 브리즈 블루,20250416,5,,"안잃어버리려고 하늘색 샀습니다. 지금까지 아이코스 초기 버전, 릴 하이브리드, 액상형 전자담배 등 여러가지 테스트 해봤었습니다. 아이코스 초기 버전- 청소하기가 너무 번거롭고, 스틱 불량으로 버리는게 종종 나왔음 릴 하이브리드 - 액상 카트리지 + 담배 스틱이라 연무량이나 타격감은 전자담배중에 제일 나은 것 같긴 함. 그런데 카트리지 병용의 불편함 + 장기 사용시 액상 누출로 찝찝 + 청소 귀찮 + 카트리지 불량시 새로 갈아야하는 등.. 컨셉은 정말 좋은 제품이였지만 뭔가 만들다만 느낌이라 아쉬운듯 액상형 전자담배- 액상 새는거 불편함 + 얼마나 폈는지 가늠이 안되서 많이 피게됨 + 타격감 약함 -> 아이소크 일루마 원 - 지금까지 썼던것 중에서 기계의 가벼움은 최강인듯, 물론 충전포켓을 함께 들고다녀야하긴 하겠지만.. 필 때의 편안함은 좋은 것 같음 - 스틱이 앞뒤가 다 막혀있어서 담배재 나올 일이 없음 - 타격량: 릴 하이브리드보단 조금 떨어진다 느꼈지만, 옛날 아이코스 비교하면 장족의 발전인듯 아직까진 대만족입니다.",1
el****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 브리즈 블루,20250326,5,,기존 아이코스 사용하다가 이번에 일루마i로 바꿨어요. 일단 스틱의 변화가 많은데요. 터치스크린으로 바뀌었구요. 막대가 2개 표시되면 2회가능. 1개표시되면 1회가능 이렇게 알수 있어요. 그리고 무엇보다 중간에 일시 정지도 가능해서 좋아요. 중간에 그냥 아깝게 버릴일이 없으니까요. 라운드 형식의 라이트는 잔여시간 확인도 가능해서 작은 스크린 하나에 많은 기능을 담은거 같아요. 컬러도 화면에는 엄청 튀어 보이는데 은은한 민트컬러라서 오히려 더 예쁘고 마음에 들어요. 아이코스 꾸준히 사용 중인데 행사같은것도 자주 해주셨으면 좋을것 같습니다.,0
toci****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 디지털 바이올렛,20250430,4,,초기불량으로 교환 했습니자 교환 과정에서 상담이 원할하지 않았어요 답변도 마지막엔 안주시고 결국 당사 유선 통화로 다른 분이랑 해결하긴 했지만 톡톡 관련 담당자분 태도가 너무 불성실 했네요 지금 받은 기기도 터치스크린이 뭔가 오락 가락 히는데.. 일단 써보려고 합니다 기기는 예뻐요 아직 스틱이 잘 맞진 않은거 같아서 이거저거 사보는 중입니다,0
