작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
dhdu********,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 선셋 레드,20250402,5,,"✨ 아이코스 일루마원 2주 사용 후기! ✨ 안녕하세요~! 😊 액상 전자담배를 몇 번 써봤지만, 저한테는 뭔가 담배 느낌이 덜해서 결국 궐련형을 선택했어요. 아이코스 일루마원을 구매하기 전까지 다양한 궐련형 전자담배를 사용해봤는데요. 그래서 조금 더 꼼꼼하게 비교할 수 있을 것 같아요! 그럼 일루마원 구매 과정부터 2주 사용하면서 느낀 장단점까지 자세히 알려드릴게요~! 💕 🌟 2주 사용 후기 & 장단점 1) 휴대성 ⭐⭐⭐⭐⭐ 정말 가볍고 슬림해요! 가지고 있는 모든 궐련형 전담 중에서 가장 가벼운 느낌이라서, 손에 착 감기고 휴대하기도 너무 편하더라고요. 특히 주머니나 작은 가방에도 쏙 들어가서 이동할 때 너무 좋아요! 😍 ✔ 무게 비교 일루마원 - 68.5g 글로 하이퍼 프로 - 87.5g 릴 하이브리드 3.0 - 93g 엑스퍼 3.0 - 95g 이렇게 비교해보면 얼마나 가벼운지 딱 보이시죠~? 2) 연무량 ⭐⭐ 예전 듀오3에 비해서 연무량이 적어진 것 같은 느낌이에요. 😢 릴 하이브리드 3.0과 비교해보면 정말 심하게 차이가 나는데요. 물론 릴은 액상 카트리지를 따로 끼워서 피는 거라 연무량이 많을 수 밖에 없지만, 일루마원은 연무량이 과하게 적은 느낌이 드네요… 3) 타격감 ⭐⭐⭐⭐ 타격감이 생각보다 나쁘지 않았어요! 엑스퍼보다는 부드럽고, 릴보다는 묵직한 느낌이라서 적당한 중간 정도의 타격감을 선호하시는 분들에게 딱일 것 같아요. 다만, 다양한 타격감을 느끼고 싶은 분들에게는 좀 아쉬울 수도 있는..? 😅 엑스퍼나 릴 처럼 온도 조절, 모드 설정이 들어갔으면 더 좋았을 것 같아요 4) 맛 & 향 ⭐⭐⭐⭐⭐ 역시 아이코스는 맛 표현이 정말 좋아요! 🤍 특히 저는 가향보다는 순수한 멘솔이나 연초향을 선호하는데요. 테리아 스틱의 말보로 시리즈 맛과 향이 정말 그대로 살아있어서 너무 만족스러웠어요! ✔ 특히 테리아 그린은 말보로 멘솔이랑 거의 똑같아서 깜짝 놀랐어요. 😆 5) 배터리 ⭐⭐ 배터리는 조금 아쉬운 부분이에요. 20개비까지 사용 가능하다고 하지만, 실제로 한 갑까지는 못 가더라고요. 😢 게다가 배터리가 줄어들수록 타격감도 점점 떨어지는 느낌이 있었어요. 참고로, 배터리 용량을 비교해보면 엑스퍼 3.0 - 3,500mAh 일루마원 - 1,728mAh두 배 가까이 차이가 나다 보니, 가벼운 만큼 배터리는 조금 부족한 게 어쩔 수 없는 것 같아요. 😭 🌸 총평 🌸 ✔ 가성비, 휴대성이 중요한 분 : 아이코스 일루마 원 ✔ 배터리, 타격감, 일시정지 등 편의성이 중요한 분 : 엑스퍼 3.0 ✔ 연무량이 중요한 분 : 릴 하이브리드 3.0 몇 가지 아쉬운 부분이 있었지만, 저렴한 가격에 이정도 퀄리티는 분명히 장점인 것 같아요! 아이코스 일루마원 고민하시는 분들에게 도움이 되었으면 좋겠어요~! 😘",6
tlae********,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250423,5,,두번째 구매이구요 기본 일루마와 프라임도 가지고 있으나 아이코스 일루마원이 다른 모델보다 가볍고 일체형이라 편의성에서 만족스럽습니다. 신상 모델출시로 편의점에서 만나볼 수 있던 기존 모델들은 수거했고 원처럼 일체형 모델은 없더군요.. 찾아보다가 일체형이 없어서 인터넷으로 구매하게됐습니다. 그래도 배송이 빨라 만족스럽구요. 다음 신상품도 일루마원처럼 일체형기기가 나왔으면 좋겠습니다!,0
khn8****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 선셋 레드,20250506,5,,고장나서 급하게 주문했는데 배송 빠르고 깔금합니다,1
dlsd****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250510,5,,이전에 다른기기 사용하다 왔는데 청소도 필요없고 타격감이 엄청 좋습니다. 강추합니다,0
wlgp****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250512,5,,"항상 사용중인 제품입니다. 1년이 넘어 가면 배터리가 뻘리 소모되네요.ㅠㅠ 영구적이지 않는걸,... 알어야죠 ㅎㅎ",0
kore******,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250425,5,,때마침 기기가 한대더 필요없는데 빠른배송으로 받았어요 하자없고 별도 기기청소없이 이용할수 있어서 좋아요 기기도 가볍고 마음에 듭니다!,1
milk****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250511,5,,연초 끊고 갈아탔는데 언제 끊을지..이걸 또 샀네요.. 이게 금연에 도움이 되길 바라며..화를 삭혀봅니다..,0
nanu****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 선셋 레드,20250510,5,,기존에쓰던 일루마원이 전같지않은거같아서 재구매합니다 편의점구매보다 색상선택이 쉽고 배송읕다음날 바로와서 너무좋아요,0
nm****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250501,5,,일단 그립감이 좋구여! 좀 고민하다가 원으로 구메한건데 입문용으론 이만한게 없을듯~색감도 이뻐여,0
ma****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250511,5,,어제 새벽에 주문하도 다음날 배송완료… 배송진심 감동입니다 디자인 간결하고 잘빠쟜네염 열심히 사용하겠습니다,0
