작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
lhju****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250511,5,,"친동생이 추천해줘서 한번 사용해보고 사봤는데, 디자인도 예쁘고 편해요!!^^",0
imaw***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250507,5,,기존에도 계속 쓰던건데 기기가 이상해졌는데 1년이 지난바람에 ㅜㅜ 이번에 새로 장만했어요! 근데 역시나 기기도 깔끔하고 제 입맛에 제일 앚아요!,0
mung***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250430,5,,빠른 배송 정말 좋네요ㅎ 그리고 무슨 새휴대폰 개봉하는 느낌이에요 전자담배 처음 써보는데 잘 써볼게요ㅎ,0
hall******,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250502,5,,전에 사용하던거 배터리 수명이 다해 교체 했어요 하지만 다른거 생각 없이 바로~ 재구매!!! 했습니다.,0
yjch****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250415,4,,빠른배송 감사합니다. 전자담배 처음이라서 아직까지 적응하기 힘드네요. 그래도 입에서 냄새가 적게나서 적응할려고 합니다.,0
surg***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250510,5,,싸게 잘 구매했네요. 자동으로 인식도 하고 고장안나고 오래 써야겠어요,0
jame******,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250512,5,,기존에 사용하던게 고장나서 재구매 했습니다. 색상을 다른걸 사고싶었는데 맘에드는 색은 품절이라 좀 아쉬웠네요,0
pej2***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 베이지,20250511,5,,어제 주문했는데 오늘 왔어요! 원래 리 ㄹ 사용했는데 바꿔보고 싶어서 주문했는데 사만족합니다,0
lk****,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250502,5,,기존 일루마 원 사용중 가격 인하로 구매하였습니다. 예전 블레이드 모델은 청소 관리가 힘들어 금방 연초로 돌아갔지만 현재는 1년 넘게 사용할 정도로 아주 편리해서 좋아요.,0
kith***,필수 확인사항: 구매자와 수취인이 다른 경우 취소 처리됩니다. / 색상: 페블 그레이,20250316,5,,"일루마원을 쓰다가 바꿔봄 처음 개봉했을 때 디자인이 꽤 고급스럽고 깔끔했어요. 기존 아이코스보다 좀 더 세련된 느낌? 손에 잡았을 때도 부드럽고, 묵직한 게 꽤 괜찮았어요. 개인적으로는 예전 모델보다 확실히 더 고급져 보여서 만족! 그냥 쓰고 버리면 끝! 이게 생각보다 엄청 편해요. 가끔 청소 안 하면 맛이 이상해지는 경우도 있었는데, 그런 걱정이 사라져서 너무 좋았어요. 그리고 연속 사용이 가능해서 바쁠 때도 딱딱 사용할 수 있는 점이 좋았어요.",0
