작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
rjse*****,엑스퍼3.0: 재규어 블랙,20250410,5,,"요약 : 테리아를 피우기 위해 할 수 있는거 다 넣은 현존하는 최상급 하이앤드 테리아 전용 인덕션 기기 1. 포장, 디자인, 하드웨어 제품 패키징은 수십만원대 고급 스마트기기 보다도 우수합니다. 특히 전자기기인데도 불구하고 패키지만 덜렁 비닐에 포장되어 받은 경험이 많은데, 이건 패키지를 전용박스로 단단하게 포장해 배송 왔네요. 외관 디테일 등의 하드웨어적인 것들은 눈에 띄는 특별함은 없으나 자세히 들여다보면 사용하는데 편리한 요소들이 잘 녹아있습니다. 2. 오토스타팅 전원버튼을 눌러서 절전모드를 해제하고 테리아를 꼽으면 오토스타팅이 됩니다. 전원버튼을 누르면 10분동안 테리아를 기다리는 대기모드가 된다고 생각하면 될것 같습니다. 10분 이후에 사용할때는 테리아를 꼽고 전원을 한번 누르면 히팅이 됩니다. 주의할 점은 오토스타팅이 작동되어 히팅중인 상태에서 전원버튼을 한번 더 누르면 일시정지되기 때문에 애초에 전원버튼을 한번 누르고 테리아를 꼽는 습관을 들이면 실수가 없을 것 같습니다. 가열에 들어가거나 가열이 완료될 때 진동을 울려 알려줍니다. 3. 타격감, 연무량, 지속시간 궐련형전담이 후반부까지 연무량과 향이 유지되지 못하는 단점을 보완하려고 초반부에 열을 낮게 관리하고 후반부에 부스팅하는 셋팅이 들어있는 것 같습니다. 설정한 시간을 배분해서 일정한 맛을 느끼게 해주려는 의도인 것 같네요. 아주 칭찬할만한 기능입니다. 물론 개인마다 성향의 차이가 있겠지만, 해비스모커들이나 초반에 가속이 강했던 기존기기들에 적응된 사용자에게는 아쉬울 수도 있겠습니다. 쉽게 말해 가열 직후에는 타격감과 연무량이 다소 떨어지는 감이 있지만, 가열과 흡입을 지속할수록 오히려 높아지는 느낌이 듭니다. 처음부터 강한 타격감과 연무량을 느끼고 싶다면 10초 정도 더 기다렸다가 사용하면 될 것 같네요. (추가수정의견 : 테리아 새거 뜯어서 피워보니 6분으로 해도 초반부터 연무량이 충분하네요. 걱정 안해도 될 듯합니다. 초,중,후반 밸런스 좋습니다. 스틱 종류마다 조금씩 차이가 있는 듯하네요.) << 헤비스모커를 위한 tip >> 테스트해보니 시중의 시간설정이 가능한 기기들 대부분은 최대시간+최대온도로 설정하면 초반에 궐련을 다 태워버려서 최대시간까지 지속하면 120~130% 정도로 오버쿡하기 때문에 재사용하면 탄내가 심해서 재사용이 절대 불가능하지만, 이 제품은 한번 사용하고 식기전에 200도로 맞춰서 바로 재가열하면 다시 한번 더 피워도 이질감이 없습니다. 350도로 사용하다가 끝날 때 쯤에 200도로 낮춰 3~4모금을 사용한 후, 종료 직후에 다시 온도를 350도로 다시 올려주면 궐련 1개로 10분정도 흡연할 수 있는 연담의 재미를 느낄 수 있겠습니다. 사실 연담하기에는 스틱이 너무 아깝다고 느껴질때 시도해볼 수 있겠으나 적극 추천하지는 않습니다 ^^a; 아마 타격감, 연무량을 이정도로 조절 가능하다는 걸 고려하면 추후에 흡연의 기승전결도 커스터마이징 할 수 있는 기기가 나올 수도 있겠다는 기대를 해봅니다. 4. 일시정지모드 사용중 전원버튼을 한번 누르면 일시정지모드(20분)를 활성화시킬 수 있어서 잠시 멈췄다가 이어서 피울 수 있습니다. 사회생활하는 사람들의 말못할 고충을 반영한 깨알 편의기능입니다. 궐련이 완전히 식은 상태에서 재가열하면 역한냄새가 나기 때문에 최대 20분 동안 적당한 온도로 낮춰 유지함으로써 이질감 없이 이어서 흡연을 할 수 있게 했습니다. 다시 전원버튼을 한번 눌러서 일시정지를 해제하면 초기설정된 온도로 다시 히팅을 합니다. 처음 한두모금은 궐련 재사용하는 느낌으로 비릿하지만 곧 정상으로 돌아옵니다. 문제는 실제상황에서 흡연을 정지할 상황이라면 담배를 어디에든 내려두거나 주머니에 넣어야 하는 상황인데 정지된 시간동안 궐련을 부러뜨리지 않고 유지할 수 있는 노하우가 필요하다는 겁니다. 5. 버튼 및 디스플레이 버튼은 [전원] [ < ] [ > ] 총 3개로 이루어져있는데, 제품을 세로로 세웠을때 볼륨 상하버튼이라고 생각하면 되겠지만 디스플레이가 가로인 것을 생각 했을 때 차라리 플러스 마이너스 버튼이었으면 보다 직관적이지 않았을까 하는 생각을 해봅니다만, 일부러 타사의 기기와 차별을 주려고 고민한게 아닐까 싶네요. 디스플레이는 대기모드 10분이 지나 전원이 꺼진 상태에서 전원버튼을 누르면 깨어나면서 0.1초정도 배터리 잔량을 먼저 체크하는 것이 눈에 보입니다. 충전기를 연결하면 숫자(00%)로 정확한 배터리 잔량을 확인할 수 있다는 것도 다른 기기와의 차별점이고 굉장히 마음에 듭니다. 온도설정은 화살표 버튼을 눌러서 조절 가능하고 한번씩 누르면 1도씩, 꾸욱 누르면 고속으로 숫자가 바뀌기 때문에 200도에서 350도를 넘나드는데도 전혀 불편함이 없었습니다. 시간설정과 갯수초기화는 [ < ] [ > ] 두개의 버튼을 동시에 3초정도 누르면 숫자가 깜빡이는 상태에서 설정할 수 있습니다. (시간은 5초단위로 설정할 수 있네요.) 다른 기기 사용할때는 무조건 최대시간으로 6분을 놓고 사용했으나 이 기기는 특성상 사용하면서 적절한 시간을 찾아봐야할 것 같습니다. 4~5분정도가 적당하지 않을까 싶네요. (추가수정: 테리아 새걸 뜯어서 피워보니 저는 그냥 6분으로 가득채워서 쓸 것 같습니다. 테리아가 뜯은지 1~2일 지나면 건조되서 그런지 연무량에 영향을 주네요) << 리뷰 정리 및 소감 >> 제품 패키징부터 대단한 정성이 느껴지는 제품입니다. - 기존에 테리아 전용 인덕션 기기들이 가진 단점을 아주 잘 캐치해서 보완을 했습니다. - 나노미리급 변화를 줬을텐데 아주 잘꼽히고 잘빠지며, 과연 계획된 결과인지는 모르지만 궐련이 부러지는 매카니즘까지 커버된 것이 체감이 큽니다. - 자주 사용하지는 않을 것 같지만 일시정지모드같은 깨알 기능을 넣는 여유까지 보여준 것이 연구진이 진심으로 연구한 흔적들이 많이 보이는 기기입니다. 테리아 궐련에 대한 이해도가 높은 업체라고 짐작됩니다. - 기본도 안 되어있으면서 조잡한 기능으로 혼란을 주는 기기들이 많아서 나름 까다롭게 테스트해봤지만 흠잡을 구석이 별로 없다는게 대단합니다. - 사실 이용자들이 사용하면서 단점이라고 느껴지는 것들은 기기가 아니라 테리아 궐련 자체의 문제라고 봐야할 것 같습니다.(스틱이 잘부러짐, 맛이 내 스타일이 아님… 같은 것들) 그럼에도 불구하고 애매하고 변수도 많은 궐련의 특성을 이해하고 기기 자체적으로 보완하려고 머리를 쥐어짜낸 노력이 느껴집니다. (추가의견: 추가의견 쓰면서 다시한번 느끼지만 대부분 맛이나 향에 관련한 문제는 테리아가 문제일 확률 80%이상입니다. 맛없을땐 새거나 다른거 뜯어서 써보면 '기기는 잘못이 없구나' 라는걸 느낍니다) - 내 돈 주고 산 제품이지만 공들인 작품인 게 느껴져서 좋았습니다. 물론 세상에 완벽한 제품은 없고, 이 제품도 발전하는 과정에 스쳐가는 제품이겠지만, 현존하는 제품들 중에는 단연코 완성도 있는 하이엔드 제품이 확실하다고 봅니다. - 이대로만 그대로 유지되면 100점 만점에 90점 이상은 줄 수 있을 것 같습니다. 신제품 기다리면서 고장없이 계속 쓸 수 있으면 좋겠네요. AS 기간이 1년으로 꽤 넉넉한 편이지만 보증기간이 끝나고 고장나면 조금 슬플 것 같습니다.",11
jinj*****,엑스퍼3.0: 스모키 그레이,20250404,5,,"x 차이코스(테리아 호환 전자담배)에 데인 분들 필독하세요. 5년동안 전자담배에 100만원 넘게 쓴 사람입니다. 그 중 엑스퍼 3.0은 정말 만족하면서 사용했네요. 잃어버려서 2번째 구매합니다. (이전 스토어에서 99,000원에 샀었는데 다행히 리뉴얼 이벤트해서 싸 게샀네요.ㅋ 쨌든 다른 분들은 저처럼 돈. 시간 버리는 일 없게 안좋은 차이코스 거르는 법 알려드릴겸 사용 후 기도 남겨봅니다. *안좋은 차이코스 거르는 법 1. 모드변경기능이니 온도가 400도까지 올라간다느니, 낚이지 마세요. 아무 차이 없습니다. ㅋㅋ 2. 귀찮더라도 후기를 꼼꼼히 보세요. 후기가 많을수록, 평점이 높을수록 믿을만한 제품입니다 3. 08A도 꼼꼼히 봐야합니다. 물건 팔아놀고 모르쇠 하는 기업 많아요. 엑스퍼 이전 스토어에 후기가 11,000개 정도 달려있는데 평점까지 높았고, 제품 상담도 친절하게 해 줘서 믿고 구매했었습니다. 결과는 대만족. ㅋ *연무량, 타격감 엑스퍼 >>*태그>*루코스 연무량, 타격감 모두 비교가 안될 정도로 좋습니다. 초반부보다 후반부로 갈수록 연무/타격감이 올라 가는데, 후반부에는 거의 연초에 버금갈 정도로 강하게 느길 수 있습니다. (350도, 4분 30초 고정해 놓고 사용합니다.) 온도 조절되다고 광고하는 어체는 많은데, 하나같이 탄맛이 심하게 올라와서 못쓸 수준입니다. *디자인, 발열 디자인은 아주 심플하고, 광이 별로 없어서 무난하게 들고 다니기 좋습니다. 아주 가볍지는 않지만 단단한 메탈 소재 치고는 가볍습니다. 발열은 지금껏 사용해본 궐련형 기기 중에 제일 적습니다. 200도와 350도의 발열 차이가 거의 없고, 표면이 미지근해지는게 느껴지는 정도입니다. *배터리 하루 한갑 태우는데 1.5일 정도 갑니다. 최대 40개비라고 되어 있는데 그건 200도로 맞춰놓고 사용 했을때구요. 350도 기준 한갑 반정도입니다. 기대보다는 좀 짧지만 그래도 충분히 여유있게 사용합 니다~ * 총평 엑스퍼는 고온을 유지하는데 특화된 궐련형 기기입니다. 건강하고 묵직한 흡연 원하는 분은 고민하 지말고 엑스퍼 3.0 고르시면 되겠습니다.회사에도 엑스퍼 3.0 전파 중인데 다 연초 끊고 엑스퍼 피고 있네요.ㅋ + 엑스퍼 신제품 나올때까지 기대하고 있겠습니다. 앞으로도 번창하세요.",8
hai0***,엑스퍼3.0: 재규어 블랙,20250425,5,,"전자담배 11년차의 결론. 아이코스 일루마, 일루마원, 릴 하이브리드 3.0, 릴 에이블 2.0, 빌리아 4.0… 하나같이 기대가 컸지만, 직접 써보면 조금씩 아쉽습니다. 연무가 적어 허전~하고, 타격은 이름값에 못 미치고, 연속 흡입이 힘들거나, 액상·스틱 다 교체해야 번거로움. 결국 매일 손이 가는 것은 하나였습니다. 엑스퍼 3.0 ✅ 11년간 생긴 기준 * 연무는 꽉 차야 하고 * 타격감은 연초처럼 ‘빡’ 와야 하고 * 청소는 없어야 하며 * 배터리는 하루 반은 가줘야 쓸만합니다 디자인까지 만족스러운 기기? 또 있다면 제가 모를 리가요. ✅ 흡입할 때마다 느껴지는 '완성도' 엑스퍼 3.0은 중반부터 타격감이 더 살아납니다. 보통 전자담배는 후반으로 갈수록 김 빠지듯 흐려지는데, 얘는 오히려 그 타이밍에 “지금부터가 진짜 시작이네” 싶은 무게감이 올라옵니다. 연무는 진하고, 타격감은 부드럽게 쏘고, 니코틴 흡입 리듬이 아주 안정적입니다. 제가 엑스퍼 3.0에 호감인 이유는 흡입 리듬이 끝까지 일정하게 유지된다는 점 때문입니다. 보통 전자담배는 첫 모금이 강하고, 중반부부터는 힘이 빠지고, 후반엔 공기만 마시는 느낌이 드는 게 일반적입니다. 특히 연초에서 넘어온 사용자들은 이 흐름이 깨질 때 바로 티가 나죠. “어? 맛이 날아가네?”, “타격감이 사라졌네?” 하는 순간이 와버립니다. 그런데 엑스퍼 3.0은 조금 다릅니다. 첫 모금부터 마지막까지, 연무량과 타격감이 일정하게 이어집니다. 중반 이후에도 맛이 살아있고, 니코틴 감도 무뎌지지 않아요. 저는 350도 / 5분 세팅으로 핍니다. 낮은 온도에선 타격이 좀 약하고, 350도가 연무와 타격의 균형이 가장 좋지 싶습니다. 특히 3~5모금 구간에서 “이제 슬슬 끝나겠지?” 싶은 시점에 오히려 무게감 있는 타격이 다시 올라오고, 입 안이 다시 채워지는 듯한 느낌이 들어요. 🔋 배터리 – 하루 반 하루 1갑 반 정도 피우는 기준으로 하루 반 정도 넉넉히 사용합니다. 40개비 된다더니 15개비에 방전? 이런 허수 없는 기기입니다. 엑스퍼는 진짜네요. 이전에 일루마는 배터리가 너무 빨리 닳았는데 흡입감, 배터리, 유지관리까지 모든 포인트에서 한두 번 괜찮은 게 아니라 ‘매번’ 괜찮은 기기. 🔍 다른 기기들과 비교 * 아이코스 일루마 / 일루마원 : 타격감은 강한 편입니다. 하지만 연무량이 너무 적어요. 흡입할 때 공기만 빨아들이는 느낌. 손에 뭐 들고 있는 것 같지도 않은, 그런 허전함. * 릴 하이브리드 3.0 : 연무량은 진짜 많습니다. 그런데 타격감이 심각하게 심심합니다. 그냥 수증기 마시는 느낌이라, 두어 개비 피워도 흡연 충족감이 안 차요. * 릴 에이블 2.0 : 흡연감은 무난. 그 이상은 아니었습니다. 펴도 뭔가 기억에 안 남아요. 편한데, 감동이 없습니다. * 빌리아 4.0 : 디자인은 취향에 맞아요. 하지만, 막상 피우면 아이코스랑 다를 게 없습니다. 가격 대비, 체감 만족감은 별 차이 없어요. ✅ 그래서? 전자담배는 하루에 10번, 20번씩 손에 쥐는 기기입니다. 그래서 잘 사야해요.  조금씩 쌓이는 아쉬움이 결국 바꿀 이유가 되죠. 이건 그런 아쉬움이 없습니다. 피울수록, 기준을 높여버리는 기기예요. 🎯 결론 고인물에게 딱! 입문자에겐 빼박. 하루 1갑 이상 피우는 분, 연초 감각을 놓치고 싶지 않은 분, 다른 기기 써봤지만 아직도 정착 못 한 분. 이런 분들에게는 다른 제품 쓸 이유가 없게 만드는 기기가 될 겁니다. 바디도 예쁘죠. 굿. -단점 1. 찐내가 나긴 한다. (릴보다는 낫다) 2. 연무량 3. 테리아",3
jk_a*****,엑스퍼3.0: 스모키 그레이,20250327,5,,"깔끔한 페키지 좋습니다. 배송도 빠르고요 저는 20년 넘게 연초 던힐6미리만 주구장창 폈던 사람이고 이번 전담도전2번째인데 성공하길 바라면 처음 아이코스의 일루마i로 다시도전했습니다. 몇번피다 이게 아닌것 같은데 하다 엑스퍼3.0을 보게되고 돈은 아깝지만 혹시나 다를까? 해서 구입하게 되었습니다. (이번엔 꼭 성공하려구요ㅜㅜ) 아이코스 최신형 일루마i와 엑스퍼3.0비교해봤습니다. 솔직후기입니다. 테리아 엠버로 비교해보았습니다. 먼저 일루마i는 처음5번~8번정도 까지는 연무량과 타격감 좋았고 다음부터는 조금씩 줄어드는 느낌입니다. 뒤끝이 조금 칼칼한 느낌이 남습니다. ☆엑스퍼는 온도350도3분40초(4분은 저의 패턴으로는 좀 길어서)로 맞춰놓고 테스트했습니다. 개인적으로 엑스퍼는 초반타격감은 일루마i보다 못한 느낌이 들었습니다 아마 일루마i의 온도가 초반에 더 높은건지 몰라도 목을 탁 쳐주는 느낌이 있었는데, 반면 엑스퍼는 타격감이 있긴했지만 저는 좀 약한 느낌이었습니다. 그래도 타격과 연무가 크게변함없이 끝까지 가는 느낌이었습니다.(뒤로갈수록 줄어들긴 합니다.)전담 자체가 횟수가 늘수록 조금씩 줄어드는건 어쩔수 없는가 봅니다. 뒷맛은 깔끔한데 문제는 이게 핀건지 아닌지 모를 정도로 뒷맛이 적습니다. 이게 좋은건지 아닌지도 모르겠고 연타만 몇번했습니다. ㅜㅜ 엠버가 약한건지 모르겠지만 러셋도 같은느낌이었습니다. ☆결론 연초(타바코계열)피다 전담 넘어오신분은 둘다 너무기대하지 마시길 바래요~ 전담은 타바코계열이랑 잘 안맞는것 같습니다. 약한 연초피시던 분들은 그나마 괜찮을지 모르겠습니다. 그래도 맨솔계열은 잘 맞을것 같습니다. 전담종류중에 맨솔이 많은 이유가 있게죠~^^ 그래서 이번 기회에 맨솔로 넘어감니다. 추가:2주간 사용하면서 가장 맛있게 피는방법을 연구했는데 이게 350도에 4분마춰놓고 예열하고 3분30초부터 15초텀으로 빨아재끼면 연무가 큰변화 없이 나오는것같습니다. 일루마도 마찬가지인데 계산해보니 14모금 정도되는것 같습니다. 궐렬담배가 14모금이 한계인듯 합니다. 급하게 들어재끼면 엑스퍼도 연무량 크게 줄어듭니다. 찌는 시간이 필요하네요~한번 들이마시고 내밷고 또 그냥 큰숨 한번정도 하면 15초정도 되는듯 합니다. 처음에 전담하면서 방법을 몰라 기계눈치보며 피웠는데 지금은 한결 좋아졌습니다.ㅎ 엑스퍼 아쉬운점은 주머니에서 버튼이 눌립니다. 문의결과 해결책이 실리콘케이스 하면 조금이나마 쉴드된다네요~~바닥에 놓을때도 재실이 알루미늄(?)이라 실리콘 케이스는 필요한듯합니다.이상입니다.",2
ez_h***,엑스퍼3.0: 글램 화이트,20250509,5,,"첫 전담은 차이코스 듀얼 플러스였는데, 찐맛과 연무량 아쉬움 때문에 다시 연초로 복귀. 재도전이 릴과 고민끝에 엑스퍼로 구매. 배송 하루만에 받았고 같이 구매한 케이스도 괜찮아서 외관은 일단 합격. 맨솔 성애자라 이번에도 사실 크게 망설였지만 현재 만족도는 70% 입니다. 테리아 블루로 먼저 도전했고 일단 기존 차이코스 듀얼 플러스보다는 좋아진 듯 합니다. 찐맛이 안나는건 아니지만 그래도 좀 덜나고 청소를 안하는점, 흡압을 낮추라는게 뭔지 정확하게는 이해 못햇지만 가볍게 천천히 흡입하면 연무량도 쫌 나은거 같아요. 천천히 적응해보겠습니다. 근데 엑스퍼로 피면 머리가 좀 아픈건 왜그런지 모르겠어요;;",0
yo****,엑스퍼3.0: 글램 화이트,20250403,5,,"연초만 고집하다가 담배 냄새도 그렇고 보통 연초에서 전담으로 바꾸면서 서서히 줄이다 끊는사람들을 많이봐서 저도 늦게나마 전담을 구매하였습니다. 다른 제품과 고민하다 이 제품이 청소도 필요없고 액상도 따로 살 필요없고 간편해보여서 주문했습니다. 첫 날은 처음피는 전담이 너무너무 낯설었습니다. 뭔가 흡입도 잘 안되는거같고 연초보단 약한거같은데 또 역하긴하고 ㅠㅠ남들은 연초랑 전담 같이하다 서서히 연초가 역해지면서 전담만 피게된다고하던데, 두개를 같이 피려니 이도저도 아닌 더더더 역하고 별로고 해서 꾹 참고 이틀정도 전담만 사용해봤습니다. 그랬더니 왠걸 삼일째부터 일단 입 안이 텁텁하지 않은게 확느껴지고 냄새도 확실히 연초에 비하면 👍🏻 테리아 맛 선택이 중요한거 같습니다 ㅣ. 테스트하느라 여러개 펴보면서 안맞는걸 폈을 경우 굉장히 역하던게 제게 맞는 무난한 맛을 잘 선택한 후 부터는 금방 적응했어요! 오히려 테리아가 떨어져서 남은 연초를 하나 피곤 며칠이나 됐다고 전 바로 못피겠더라구요!! 그동안 액상부터 쓰잘데기 없는거 도전하다 실패했는데 이제 확실히 연초에서 전담으로 갈아탈수있게됐어요! 그리고 시간을 좀 길게 설정하니 확실히 연초보다 덜 피기도 합니다. 이러다 자연스레 끊게되면 좋겠지만 그게 아니여도 확실히 냄새면이나 흡연량이 줄게 되는것만으로도 너무 만족합니다! 고민하지마시고 구매해보세요 다들!!",2
redj******,엑스퍼3.0: 글램 화이트,20250418,4,,디자인 이쁩니다. 케이스 같이 구매했는데 뻑뻑해서 끼우기힘들긴한데 아예 뒤집어서 살살 끌어올리시면됩니다. 작동법 매우 단순해서 쉽고 원하는온도에 금방 도달합니다 310도로 피우고있는데. 릴보다는 확실히 옥수수찐내가 덜 나긴하지만 희미하게는 느껴집니다. 전 이 찐내가 너무싫어서 릴안쓰고 바꿔본건데 나름 덜 나긴해서 괜찮네요. 연무량은 살짝쿵 조금 아쉽긴합니다 종료직전 진동으로 알려주고 끝나고도 알려줘서 좋아요.,1
tige****,엑스퍼3.0: 글램 화이트,20250507,5,,구매 2년만에 재구매햇어요. 화이트 유광컬러 넘이쁘네요. 아이코스 일루마 새로나온 제품 한달 사용하다 다시 엑스퍼로 ㅎㅎㅎ 장점이 더 많은 칭구네욤~ 온도설정 시간설정 등 저한텐 엑스퍼가 더 잘맞는듯 하네욤 :),0
lana******,엑스퍼3.0: 재규어 블랙,20250419,5,,"연초 -> 릴 하이브리드 -> 연초 -> 엑스퍼 ; 주위 사람들이 냄새를 싫어해서 갈아탔는데 이 부분은 확실히 개선된 것 같습니다. 스스로도 느껴질 정도고요. 처음엔 빨리는 느낌도 영 아니었는데, 천천히 빨면서 조금씩 나오는 거에 적응하다보니 나름 또 이만의 맛이 있네요. 점차 연초는 줄이게 될 것 같습니다. 아직까진 혼용하지만 차차 익숙해지면서 연초는 끊을 수 있을 것 같습니다. 릴 하이브리드랑 연초 피다가 이걸 피면 불만족스러울 수 있을 것 같기도 한데 저같은 경우엔 적응할만한 수준인 듯 싶지만, 흡입에 있어서 예민하신 분들은 재차 고려를 하시길 바랍니다. 디자인이나 컬러는 매우 만족스럽습니다. 손에도 착 감기고 검은색 샀는데 촌스런 느낌보단 세련된 느낌이 강해 디자인도 만족스럽습니다.",0
hoi1***,엑스퍼3.0: 뮬리 핑크,20250425,5,,처음 입문으로 선택한게 엑스퍼 3.0 이에요! 처음이라 긴장했는데 설명서에도 엄~청 쉽게 설명되어있어서 어렵지 않았어요. 바디도 이쁘고 지금 매우 만족중입니당!!,0
