작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
agin****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250425,5,,와우 로켓배송 짱 17시쯤 주문후 담날 오전에 도착 했습니다. 이것 저것 고민하다가 손이 작다보니 그립감으로 기본형 선택했고 액 리크 없이 잘 작동 됩니다. 배터리 생각보다 오래 갑니다 기계 생각보다 이쁘네요ㅎ,0
99****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250511,5,,"지인들에게 추천받아 구매한 제품인데 만족합니다. 무화량, 맛 다 일품이네요",0
milk****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250413,5,,옛날 꽃날에 ㅎㅎ 발라리안 쓰다가 분실했던 기억이 있던 아픈 녀석입니다. 그 후로 다른 팟디바이스 쓰다가 새로 다른걸 또 구매하려고 보니 집에 수년전에 쓰고 남은 발라리안 코일이 무려 6개나 굴러 다니는거에요~ 예전에 너무 만족스럽게 썼던 녀석이라 그냥 또 간만에 구매해봤습니다. 역시나 작고 가볍고 배터리 크고 흡압좋고 액상 많이들어가고 코일수명 깡패인 이녀석 좋긴 하네요~ 여튼 이번에는 분실하지 않고 오래 써보겠습니다. ㅎㅎ,1
uni7***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250503,5,,1회용 만 몇달 사용하다 이런 제품 처음 사용하는데 눈팅하고 고르고 어찌 사용하는지 한참 만지작거리다 사용해봅니다ㅎㅎ 포장도 고급지고 배송도 빠르고. 맛과 사용감은 확실히 1회용보다 훨씬 나은것 같네요. 잘 사용하겠습니다.,0
wnlf****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250503,5,,배송도 엄청 빠르고 기존에 사용중인건데 2년 쓰고 고장나서 다시 구매하려고 했더니 종류가 많아 선택의 폭이 많아서 좋았습니다. 그리고 기존 오프라인 매장보다 저렴하게 구매해서 완전 만족합니다~,0
hsdo***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250512,5,,빠른 배송 감사합니다. 완전 만족스러워요. 잘쓸게요.,0
0211********,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250509,5,,좋아요 베이지색 구매했는데 연핑크 같아요 오히려 예쁨 기본으로 오는 코일이 불량인지 약간 맛이 이상하더라고요 그래서 교체함,0
youn*******,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250422,5,,배송도빠르고 물건이 정말좋습니다~ 포장이 너무 럭셔리 하네요~다른거 1년4개월만에 수명이 다해서 바꺼봤는데 잘써보겠습니다~번창하세요~,0
tsik****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250511,5,,"일회용쓰다 갈아탑니다 디자인 이쁘고,사용하기 편하구,배송두 빠르네요",0
apfl*****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250512,5,,처음 5번 눌리고 사용하는걸 해맸는데 좋아요그립감도 연무량도,0
iyeo*****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250425,5,,일회용 하다가 가격 감당이 안돼 구매했는데 컬러 너무 이쁘고 가볍고 좋아용,0
stor****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250513,5,,컴팩트하고 좋아요 ㅎㅎ 새것이라 기분도 좋네요 ㅋ,0
so****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250509,4,,3년째 사용중입니다.전담중 저에겐 최고억요.밧데리 최고임.,0
eoms*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250513,5,,처음 나왔을때부터사용중 단맛은 요친구 말고는 마음에드는게없네요,0
hiro*********,유웰 발라리안: SE에디션[해외판 당일배송] / 컬러: 라이트 그레이,20250415,5,,안녕하세요 길에서 주운 발라리안 입니다 기기 너무나도 만족합니다~! 또 EVAPE에 개봉기 야무지게 올려보겠습니다 발라리안 언제나 믿고 씁니다~! 발라리안 이쁜거 또 출시해주세요~! (많이 파세요~!),0
star*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250512,5,,타격감도 좋고 이전 버전보다 액상이 새어나오지도 않고 좋아요!!,0
goni***,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250503,5,,기존 쓰던 맥스 충전단자 고장으로 as를 보내기위해 서브용으로 구입했습니다.컬러 이쁘네요!,0
cv****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 로즈 골드,20250510,4,,재구매 했어요. 사용하던게 고장나서요. 또 이용 할께요~~,0
syot****,유웰 발라리안: SE에디션[해외판 당일배송] / 컬러: 그린,20250412,5,,"빠르고 안전한 우체국택배 감사합니다. 22년 4월에 구매했을땐 21년 3월 제조품, 23년 10월에 구매했을땐 22년 12월 제조품, 이번에 구매한건 무려 25년 1월 제조품! 단종됐나했는데 다행히 아직도 생산하고 있나봅니다. 블랙 구매하고싶었는데 품절이라 칙칙한 메탈릭 그린 구매했는데 아주 맘에 듭니다. 22년 12월 제조품이 배터리 효율 떨어지면 또 구매하러 오겠습니다. 그 때도 최근 제조품으로 받으면 좋겠네요 ㅎㅎ",1
yuji******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250503,5,,배송 빨리 와서 좋구 그립감도 좋아요 맛도 풍부하게 느껴지네요,0
wow1***,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250401,5,,3개월 넘게 사용한 거 같은데 고장없고 아주 좋습니다 입문이라 추천 받아서 산 거였는데 매우 만족해요 가장 좋았던 건 배터리가 오래 가는 게 너무 좋았습니다 원래 사용하던 릴은 밖에서 하루종일 가지고 있으면 배터리가 간당간당 했는데 이거는 충전없이 다음 날이 돼도 살아있더라구요 ?? 액상형 전담 특징인가봐요 ? 이젠 릴도 못 핍니다.. 너무 맛 없어서..,0
como****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 로즈 골드,20250508,5,,몇 년째 쓰던거라 익숙하고 누수없는점 맘에 들어 또 구매했습니다.,0
qn****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250507,5,,네이비 컬러 쓰다가 분실해서 새로샀는데 발라리안 만한게 없네여 가성비 최고!,0
jeon*******,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250512,5,,원래쓰던건데 색도이쁘고괜찬네요,0
duri****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250512,5,,3번째 구매인데 배송도 빠르고 예뻐요,0
em****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250430,5,,빠르게 배송되어서 왔어요 색상도 맘에 쏙듭니다,0
take******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250509,5,,초록색 이쁘네요 잘 쓰겠습니다 ㅎㅎ,0
dhap****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250425,5,,맛표현도 좋고 배터리도 오래 유지 되는 듯 하네요 그리고 코일수명도 무난하게 유지 되는 듯해요. 앞으로는 발라리안 기기를 계속 사용할듯 하네요...,0
redr***,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250509,5,,빠른배송 정말 맘에 듭니다,0
youn*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250509,5,,사용하던거 만가져서 새로또구입해요,0
sod2****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250414,5,,이쁘고 좋아요 케이스도 좋네요 매우 만족합니다,0
tjsg******,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250508,5,,잘받았습니다 감사합니다,0
heej******,유웰 발라리안: SE에디션[해외판 당일배송] / 컬러: 라이트 그레이,20250429,5,,배송 빠르게 잘 받았어요. 고장나고 잃어버리고 여러번 구매하게 되네요...,0
ghdw*******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 로즈 골드,20250507,5,,재구매했어요! 잘 쓰고있습니다,0
ci****,유웰 발라리안: SE에디션[해외판 당일배송] / 컬러: 라이트 그레이,20250428,5,,전에 두개 구입해서 사용중에 실수로 한개를 망가트렸네요. 만족해서 하나 더 구입했어요,0
scan***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250510,5,,배송도 빠르고 디자인도 이쁩니다,0
ma****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250502,5,,Pro max 대형 사이즈인줄 알았는데 작은거네요 근데 만족합니다,0
xzon*****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250429,5,,좋아요 굿입니다 배송빠르고 좋아요,0
minj*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250422,5,,xx에디션 이쁘네요👍👍👍 기기 두대나 잃어버리고ㅠㅠ 재구매했어요! 액상기기는 역시 발라리안이 최고네요😍😍😍,0
dldb******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 로즈 골드,20250509,5,,배송 빠르고 좋습니다,0
rlae******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250508,5,,부드럽고 아주좋아요,0
with*******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250505,5,,디자인도 깔끔하고 무화량도 너무 좋네요,0
dkrd********,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250510,5,,잘 사용하고 있습니다,0
denh*****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250411,5,,인터넷구입 한 액상이 누수가 좀 있지만 맛표현 무화량 다 마음에듭니다. 특히 누수문제로 문의드렸는데 너무 친절하게 조치해주셔서 별5개드립니다.,0
soul****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250425,5,,오래쓰니 방전이 빨리되어 같은것으로 바꾸었어요 컴팩트하고 좋습니다,0
pink*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250429,5,,여기서만 몇번째 구매했는데 이번에 민트색 진짜 실물이 진짜 예쁩니다ㅠㅠ 쇼즁해,0
ls23***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250418,5,,파도 스킨도 맘에들고 일전의 a/s 도 감사합니다! 믿고 구매하는제품!,0
wjdd********,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250415,5,,추천받아서 구매했는데 좋은거같아요! 처음에는 버튼누르면서 피는게 귀찮긴했는데 익숙해지니까 괜찮아요,0
a188***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250512,5,,일체형 정말 편하고 좋네요 좀비코일이라 가격에 부담없어 더 좋아요,0
smil******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250306,1,,"안녕하세요. Q&A에 사진을 첨부하는 기능이 없어 우선 리뷰로 올립니다. 카톡이나 문자 등으로 연락부탁드립니다. 2.25일 구매하였고, 2.26일 배송받았고 몇일간 사용중인데 처음 받았을때는 사용감이 정말 괜찮더라구요. 그런데 엊그제부터 가만히 세워놔도 액상이 누수가 되었고(누수사진 첨부함) 흡입시 액상이 과다하게 배출되어 입안에 불편할 정도로 흘러들어오네요. 초기에는 별문제 없었는데 갑자기 그러네요. 카트리지 문제일수도 있어서 함께 구매한 일체형카트리지로 바꿔보았는데 액상과다 배출문제는 동일합니다. 그래서 AS나 기기교체 요청드립니다.",1
borr****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250317,5,,"팟이 새지 않아 좋네요. 그 동안은 다소 누액이 있어서 액상 소모도 심하고 많이 지저분했는데, 3일정도 사용했음에도 불구하고 새는게 하나도 없어요. 잃어버려서 3번째 구매인데, 차라리 잘 된 것일지도. 이제 신규 공팟은 전부 이렇게 밀폐가 잘 되는건가요? 공팟을 좀 더 사둬야하나 싶어서요.",0
soun*****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250512,5,,색상넘 이뻐요 빠른 답변 감사합니다,0
ming********,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250510,5,,가성비 좋은 기기입니다. 맥스프로도 있지만 카트리지.배터리용량 작은것말곤 가성비만 놓고보면 이제품 추천 입니다.,0
plus*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250502,5,,발라리안 3번째 인데 색 너무 영롱하고 최곱미다 ❤️,0
fina****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250512,5,,빠르게 잘 받았습니다. 색감도 예쁘네요,0
csm1****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250430,5,,배송도빠르고물건도좋아요,0
juns*******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250512,5,,쓰기좋아요 ~ 나중에 고장나면 또 주문할게요,0
deep****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250428,5,,배송도 빠르게 오고 좋아요,0
mnh3***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250403,5,,제 첫 전담이에요!! 주변에선 다들 궐련형을 추천했지만 특유의 찐내가 너무 싫어서 ㅜㅜ 예전부터 눈독 들였던 발라리안으로 겟 했어용 ㅎㅎㅎ 컴팩트한 사이즈에 카트리지 통으로 교체할 수 있어서 너무 조쿠 케이스도 있어서 조아용!! 잘 쓰겠습니당,0
vmff****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250513,5,,24년11월제조품으로 기기이상도 안보이고 배송도 빠릅니다 매우만족,0
jcsj***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250501,5,,풍미좋고 연무량좋아요,0
taz4***,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250430,5,,최고!!역시 발라리안,0
duke***,유웰 발라리안: SE에디션[해외판 당일배송] / 컬러: 라이트 그레이,20250405,5,,믿고 쓰는 제품 입니다. 그래서 쥐위 지인들한테도 추천을 많이 했어요. 다들 반응은 좋아서 난리가 났어요^^ 조명이 있어 색깔이 뚜렸하게 안보이는데 색상 넘 이뻐요,0
hkk0***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250429,5,,배송도 빠르고 좋아요~^^,0
jimi******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250501,5,,굿 모든 게 무난한 가성비 템,0
jjho****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250429,5,,좋습니다 잘 쓰겠습니다,0
ss****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250415,5,,두번째구매입니다 만족스러워요 저번 제품도 오래썼는데 이번에도 오래사용할께여,0
16****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250510,5,,하나더~~~~~~~~,0
vina*****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250415,5,,잘 쓰다 잃어버려서..사용하는 내내 딱히 단점 못느꼈고 전에 고객상담 부분에서도 만족스러워 고민없이 재주문 했습니다!ㅎㅎ,0
mepr****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250409,5,,저도 선물받았던건데 선물주려고 구매했습니다. 카트리지가 흰색으로바뀌였던데 검정으로 구매할수있는지 궁금하네요 신품으로 올인원도 구매해봤는데 흰색이 너무 튀는거같아서 검정색 구매하고싶어요!,0
babo****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250512,5,,아주 좋아요 두번째 구매 입니다,0
km****,유웰 발라리안: SE에디션[해외판 당일배송] / 컬러: 골드,20250423,5,,하나더 구매합니다ㅎ 좋아요,0
axwd****,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250430,5,,좋네요 깔끔하고 쓰기편함,0
vict*******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 베이지,20250510,5,,배송이 느릴꺼라 생각했는데 생각보다 빨라서 좋았어요,0
mane******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 네이비,20250425,5,,빠른배송 감사합니다,0
happ****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250415,3,,사용에는 만족합니다만 뉴액이 신경쓰입니다. 매번 휴지로 청소하고 쓰는게 번거롭네요.,0
kimj*******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250424,5,,배송도 빠르고 좋아요,0
shin*******,유웰 발라리안: X_X에디션[한정판 당일배송] / 컬러: 민트,20250419,5,,명불허전입니다 디자인도 예쁘네요 잘쓸게요,0
dp****,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 다크 그린,20250419,5,,빠른배송 감사합니다 잘 쓸게요,0
beng***,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 로즈 골드,20250510,5,,배송빠르고확실 기기야 레전드고 판매점도 믿을만한듯 굿,0
bell******,유웰 발라리안: DV에디션[국내판 당일배송] / 컬러: 브러쉬드 실버,20250424,5,,생각보다 컴팩트 해서 좋아요,0
