작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
2278****,발라리안 에어 입호흡 전자담배: 래디언트 에디션 / 색상: 오션 (디바이스+0.6옴 공팟 1개 포함),20250502,4,,세달동안 사용한 실사용기. 참고로 전 발라리안기계만 4대째 사용중이고 다른 전자담배 기기도 많이 가지고 있는 베이핑매니아입니다. 에어기기 장점 1. 크기가 작음. 반대로 말하면 배터리용량이나 액상주입할수 있는양이 적다. - 헤비스모커들에게 비추. 직장생활할때나 밖에서 들고다니는용으로 딱좋음. 2. 코일 일체형. 가격이 약간 올라갓지만 그냥 번거로운거 없이 한방에 통채로 버리고 갈아끼우는게 너무 편리함. 이제 앞으로 발라리안 시리즈는 계속 이렇게 나왔으면 합니다. 단점 1. 액상누수. 이 에어기기는 누수가 좀 심한편 발라리안 기기 공통점 - 누수 심함. 사실 발라리안 기기 뿐 아니라 여태 쓰면서 누수 없는 기기가 없었음. 다른기기에 비해 발라리안은 좀 누수가 심한편. 오래 쓰고 누수가 누적되면 기기의 밑부분까지 액상이 새어나오고 밧데리 충전하는 부분까지 젖고 그래서 고장남. 발라리안 최초로 삿던 기기도 그래서 바꿨음. 주머니에 넣어두면 어느새 주머니가 액상으로 젖고 주변에서 나한테 좋은냄새 난다고 함. 사실 이 리뷰도 지금 누수된거 닦아내다가 갑자기 생각나서 쓰게된거임. 내 하루일과중 마무리는 발라리안 기계들 누수 닦아내는거. 리뷰 읽으시는분들에게 누수방지 팁을 드리자면 액상을 점도가 높은걸 선택하시거나. 기계를 거꾸로 보관하시거니 눕혀서 보관. 세워두면 잘새는편. 하지만 세워두면 에어홀쪽으로 새어나옴. 주머니에 보관하면 체온땜에 데워지면서 더 잘샘. 다른곳에 보관하세요. 주머니에만 보관하지 않으면 잘 안샙니다. 근데 사실 주머니에 보관하지 않을거라면 이 에어처럼기기가 작아질 필요가 없음. 단점 2. 에어 기기부터 버튼누르는거 없이 그냥 흡입하면 저절로 작동하는 기능이 생겼는데. 이게 그냥 가방안에서 작동중인걸 발견한적이 있음. 이후로 그 기능을 안쓰고 있음. 결과적으로 에어기기는 잘만든편이다. 전천후 사용하기 좋다. 하지만 다른 브랜드와 같이 액상주입형 전자담배의 가장 큰 단점 누수를 잡지 못했다. 그리고 발라리안기기를 4대째 쓰고 있는 이유는 코일. 액상의 맛표현이 가장 좋다. 코일의 맷집도 좋아서 오래쓴다. 이 코일만큼은 대체불가.,1
bech***,발라리안 에어 입호흡 전자담배: 플러스 세트 / 색상: 화이트 (디바이스+0.6옴 공팟 2개),20250430,5,,아담한 사이즈에 무척 가볍고 이쁩니다. 내구성은 써 봐야 알겠지만.. 단점이 있다면 카트리지를 본체에 끼웠을때 액 리필용 상부 주입구가 열립니다. 주머니에 넣고 다닐경우 입술이 닿은 부분이 튀어나와 있기 때문에 얼마든지 주입구가 열릴 가능성이 있네요. 뭘로 고정하고 다니면 좋을까요?,0
dusl********,발라리안 에어 입호흡 전자담배: 래디언트 에디션 / 색상: 오션 (디바이스+0.6옴 공팟 1개 포함),20250509,5,,배송빠르고 실물도 이쁘네요. 지인 쓰는거보구 주문햇어요. 잘쓸게요,0
kyli****,발라리안 에어 입호흡 전자담배: 래디언트 에디션 / 색상: 퍼플 (디바이스+0.6옴 공팟 1개 포함),20250402,5,,"퍼플 너무이뻐요 진짜ㅜㅠ원래 남친이 쓰던 제품이라 제품 퀄리티는 이미 알고 믿고 산거구, 색은 평소에 보라색을 좋아해서 이 제품도 고민없이 바로 퍼플 골랐는데 실물이 훨씬 더 이뿌네요 증말...♡ 사용도 간편하고 스타일리쉬하고 넘조아용",1
jeun*****,발라리안 에어 입호흡 전자담배: 베이직 세트 / 색상: 화이트 (디바이스+0.6옴 공팟 1개),20250502,5,,남편이 주문해달라해서 주문했는데. 전 잘 모르고 ㅎㅎ.. 화이트 색상이 이쁘네용 하리보젤리 는 제가 냠냠합니다 ㅎㅎ,0
dohy******,발라리안 에어 입호흡 전자담배: 플러스 세트 / 색상: 블랙 (디바이스+0.6옴 공팟 2개),20250125,4,,"구매동기 : 사실 이 모델에 별로 관심이 없었는데 여친이 펴보고 싶다해서 여차저차 구매(?) 하게 됨 일단 좀 놀랐던건 선택할때 가격은 5.5로 같은데 공팟 2개를 준다고? 했었음 애꿀하고 공팟 2개 모델을 선택하여 구입했음 배송 굉장히 빨랐음 연휴 배송 중단 직전에 맞춰 구매했기 때문인것같음 본체 상자랑 팟 두개 상자가 옴 열어봤는데 좀 뭐지? 싶었던게 본체 상자에 팟이 안 꼽혀 있었고 코일이 들어있어야할 부분이 비어있었음 (;;;) 제가 오만 전담을 다 사봤어서 더 잘 느껴졌었음 홈페이지를 다시보니 팟은 안 들어있다고 하는데.. 코일은 왜 빼가신거지. 코일이 원래 없는 모델인가? 무튼 ㄱㅊ 외관: 스테인리스 재질인거같음 겨울에 처음 잡으면 차가운 그 재질 이런건 대신 때가 안 타서 좋음 근데 버튼 딸각 거리는게 좀 부실해보임 빠질거같다 이런건 아닌데 난 이런거 별로 안 좋아함.. 영상 첨부했으니 보시면 될듯 사이즈: 컴팩트함 슬림하고 아보베 길이 정도 되는거같은데 아보베보다 슬림해서 가지고 다니기 편할듯 그리고 젤로처럼 캡있고 그런게 아니라 디바이스 + 팟 장착 이게 끝이라 나같이 잘 잃어버리는 사람한테 좋을듯 맛표현: 이거 맛표현 뭐에요..? 진짜 깜짝놀람 내가 뭘 잘못했나. 액상 넣고 10분 뒤에 베이핑 했는데 목 따갑고 쿨링 심한 액상인데도 덥고 꿉꿉한 연기가 나서 당황함 그리고 목 따가운 액상이 아닌데 목이 계속 따가움;;; ( 본인 발라리안, 고텍, 아보베 등등 여러 기계로 베이핑 했을때 아무문제 없던 사람 ) 당황쓰 결론 및 총평: 약간 굳이? 싶은듯 5.5 정도의 기기를 생각해보면 발라리안, 아보베 정도? 있는데 걔네 둘이가 더 견고할듯 난 버튼 누를때 누를때 딸각하고 뗄때 무슨 소리가 나는데 그게 싫음.. 오래돼서 좀 헐은 버튼 누르는 소리 같달까 가볍기는 함.. 외형도 깔끔하긴한데.. 흡입할때 쫀쫀한 느낌도 없고.. 연무량이 많은것도 아니공.. 이 돈이면 다른 기기 사는게 나을거같음. 진짜 굳이? 싶음",5
qkrt***,발라리안 에어 입호흡 전자담배: 래디언트 에디션 / 색상: 선셋 (디바이스+0.6옴 공팟 1개 포함),20250508,5,,색감이 이뻐요 작아서 좋아요,0
choi******,발라리안 에어 입호흡 전자담배: 플러스 세트 / 색상: 화이트 (디바이스+0.6옴 공팟 2개),20250512,5,,딱좋아요 연초끊기에 굿굿,0
soo9*****,발라리안 에어 입호흡 전자담배: 플러스 세트 / 색상: 핑크 (디바이스+0.6옴 공팟 2개),20250510,5,,색이 너무 이쁘고 작아서 휴대도 넘 좋습니당,0
jst3***,발라리안 에어 입호흡 전자담배: 베이직 세트 / 색상: 화이트 (디바이스+0.6옴 공팟 1개),20250511,5,,흡기 좋고 컴팩트해서 좋아요!,0
