작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
wlsw*******,유웰 하복SE 전자담배: 용과,20250419,5,,"첨에 생각보다 빨리와서 기분좋게 열었는데 잔기스가 많아보이길래 뭐지?이러고 리뷰보니까 다들 스크레치가 있길래 아 나도 잘못걸렸나 하고 시무룩해있다가 이상하다하고 잘보니까 비닐이 있더라고요 ㅋㅋㅋ 다른 구매자분들도 구매하고 나서 짜증,화남,시무룩 할수도 있는데 침착하게 옆면에 비닐 확인필수 (톡톡문의할라했는데 주말이라 더 당황…) 그래서 뜯으니 말끔해서 굿굿 첨에는 설마 중고인가?의심이 들었네요 역시 새제품이 맞아서 기분이 좋네요 하북 s1 3년쓰다가 이제는 s1을 서브용으로 사용해야할거 같아서 구매했는데 배송이 너무 빨리 와서 좋아요 젤ㄹ,발ㄹ리ㅇ 두기기보다 맛표현이랑 디자인이 개인적으로 제 스타일이라 나머지 기기들 다 친구들 주고 하북만 사용중인데 하북은 역시 맛표현이 진짜 좋고 무아량도 말해뭐해 좋고 다른기기에 비해 베이핑시 묵직함이 있어서 좋아요 액상차이보다는 출력이 좋은느낌? 누수문제는 블랙팟일때 팟을 안빼면 밑에 코일 접촉면에 누수가 있었는데 이번 화이트팟으로 업그레이드 되면서 누수문제는 거의없어진거같아서 좋아요 금요일 오전에 주문했는데 오늘 토요일 오전에 등기우편으로 하루만에 도착해서 👍 잘 사용해볼게요",0
cjsw******,유웰 하복SE 전자담배: 블루 라즈베리,20250507,2,,스크레치 찍힘이 많습니다...해외출국이 코 앞이라 확정은 합니다만 앞으로 qc확실히 해달라 하십시요,0
wank*****,유웰 하복SE 전자담배: 블루 라즈베리,20250506,5,,하복 좋긴한데 이번건 이상하게 코일 인식이 한번이 안되는 경우가 있네요..ㅠ 항상 쓰던거라 잃어버리면 재구매해요,0
yons****,유웰 하복SE 전자담배: 블루 라즈베리,20250502,5,,너무 좋아요 디자인도 너무 예쁘고 제스타일 인지라 한시라도 눈을 못떼겠네요 잘쓰겠습니다🩷,0
dile***,유웰 하복SE 전자담배: 용과,20250430,5,,덕분에 맛있게 피고 있습니다ㅎㅎ 잃어버려서 급히 샀는데 빠른 배송 감사합니다 항상 믿고 사는 용트림!,0
khd7***,유웰 하복SE 전자담배: 용과,20250403,1,,제품교체후 두번째 교환받은건데 컨디션이 많이 별로긴해요 귀찮아서 이젠 쓰겠는데 새상품이면 새상품 다워야하는게 맞잖아요 양옆에 기스 있고 하면 누가 찝찝해서 쓰겠어요 중고매물 사는것도 아니고 그쵸? 다른사람들은 어떤 컨디션 제품을 받는진 모르겠는데 복불복은 있어요 이건 꼭 생각하고 구매하세요,3
tedm*****,유웰 하복SE 전자담배: 용과,20250410,5,,몇번이고 써본 결과 최고의 팟디 중 하나라고 생각합니다. 과멘 디저트 모두 잘 살려주고 입홉 폐홉 모두 만족스러운 기기라고 봅니다ㅎㅎ 단점이라면 드립팁쪽 청소가 약간 까다로운 점? 그외에는 장점 뿐이네요. 나중에 후속작이 나온다면 폐홉 때문에 배터리만 좀 더 늘려주는 것 정도.. 밖에 생각이 안날 정도로 만족스러운 기기 입니다~!!,0
juli*****,유웰 하복SE 전자담배: 용과,20250430,5,,깐지가 미쳤어요!!ㅋㅋㅋ 다른 폐호흡 기기 쓰다가 맨날 경통 떨궈서 깨먹었는데 그럴 걱정 덜어서 행복합니다!!,0
youn*********,유웰 하복SE 전자담배: 알로에 베라,20250507,5,,편하게 입호흡과 폐호흡을 같이 할 수 있어서 좋아요,0
fjqm*****,유웰 하복SE 전자담배: 용과,20250506,5,,매우만족합니다. 전부다,0
puma***,유웰 하복SE 전자담배: 용과,20250417,5,,완전 예쁘고 케이스도 마음에 들어요 연무량이 댑악임 🫠🫠🫠 생각보다 소리는 크지만 나머지 부분이 다 마음에 들어서 흐린눈 가넝 ㅎㅎ,0
skst*****,유웰 하복SE 전자담배: 블루 라즈베리,20250429,5,,이전에 쓰던거 고장나서 다른제품 삿는데 누수 있어서 잘 쓰던 하복으러 복귀... 안샛으면 좋겠네요,0
ss8_***,유웰 하복SE 전자담배: 용과,20250503,5,,주머니에 넣고 세탁기 돌리는 바람에 고장나서 더시 주문함,0
echo****,유웰 하복SE 전자담배: 알로에 베라,20250509,5,,항상 잘 사용하고 있습니다. 전자담배 중에 간편하고 가장 만족합니다.,0
sunn*******,유웰 하복SE 전자담배: 용과,20250429,5,,최고입니다~^^이것만써서,0
z1****,유웰 하복SE 전자담배: 블루 라즈베리,20250501,5,,실물이 훨씬 이뻐요 ㅎㅎ🤍,0
jaej***,유웰 하복SE 전자담배: 용과,20250430,5,,대 만족 타격감 연무량 모두 만족스럽습니다.,0
cjj0*****,유웰 하복SE 전자담배: 용과,20250417,5,,디자인도 이쁘고 뭣보다 입호흡 폐호흡 둘 다 되는게 너무 좋네요 잘 사용하겠습니다,0
ashl***,유웰 하복SE 전자담배: 알로에 베라,20250424,5,,사용중이던게고장나서부랴부랴주문ㅠㅠ 받자마자작동해봤는데잘됨니당! 고장없이오래가자~,0
gkst*******,유웰 하복SE 전자담배: 용과,20250404,5,,너무마음 에 들어요 페호흡기 있는데 큰맘먹고 입호흡기 도 구매 해봅니다 그리고 배송이 너무 빨라서 놀랐습니다 감사합니다 소중하게 쓰겠습니다 베이핑 이 너무 기대되네요,0
bola****,유웰 하복SE 전자담배: 알로에 베라,20250428,5,,뭐.. 몇번째 재구매라..좋은건 알지만. 제발 이번엔 잔고장없기를...,0
song******,유웰 하복SE 전자담배: 용과,20250419,5,,너무 마음에 듭니다. 고장없이 튼튼하고 잘쓰고 있어요,0
hi****,유웰 하복SE 전자담배: 용과,20250428,5,,누수도 없고 작동도 잘되서 좋아요,0
bags********,유웰 하복SE 전자담배: 용과,20250429,5,,기기 넘 이쁘고 조아여,0
dksr*******,유웰 하복SE 전자담배: 블루 라즈베리,20250420,5,,예뻐요!! 잘 쓰고 있습니다 만족도 높아요,0
dica****,유웰 하복SE 전자담배: 용과,20250414,5,,빠른배송감사합니다. 고장안가길 빌면서 한달리뷰에 뵙겠습니다,0
yech*****,유웰 하복SE 전자담배: 블루 라즈베리,20250423,5,,일주일 정도 썼는데 기계안에서 많이 달그락 거리면서 움직이는데 정상인가요?,0
ey****,유웰 하복SE 전자담배: 알로에 베라,20250425,5,,배송 빠르고 배송 기사님도 친절 하십니다~^^,0
asdf**********,유웰 하복SE 전자담배: 블루 라즈베리,20250428,5,,만족스럽게잘쓰고있어요,0
syl3***,유웰 하복SE 전자담배: 용과,20250406,5,,다른 기기 쓰다가 망가져서 한동안 연초만 폈었는데 오랜만에 전담 피니까 좋네요 입호흡이랑 폐호흡 둘 다 가능하다는 점이 매력적입니다👍,0
ppsp****,유웰 하복SE 전자담배: 블루 라즈베리,20250414,5,,3달째 쓰는중인데 아직 고장없고 잘 쓰는중입니다ㅎ 부드러운 흡입감과 풍부한 연무령이 특징인 기계입니다^^,0
yugu***,유웰 하복SE 전자담배: 용과,20250227,5,,"12월 5일부터 사용 후 2월 27일까지의 사용 후기를 추가로 남겨봅니다. 일단 베스트 리뷰로 보내주신 매트마저 너무 예쁘더라구요ㅜㅜ 엉엉 감동! 일단 제일 중요한 누수! 사실 팟 내부에서 발생하는 잔 누수는 있지만, 그 누수가 기기에 묻는 다던가 하는 일은 없었습니다. 확실히 이전 버전으로 누수가 심해서 기기에 액상이 묻고 하는 것은 사라졌더라구요! 팟에 코일 결합식이라 이정도 팟 내부 누수 정도는 애교라고 생각해요ㅋㅋ 디자인 너무너무너무 예쁘고 아직까지 질림 없이 잘 사용하고 있습니다! 폐호흡으로 사용하다보니 다른 기기 사용하면 뭔가 아쉽다는 느낌도 들고 그러네요~ ㅋㅋ 질리지 않는 디자인과 맛 표현은 정말 최고네요!",1
yoos******,유웰 하복SE 전자담배: 알로에 베라,20250417,5,,하복이 가장 좋아요 맛표현 증기량 최고 입니다,0
