작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
hoon*****,색상: 블랙,20250401,5,,"🫶🏻 저스트포그 🫶🏻 글렌트 🫶🏻 전에 사용하다가 겨울 잠 재우던 기기들 아깝기도 하고 카페 활동 중인 곳에서 글렌트를 너무 좋은 기기라고들 하셔서 아예 안 쓰는 기기들 몇 대 처분하고 글렌트를 장만했습니다 현재 주력 기기가 말x인데 흡압이 널널한 편이기도 하고 저는 쫀쫀파에 좀 더 가까워서 더 글렌트가 갖고 싶었던 거 같아요 🥹 노래 부르던 글렌트를 갖게 되어서 넘 행복할 따름... 사실은 이번 주 일욜에 택배를 먼저 받았는데 기기 문제로 월요일에 교환 신청을 했습니다 A/S 및 사후 처리 왕왕 빠르고 좋은 대처로 유명한 저스트포그... 네이버 톡톡과 카카오톡으로 상담했었는데 1~2분 내지로 답변해주시고 빠른 처리를 해주셨어요 그래서 화요일인 오늘 글렌트를 받았습니다 🫶🏻 일단 .6옴에 스피아민트 채워서 먹고 있는데 진짜 흡압 미쳤습니다... 👍🏻👍🏻 주력 기기 대비 적당히 달달해서 제 입 맛엔 딱 좋네요 팟 가격도 주력 기기 대비 저렴한 편입니다 🥹 스틱형이라 더 맘에 드는 것도 있는 거 같아요 연디는 아직이지만 디저트류는 이제서야 접하고 있고 연초류는 원래 과멘이랑 병행했었어요 연디는 글렌트라는 말이 있기에 이제 연디류도 함 접해보려고 합니다 연초는 많이 줄인 상태인데 글렌트 이 흡압 덕분에 더 줄이고 금연까지 갈 수 있지 않을까 싶어요 리뷰 작성하고 1옴에는 연초류 채워서 같이 먹으려구 합니다!! 벌써 기대하는 중... 흡압 원 탑이 아닐지... 😆 에어홀 절반 닫고 베이핑하면 더 쫀쫀함니다 ㅋㅋ 빠른 배송, 빠른 대처해주셔서 좋은 기기 빠르게 받았던 거 같습니다 저스트포그 지금보다 더더더 대박나세요 감사합니다 😄",1
tkda*****,색상: 로즈,20250507,5,,아직 사용전이예요 ~ 액상이 아직안왔네요 ~ ㅠㅠ 연초 피다가 다시 전자 담배로 갈아타려고 주문했어요 ~ 배송 진짜 짱 빨라요 어제 휴무일에 주문했는데 ^^ 전에꺼 잊어버려서 어떤거 사야할지 고민하다가 구매했는데 색상도 이쁜것 같아요 ~ 아쿠아랑 엄청 고민했어요 ㅋㅋ 이전에 액상 전자담배 몇번사봤지만 파드 1개밖에 안주고 그래서 항상 사용 다하고 했는데 좋은것 같아요 ~ 그래서 추가로 구매할뻔했는데 구성품 자세히보니 ㅋㅋ 파드 2개 ㅋ 또 구매했으면 큰일날뻔했어요 ~ 뭐 나중엔 몇개 구매해놔야겠지만 사용해보고 구매하려구용 ~ 전에꺼는 누수도 있고 흡입도 안되기도했는데 이건 좋았으면 좋겠어용 ~~ 괜찮으면 하나더 구매해놓고 두개로 사용할까봐요 ~ 빨리 사용해보고싶어요 ~ 우선 너무 만족합니다 !! 사용해보고 한달후기로 남길께요 ^^,0
taih****,색상: 블랙,20250508,5,,기존 제품 사용하다가 너무 오래되어 이제품을 구매한 디자인적으로 좋고 고급스러운 부분에 만족합니다. 무엇보다 용량 크고 배터리도 좋아 휴대성에 👍,0
siri***,색상: 로즈,20250416,5,,액상 리뷰란에서 사진보고 디자인에 반해서 샀는데 진짜 대만족중!! 너무 예쁘고 그립감도 좋아요 솔직히 디자인 보고 산거라 성능은 안보고 샀는데 성능도 대만족중 쥴처럼 버튼 안누르고 흡입만 해도 되는것도 좋았고 아직까진 액튐이나 끓는현상은 없네요 전에 쓰던기기가 조금 있어서 이것도 그러면 어쩌나 했는데... 누수도 없고 무게도 생각보다 가벼워요! 전에 쓰던건 아보카도였는데 일반보단 조금 무겁고 프로보단 가볍네요 대만족!! *근데 택배상자 송장에 너무 정직하게 전자담배라고 찍혀서 와요 진짜 식겁했음.... 전자담배 빼고 제품 모델명만 찍히게 수정하시는게 좋을듯 다른색도 살까 하다가 부모님이 볼까 못사겠네요..,0
rkse***,색상: 블랙,20250424,5,,"기존 폐호흡기기 사용하다 일하면서 사용하는데 불편함이있어 입호흡으로 넘어왔습니다 한달이 지난 시점, 아주 만족하면서 사용중입니다 아래는 개인적인 장단점입니다 -장점 1. 누수x 흡압좋고 배터리 충분합니다 2. 주머니에 넣고 굴려도 불편함없고 마찬가지 누수x 3. 사이즈 컴팩트해서 휴대하기 좋아요 4. 무난한 디자인. 오히려 튀지않아서 좋습니다 5. 맛표현 무난하게 좋습니다 단맛은 0.6옴이 더 나은거같은데 수명은 1.0옴이 더 오래가는듯? 과멘보단 디저트가 개인적으로 더 맛있네요 -단점 1. 배터리 잔량표시 너무 불편합니다 하루쓰고 충전하는 습관이 있어서 괜찮지만 그래도 이게 어느정도 남았는지 확인하는게 매우 불편해요 2. 개인적인 단점인데, 손에 땀이 많으면 사용할때 매우 미끄럽습니다ㅎ 결과적으론 한달동안 매우 만족하며 사용하고 있습니다 전담 입문으로 고민중이라면 추천드려요 이 가격대에 이정도 성능이면 아주 좋습니다",0
ghdt*****,색상: 블랙,20250508,5,,엄청난 속도의 배송 디자인 굿! 액상이 아직 도착하지 않아 사용전이지만 만족합니다! 첫 전담 구매인데 잘쓰겠습니다~^^ P.s 액상을 먼저 주문했는데 기계가 먼저도착함ㅋ,0
13mi****,색상: 오크,20250424,5,,배송도 빨랐고 흡압도 정말 좋네요 젤로 헬페이프 피다가 글렌트가 좋다는 소문에 바로 구매해봤는데 기대 이상입니다. 앞으로 연디 유형은 글렌트로 베이핑 할것 같아요 정말 만족스러운 상품입니다 강추합니다,0
easy****,색상: 블랙,20250426,5,,일단 너무 이뻐요. 안튀고 작은데 이쁜것까지 원했고 평도 좋길래 구매했는데 정말 원하던 그대로여서 좋았습니다. 첫사용 그리고 첫구매인데 만족스러운 구매여서 너무 좋았구요 이상한 점 및 불편한 점은 더 써봐야알겠지만 만족스럽습니다. 아직 잘 모르는거 같아서 갑자기 너무 뜨거운 연기가 들어와서 놀랬지만 왠진 모르겠구요... 암튼 아직은 맘에 듭니드,0
jet6***,색상: 블랙,20250507,5,,"2일정도 사용했는데 후기처럼 누수와 액상튐은 없네요. 맛표현은 단맛이 절제되고 향은 은은히 이런식인데 저한테는 잘 맞습니다. 디자인도 훌륭해서 너무 좋네요. 다만, 저스트포그의 다른 제품 중에 같은 배터리 용량을 가진 제품을 소유중인데 배터리용량이 같은게 맞나 싶을정도로 배터리 소모가 빠릅니다. 반나절 정도 들고다니면서 피면 전원이 나가버려요. 이거 정상인가요?",0
wise***,색상: 로즈,20250507,5,,디자인이 너무 예뻐요 그리고 사용성도 편리 합니다. 첫 기기인데 아주 만족 합니다. 포장도 너무 좋네요.,0
