작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
aven****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250511,5,,이번에 글렌트 구매하면서 같이 0.6옴 파드 추가로 구매했어요. 글렌트 기기에 기본구성으로 파드가 0.6/1.0옴 두개 들어있는데요 일단 0.6옴 부터 써보니 좋네요. 추가 구매하길 잘한거 같아요.,0
cute*****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250504,4,,새벽에 시켰는데 당일 오후에 오는거 실화?! 배송이 진짜 빨라서 오프라인매장 없어도 전혀 불편하지않아요. 다만 최근 쓰자마자 액상누수생기는 불량이 꽤 자주 보입니다 ㅠ,0
eunc*****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250512,1,,팟 공기 흡기구 쪽으로 자꾸 새요 가면갈수로 더 새요 들고 다니는거는 완전 비추 기계가 아까워서 쓰고는 있는데......,0
jeoj******,저스트포그 글렌트 팟 1팩(3개입): 1.0옴 1팩(3개입),20250511,5,,잘 받았습니다. 아직 기본팟 쓰지만 만족스럽네요 ㅎ,0
gksx****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250504,5,,배송이 완전 칼배송이라 너무 좋고 다른곳보다 가격이 왤케 저렴한거죠! 다음에도 재구매해야겠어요,0
pc****,저스트포그 글렌트 팟 1팩(3개입): 1.0옴 1팩(3개입),20250511,5,,현존하는 기계중에는 최고인듯 팟도 한달이상고 맛변화가 없어서 교체하는걸 까먹는수준임,0
skeh****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250511,5,,토요일 주문했는데 일요일날 받으니 너무 좋아요 감사합니다!,0
joal*****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250511,4,,품절이엿어서 계속 기다렷러요 ㅎㅎ 잘쓸게요,0
sura****,저스트포그 글렌트 팟 1팩(3개입): 0.6옴 1팩(3개입),20250508,5,,디바이스 최종 정착지 글렌트 ㅎㅎ 0.6옴이 달달한 맛표현이 좋습니다,0
pear****,저스트포그 글렌트 팟 1팩(3개입): 1.0옴 1팩(3개입),20250511,3,,요새 구매하는 팟들은 누수가 좀 심하네요 ㅠㅠ뽑기운이 있는듯…,0
