작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
lily*****,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX레인보우 (배터리용량업),20250504,5,,ㅠㅠㅠ 화면으로 볼땐 색깔이 독특하고 예뻐서 선택했는데 그냥 흰색 살껄 좀 후회되네용 ㅠㅠ 기기는 좋습니다!!!! 담번엔 흰색으로 하나 더 사야겠어요ㅎㅎ,0
yjk1***,세트 선택: 세트1: 세이프베이직 세트 / 컬러: 은색세트,20250425,5,,"3번째 구매입니다. 이번에는 충전 포트도 개선되었고, 실버 색 고급스럽습니다. 자주구매하는 품목 등록하고 자주 이용하겠습니다.",0
peh8***,세트 선택: 세트1: 세이프베이직 세트 / 컬러: 검정세트,20250424,5,,일단 저렴해서 한번 사봤는데 가성비 좋네요 대신 자꾸 리필할때 잘안얼려서 고생이였는데 부품도 새로 보내주시고 무엇보다 액상을 처음 제가 섞어서 조합했는데 제입에 딱이여서 너무 좋아요!! 전 맨솔피는데 제 추천조합은 타바코오리지널+맨솔+타격감추가 이거엿답니다 쭈욱 이조합할듯..,0
rook******,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX은색 (배터리용량업),20250415,3,,서브용으로 하나 구매하고 카트리지도 2통 여분으로 사두었으나... 사용해 보니 액상 넣기가 번거롭다. 조심조심해도 살짝살짝 묻어난다. 가장 큰 문제가 코일이 너무 빨리 탄다. 몇번 땡기면 바로 탄내가 나서 며 칠 쓰지를 못한다. 디자인 때문인지 내구성이 약해서 살짝 쿵 했는데 휘었다....,0
kdj2***,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX검정 (배터리용량업),20250405,5,,가볍고.흡입좋고.배송 빠르고 굿,0
bora****,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX화이트 (배터리용량업),20250410,5,,미니박스 샀다가 가볍게 들고 다니기 좋을것 같아서 하나 더 샀어요~~ 전자담배 고장나면 배송 올때까지 애매해서 가격도 착하니까 하나더 구매해놓는게 좋더라구요ㅋ,0
just**********,세트 선택: 세트1: 세이프베이직 세트 / 컬러: 검정세트,20250413,2,,맛표현도 잘 안 되고 너무 안 빨려요 힘줘서 빨아야 빨림 ㅠ 저렴해서 구매했는데 다시 구매는 안 하려고요 싼 덴 이유가 있는 것 같아요,0
ahj0****,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX레인보우 (배터리용량업),20250501,5,,가성비 끝판왕 잘쓰고있음,0
2sof******,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX은색 (배터리용량업),20250416,5,,몇번째 재구매인지 모르겠어요 가성비좋고 너무나 만족합니다,0
love********,세트 선택: 세트2: 세이프MAX 세트 / 컬러: MAX은색 (배터리용량업),20250430,5,,C타입 충전으로 더 편하네요,0
