작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
mast******,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250404,5,,"일단 배송 엄청빨리왔어요! 도착했다는 연락받고 놀라고 얼른 사용하고싶어서 퇴근만 기다렸네요ㅠ 구성품도 하나하나 깨알같이 귀엽고 실용적으로 넣어주셔서 사소한거에도 맘에드네요ㅎㅎ 디자인이나 맛표현, 사용감 다 탁월한게 너무 좋아요 또 열심히 베이핑하러 가야겠네요! 한정판인만큼 얼른 구매들하세요!! 후회 안하실겁니다🤙🏻",1
sy****,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250504,5,,디자인적으로나 사용하는데 있어 좋은 제품이라 생각 됩니다. 원터치 방식이라 편하게 조작 가능한점도 너무 좋습니다. 다만 저처럼 처음 접하는 사람들에게는 와트가 높아지면 달라지는 차이점 및 락을 걸면 안걸리는 부분과 차이점을 좀더 알기 쉽게 써주시면 이해하기 편할꺼 같습니다. 사은품 많이 챙겨주셔서 감사합니다,0
vlqj****,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250430,2,,사용한지 한달 됐는데 이거 정상인가요? 누수가 너무 심해요 제일 처음 받았던 팟은 괜찮았던거 같은데 같이 추가로 구매한 팟은 무슨 액상이 흘러내려서 기기 바닥으로도 새어나오고 책상에 다 묻고.. 이러다가 기기안에 들어간 액상때문에 고장날거같네요. 디자인은 예쁜데 계속 이러면 조만간 버릴거같아요,0
wnal*******,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250429,5,,일단 에디션이라서 너무 이쁘고 마음에 속 드네요 ㅎㅎ 젤로 맥스 휴대도 좋고 베이핑도 두말하면 입만 아프죠 ㅎㅎㅎ 해피한 베이핑 하겠습니다 그리고 사장님께서 사은품을 너무 챙겨주셔서 감동받을 일이 없는 제가 이렇게 간만에 감동받았습니다 사장님 감사합니다 번창하세요 ㅎㅎ,1
rhks*******,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250513,5,,"하는 일이 기름을 많이 만지는 현장직에서 종사하다보니, 기름이 묻은 기존 젤로맥스를 들고다니면서 피기에도 제한이 있었습니다. 여러가지 복합적인 상황으로 인해 기존 제품을 피지 못하는 상황을 염두하고 서브로 놔둘 기기를 찾다가 웬만하면 같은 기기로 메인, 서브를 돌리는게 낫다는 주변인들의 권유를 들었습니다. 기존에 젤로맥스 블랙컬러를 사용중인데, 다른 기기들을 찾다가 해당 제품을 알게 되었습니다. 기존 제품과는 다른 디자인에 더 혹하게 되었고 구매를 결정하게 되었습니다. 아직 베이핑을 해보지는 못했지만 뭔가 더 맛있게 느껴질 것 같다는 기분적인 기분도 듭니다. 좋은 상품 감사드리고, 번창하시길 바랍니다.",0
wsni***,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250506,5,,박스부투 마음에.드네요 배송도 빠릅니다 핑크가.없는게 아쉽,0
reds****,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250414,5,,빠른 배송과 사은품 너무 좋았습니다 디자인도 깔끔히고 너무 이쁜거 같아요 이번엔 분실없이 오래 사용해야겠어요^^,0
kino*******,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250315,5,,너무너무 이뻐요!!! 에디션으로 나온거 사고잇는데 이색도 너무 이쁜거같아요ㅠㅠ 사용해보니 부드럽게 잘 되네요~ 다음엔 무슨색으로 에디션 나올지 기대돼요!! 전담은 젤로 맥스가 제일 좋은거같아요 젤로 맥스만 세개째 자기고있고 그냥 젤로까지 네개 있네요~ㅎ 사은품도 많이주시고 보조배터리 너무 맘에들어요~ㅎ,0
lee7*****,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250430,5,,와 대박이네요 전담하나 시켰는데 물티슈에다 보조배터리 볼펜까지 뭐가 많아서 놀랐네요 ㅋㅋ 전담도 고급지고 재구매 희망합니다!!,0
rrkd*****,헬베이프 젤로 맥스: 호텔스키 (폴블랑코 한정판),20250423,5,,"일반젤로쓰고잇는데 맥스한정판이라 구매햇어요 와,,, 사장님 사은품 무슨일이에여ㅠㅠㅠ 사장님 돈쭐나셔야해요 꼭!!! F감동받고갑니다ㅠㅠㅠ",0
