작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
oran******,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 머스캣.,20250425,3,,"다 좋은데 넘 목이 따가울정도로 맨솔?시원함 전에 구입하던 곳과 비슷한 용량, 맛도 거의 비슷하고 근데 거기껀 담배가 생각이 안났었는데 여기껀 이거 피면서도 담배가 생각 남 거기도 무니코틴 임 몰랐었는데 얼마전 전담 니코틴 때문에 문제가 생겨 방송에 나왔다구 하던데 거기도 문제가 있었던건지 판매중단임 난 오히려 니코틴이 조금 있어도 담배가 생각이 안난다면 더 좋지 않나 싶은데ㅠ여기도 보니까 말들이 많던데 판매 하시는거 보니 해결은 된거 같은데 우짜든 거기꺼 다시 구매하려고 들어갔다가 판매중단이라 떠서 여기께 젤 비슷해서 구입은 해 봤는데 다 좋은데 담배가 생각나는게 아쉽네요 이거 피면 걍 단 사탕 먹는느낌 그래도 이거 먹으면 좀 들 피겠죠ㅎ",2
soph*********,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 피치파인.,20250506,3,,매번불량이하나씩은오네요... 잔량 두칸 뜨자마자 탄맛이너무나고 액상이안나오는 느낌이나서 못피겟어서 참다참다 두번째포장깟어요 엄청나게싼가격에 파시는것도 아닌데 불량없이좀 만들어주세요 3개씩시키는데 이번이 두번째 불량인데 한번더이러면 여기서 안시킬거같아요,2
un_s****,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 머스캣.,20250507,5,,배송빠르고 좋아요 포장 튼실합니다,0
skml***,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 망고슬러쉬.,20250508,5,,달달한 향이 좋네요. 담배 생각날때 대체품으로 잘 사용할것 같아요.,0
sk****,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 망고슬러쉬.,20250416,2,,"솔찍히 가격대비 별로입니다 압력 조절기능 없는것도 불편하고 맛도 일정하지않아 별,로입니다 구매할때 분명히 3+1 이라고 해서 3개 주문했는데 받아보니 3개만 와서 다시 판매 페이지 들어가보니 그이벤트는 없었습니다 근데 구매 당시 판매페이지에 기재했으면 줘야 되는거 아닌가요?? 그부분도 빈정상하고 아무튼 재구매 의사 1도 없습니다",4
kuku****,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 스트로베리.,20250506,4,,요즘은거의 보름쓰더라고요 안에 양이들쑥날쑥한건가 ㅡ그리고가끔 안에막힌거같이되다안되다 하기도합니다 그래도 액이새서오고 그런적은없었음,0
cjj9***,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 망고슬러쉬.,20250508,5,,배송이 빠르네요 금연하려고 구입했어요 좋으면 계속 재구매,0
kuku****,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 머스캣.,20250506,4,,조아요 머스캣이 최애고 딸기도 괜찮아요,0
sola****,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 퓨어멘솔.,20250509,4,,0%는 처음이고 사용 전입니다. 만족도는 사용해 봐야 알 수 있을 듯요.,0
ha****,일회용: 쥬스틱 울트라 플러스 / 맛: 울트라 플러스 머스캣.,20250424,5,,"원래 사용하던 제품을 살 수가 없어서, 검색해서 처음 구매했어요.잘 맞았으면 좋겠네요",0
