작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
kww0***,시크원3.0색상: 화이트펄,20250502,5,,먼저 저의 남편 먼저 구입 했어요. 쓰기너무 편리 하고 Iq 1 보다 배터리커고 2 온도 안전하고 높고. 조절할수있어서. 담배향기 두 달라요 3제습 기능 있어서. 뭐 보다 최고에요. 남편 중국에서 사업해요. 중국 공장 에 직원들 보고 서로 서로 사따라고 해요 I x 7 세대 너무빨리 고장나요,1
z101****,시크원3.0색상: 카키,20250425,5,,전모델 썼는데 아쉬웠던 부분들이 더욱더 개선되어 아주만족합니다 드라잉 기능 좋습니다^^ 기기가 점점 이뻐지네요 ㅎ 잘쓰겠습니다 다음버전에 또만나요,2
viol****,시크원3.0색상: 블랙,20250513,5,,차이코스 것만 세 번째 구입. 사진에 있는줄 거 말고 그다음 기계도 썼었는데 고장나서 버렸;;ㅎ 고쳐써도 되는데 더 업글돼 있을 거 같아서 이번에 새로 구매했는데 확실히 이전 것들보다 좋네요 뭣보다 타격감이 더 강해진 점이 좋아요,0
murc***,시크원3.0색상: 카키,20250511,5,,빠른배송감사드립니다.기계가 쓰기가 편하며 drying 기능이 너무 좋습니다.^^그리고 기계 색상 및 촉감도 너무 좋습니다.,1
blac*******,시크원3.0색상: 화이트펄,20250413,4,,드라이모드가 조금 짧은게 아쉽고 드라이모드로 켰을때너무늦어요..시간은 늦추는기능이 있지만 늦춰졌다고 똑같은 맛이 나는건아니네요,2
thdt******,시크원3.0색상: 화이트펄,20250510,5,,기계가 오래되서 새로 샀는데 좋네요 연무량도 나뿌지않아요,1
mr****,시크원3.0색상: 화이트펄,20250512,5,,ㅇ분실해서 다시 샀네요..ㅠㅜ 기기는 최고입니다.,1
qazw****,시크원3.0색상: 카키,20250426,5,,아이코스 분실로 교체를 해봤는데 적응하기 첨엔 어색했는데 나름 이틀.지나니 사용할만하네요. 단 꽂아놓은 담배가 입술에 걸려 잘 빠지네요..,1
lh****,시크원3.0색상: 실버,20250213,5,,"금연 5년차에 어쩌다보니 다시 담배를 태우게 되었습니다. 5년 이상 금연하다가 연초를 태워보니 전혀 어색함도 없고 예전처럼 피우게 되더라고요. 역시 담배는 끊는게 아니라 참는건가 봅니다. 연초를 태우다보니 몸에서 냄새가 많이 나는게 스스로도 싫었고 주위 사람들이 너무 싫어해서 전담 시작해 보려고 합니다. 호기심도 있었고 회사 동료들이 타사 제품을 쓰고 있더라고요. 저는 무엇보다 덥거나 추울 떄 실내에서도 태울 수 있는다는 가장 매력적으로 다가웠어요. 궐련형? 이런 전담은 완전 처음이고 잘 몰라서 상세페이지 내용보며 기능 하나하나 작동해 봤습니다. 처음엔 너무 강하게 빨아서 그런지 겉종이가 타버리고 제대로 쓰지도 못하고 버렸고 두번 째는 그럭저럭 흡입 느낌이 좀 났어요. 저는 개인적으로 290도 이상으로 설정하면 입으로 무는 부분이 너무 뜨거워서 280이 적당하던데 이건 강하게 흡입하는 제 성향 때문에 그런건지 다른 분들은 어찌 사용하고 있는지 궁금하네요. 기존 연초 같은 경우 저는 금방 태워버리는 스타일인데 이건 3분 설정해 놓으면 저는 시간이 부족하더라고요. 그래서 6분 해놓고 느긋하게 쓰니 딱 좋은거 같아요. 3분이 이리 짧았던가 싶은 ㅎ 기계는 이상없이 잘 받았고, 좋은거 같습니다. 솔직히 연초를 바로 끊을 수는 없을거 같고 차차 기계에 익숙해지면 연초를 끊어야겠지요. 테리아는 일단 타바코 계열, 과일 계열 두가지만 사서 써봤는데 저한테는 과일멘솔쪽이 잘 맞는듯합니다. 이건 뭐 개인취향이긴한데 타바코 계열은 왠지 쩐내가 더 심하게 나는듯해서.. 잘 사용해보고 혹시 고장나면 문의 드리도록 하겠습니다~",2
vivi****,시크원3.0색상: 카키,20250508,5,,배송빠르고 제품 좋아졌네요,1
ssou*****,시크원3.0색상: 카키,20250426,4,,빨강 23년 흰색 24년 그린 25년 그래도 24년꺼가 좋은거 같아요 사람마다 다르겠지만,1
rlax********,시크원3.0색상: 블랙,20250503,5,,아직 사용전이지만 그립감 좋아요,1
cib0***,시크원3.0색상: 카키,20250504,4,,드라이 기능이있어 찐냄새가 안나서 좋았습니다~,1
wl****,시크원3.0색상: 블랙,20250421,5,,좋아요좋아요조아요 단점은 연초는 끊었으나 더많이핀다,1
huno****,시크원3.0색상: 화이트펄,20250429,5,,배송 빠르네요 ㅎㅎ 잘 받았어요 ㅎㅎ,2
jiji***,시크원3.0색상: 화이트펄,20250402,5,,여기저기 알아보다 시크원3.0이지 기계를 알게 되었어요 배송도 빠르게 와서 바로 해봤어요 앞으로 잘 사용할것 같아요 잘쓸게요,2
topp******,시크원3.0색상: 카키,20250416,5,,남편 선물해줬는데 좋아하네요~ 담배 기계가... 예뻐요......,0
dlrl******,시크원3.0색상: 블랙,20250505,5,,가격이5천원올랏네요...ㅠ 저는 작년구입후 아직도 쓰다가 지인추천해줘서 하나 더구매합니다.,0
ni****,시크원3.0색상: 화이트펄,20250423,5,,만족합니다. 좋아요.,0
zose*****,시크원3.0색상: 실버,20250418,5,,잘 쓰고있어요ㅋㅋ 드라이모드는 가열되는 시간이 쫌 걸리네요,0
jiin***,시크원3.0색상: 카키,20250422,5,,배송 빠르고 아주 마음에듭니다.,0
ujin****,시크원3.0색상: 화이트펄,20250420,5,,추가구매 추가로 선물보내고,0
jsto****,시크원3.0색상: 블랙,20250510,1,,온도를 제일 낮은 270도로 낮춰도 탄 맛이 나서 돈만 날렸습니다.,0
ujin****,시크원3.0색상: 카키,20250419,5,,일단 1개구매 1개선물 추가1개,0
eric***,시크원3.0색상: 블랙,20250409,5,,아이코스 보다 다른 느낌입니다 화면이있으니 보기도 편하고 온도조절이랑 드라이모드는 진짜 대박입니다.. 이건꼭 써야되요,1
hyyk*****,시크원3.0색상: 블랙,20250429,5,,그립감 좋네요~ 언제나 차이코스 만족합니다~,1
jang*********,시크원3.0색상: 카키,20250419,5,,연무량도 좋고 밧데리 오래가고 좋네요,0
ng****,시크원3.0색상: 블랙,20250509,4,,사용방법도 간단하구 쓰기가 편해요,0
mlin*****,시크원3.0색상: 화이트펄,20250428,5,,"좋아요, 연초 피다 전자담배피려니 번거로움은 있지만 사용감은 좋습니다.",1
ssou*****,시크원3.0색상: 블랙,20250426,4,,작년에 산것보단 조금큰거같고 잡는 느낌도 좋아요. 기존꺼보단 연무량도 많다고는 합ㄴ다.,0
kkn7***,시크원3.0색상: 화이트펄,20250416,5,,1년 쓰다가 같은 제품으로 삿어요 좋아요,0
qudg*******,시크원3.0색상: 블랙,20250408,5,,저번에 화이트 사서 쓰다가 술마시고 잃어버려서 검정 추가합니다 시크원3.0 좋아요~!!!,1
clgj*****,시크원3.0색상: 블랙,20250512,4,,배송 빠르네요~~~,0
qiis*****,시크원3.0색상: 블랙,20250420,4,,"오랜만에 고민끝에 전담으로 바꿨는데 현재까지 펴본 전담중엔 제일 낫다. 타격감은 연초를 따라가기 힘들지만 전담치곤 괜찮은편,, 한달동안 연초 생각안하고 잘 쓰고 있는 중",0
hyun*******,시크원3.0색상: 블랙,20250418,5,,생가했던거보다좋습니다~,0
pcs0****,시크원3.0색상: 블랙,20250507,5,,2번째구입..말이필요 없음,0
jing****,시크원3.0색상: 블랙,20250502,5,,오토 스타팅 기능은 없아서 좀 아쉽네요,0
whtj*******,시크원3.0색상: 카키,20250430,5,,배송이 빠릅니다 감사합니다,0
wjav****,시크원3.0색상: 블랙,20250409,4,,생각보다는 냄새가 많이나는것 같아요,0
us****,시크원3.0색상: 블랙,20250423,5,,"자유로운 온도 조절, 시간 설정, 오래가는 배터리 모든게 만족 스럽습니다.",0
dark******,시크원3.0색상: 블랙,20250426,5,,같은 담배라도 기계로 달라질수 있습니다 풍부하고 맛있어요,0
bosa******,시크원3.0색상: 블랙,20250406,5,,디자인도 이쁘고 성능도 좋아보이네요,1
