작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
ccha****,PRO: 프로 유자 하이볼,20250511,5,,잘받았습니다 배송도 빠르고 포장도 꼼꼼하게 잘되있고 좋아요 니코틴프리제품 검색검색해서 결정한 칠렉스프로입니다 사실첫시작은 사은품으로 보내주신미니가 너무갖고싶었어요ㅋ너무제스타일ㅋ주문때 달달한건 싫어서 알로에랑 레몬을 시켰는데 미니로온것중 하나가 유자하이볼이었는데 손이 자꾸 유자에만 가더라구요 그래서 유자하이볼로만 재구매했어요 사은품미니도 랜덤배송인데 유자로만 보내주십사 부탁드렸더니 또 흔쾌히 보내주셔서 너무감사했습니다 계속 재구매할게요 ♡,0
ccha****,PRO: 프로 유자 하이볼,20250511,5,,잘받았습니다 배송도 빠르고 포장도 꼼꼼하게 잘되있고 좋아요 니코틴프리제품 검색검색해서 결정한 칠렉스프로입니다 사실첫시작은 사은품으로 보내주신미니가 너무갖고싶었어요ㅋ너무제스타일ㅋ주문때 달달한건 싫어서 알로에랑 레몬을 시켰는데 미니로온것중 하나가 유자하이볼이었는데 손이 자꾸 유자에만 가더라구요 그래서 유자하이볼로만 재구매했어요 사은품미니도 랜덤배송인데 유자로만 보내주십사 부탁드렸더니 또 흔쾌히 보내주셔서 너무감사했습니다 계속 재구매할게요 ♡,0
yuri*******,PRO: 프로 알로에 그레이프,20250503,5,,"미니로 주신 딸쉐랑 아이스멘톨 진짜 굿 ㅠ ㅠ 딸쉐 맛이 딱 츄팝춥스 딸기우유 맛이랑 똑같아서 진짜 맛있어요,,,, 대용량 다 피우면 딸쉐 무조건 삽니당 🥺 아이스멘톨 쿨링감 진짜 장난없고요 너무 만족 대만족이요,,,, 블랙커런트도 쿨링감 굿 살짝 향이 베리? 체리? 비슷한 향이었어요! 배송도 빨라서 너무 좋아요",0
ccha****,PRO: 프로 알로에 그레이프,20250501,5,,잘받았습니다 배송도 빠르고 포장도 꼼꼼하게 잘되있고 좋아요 무니코틴인데 여느니코틴포함된 전자담배만큼 타격감도좋고 별차이가없어서 아주좋아요 개인적으로 단걸 좋아하지않아서 그나마 덜달아보이는 레몬이랑 알로에시켰는데 좋아요 유자하이볼이랑 알로에랑고민하다 유자가 더 달꺼같아 알로에로 시킨건데 사은품을 유자로 넣어주셔서 너무감사했습니다 유자는 생각보다 달다기보단 약간 특이한맛이 나서 좋더라구요 담에시킬땐 유자도 시켜봐야겠네요♡,0
ccha****,PRO: 프로 레몬,20250501,5,,잘받았습니다 배송도 빠르고 포장도 꼼꼼하게 잘되있고 좋아요 무니코틴인데 여느니코틴포함된 전자담배만큼 타격감도좋고 별차이가없어서 아주좋아요 개인적으로 단걸 좋아하지않아서 그나마 덜달아보이는 레몬이랑 알로에시켰는데 좋아요 유자하이볼이랑 알로에랑고민하다 유자가 더 달꺼같아 알로에로 시킨건데 사은품을 유자로 넣어주셔서 너무감사했습니다 유자는 생각보다 달다기보단 약간 특이한맛이 나서 좋더라구요 담에시킬땐 유자도 시켜봐야겠네요♡,0
ny****,PRO: 프로 유자 하이볼,20250426,5,,"새로운 디자인 마음에 드네요. 서비스로 주신것도 랜덤인데 맛보고 싶던게 와서 좋았습니다. 벌써 5개째,",0
bl****,PRO: 프로 아이스 블랙커런트,20250512,5,,가격도 착하고 엄청 상쾌하고 달달한 맛입니다. 식후 입안 텁텁함도 없어지고 향기도 좋습니다. 서비스 미니도 대박.짱 사업 번창 하세요.,0
wonh***,PRO: 프로 레몬,20250510,3,,빠르게 잘 받았습니다. 나에겐 안 맞는듯..계속 기침만 나와요 ㅠ 그리고 입안에 액이 들어온것 같진 않은데..들어오는 느낌이랄까..,0
wonh***,PRO: 프로 아이스 블랙커런트,20250510,3,,빠르게 잘 받았습니다. 나에겐 안 맞는듯..계속 기침만 나와요 ㅠ 그리고 입안에 액이 들어온것 같진 않은데..들어오는 느낌이랄까..,0
ta****,PRO: 프로 레몬,20250501,5,,다시 다른 맛으로 재주문 시켰네요 이 제품도 맛과 향 모두 좋은거 같네요,0
pro1******,PRO: 프로 딸기 쉐이크,20250509,5,,맛도 너무 좋네요 지인이 추천으로 구매했는데 대만족합니다,0
hsg1***,PRO: 프로 딸기 쉐이크,20250509,5,,상품 잘 받았습니다. 바로 사용해 봤는데 맛있고 연무량도 좋습니다. 아주 만족합니다!,0
ksl0****,PRO: 프로 프로즌 피치,20250511,4,,잘 받았습니다 먼저 샘플로주신 작은 딸기우유맛 햇는데 하다보면 약간 시큼한? 그런맛이라해야하나 향이라고해야하나 그런게 잇던대 괜찮은건가요?,0
rlaq******,PRO: 프로 프로즌 피치,20250512,1,,둘다 새거인데 왼쪽이 용량이 적네요 문의해보니 코일안에 액상이 들어가서 그렇다네요 오른쪽은 코일안에 액상이 안들어가나봅니다.,0
hapb********,PRO: 프로 유자 하이볼,20250430,5,,빠른배송 감사합니다 액상이 보이는게 맘에드네요 칠렉스 니코틴 있는걸 피워봐서 믿고 구매했어요,0
taim*****,PRO: 프로 프로즌 피치,20250509,5,,"딸기바나나는 츄파츕스맛나고 타격감도 적당한데, 피치는 깊게마시면 목이 살짝아픈정도네요 시원한거 좋아하는 저는 좋네요",0
qwer***,PRO: 프로 아이스 멜론 허니듀,20250426,5,,지난번에 솔티레몬? 주문하고 너무 만족스러워서 이번에도 같은 라인 다른 맛으로 주문했어요 사은품 자두맛이 너무 궁금했던 터라 따로 요청드려 이것부터 사용해봤는데 너무 맛있네요... 자두맛도 대용량으로 출시되었으면 하는 바람입니다... 멜론도 기대돼요!,0
taim*****,PRO: 프로 딸기 쉐이크,20250509,5,,맛있어요 2만번이고 미니도 같이줘서 감사합니다. 미니도 저렴하게 구입가능하면 좋겠네요,0
ne****,PRO: 프로 레몬,20250510,5,,기존 제품들보다 확실히 좋아요. 근데 좀만 덜 달았으면 좋겠습니다.,0
ne****,PRO: 프로 레몬,20250510,5,,기존 제품들보다 좋아요. 조금만 덜 단맛도 있으면 좋겠습니다.,0
gksq******,PRO: 프로 유자 하이볼,20250509,5,,두달째 사용중인데 이거 쓰면서 연초 단절했어요~ 딸기.자몽 강추!,0
ssww***,PRO: 프로 아이스 멜론 허니듀,20250508,5,,너무만족해서 재구매합니다. 자두아이스티 펴보고싶은데 안걸리네요 ㅠㅠ,0
2082***,PRO: 프로 프로즌 피치,20250503,5,,충전 다 돼서 와서 바로 쓰고 좋네요 맛도 괜찮아요 대용량이라 기대 중인데 얼마나 오래 갈지 봐 봐야겠어요,0
rage****,PRO: 프로 딸기 쉐이크,20250508,5,,"이거 좋네요. 5000, 8000, 10000 다 경험해 봤지만 PRO만큼 좋은 경험은 없는거 같습니다. 강력 추천합니다!",0
rage****,PRO: 프로 아이스 멜론 허니듀,20250508,5,,"이거 좋네요. 5000, 8000, 10000 다 경험해 봤지만 PRO만큼 좋은 경험은 없는거 같습니다. 강력 추천합니다!",0
lees*****,PRO: 프로 알로에 그레이프,20250511,5,,배송빠르고 괜찮네요 두번째 구매합니다,0
shui****,PRO: 프로 딸기 쉐이크,20250509,5,,맛있습니다 특히 멜론맛이 프로 버전은 딸기보다 달아요,0
kong****,PRO: 프로 딸기 쉐이크,20250509,5,,빠른배송 ~~만족합니다 ~~ 미니 서비스 감사합니다 ~~,0
pooh****,PRO: 프로 아이스 멜론 허니듀,20250503,5,,항상 잘 피고 있습니다. 배터리 잔량과 액상 잔량이 보여서 기존 제품에 비해 매우 편합니다. 서비스 미니도 감사합니다.,0
ta****,PRO: 프로 알로에 그레이프,20250501,5,,다른 맛으로 재구매 합니다 아주 좋아요,0
hapb********,PRO: 프로 레몬,20250430,5,,빠른배송 감사합니다 칠렉스는 워낙 많이 사용해봐서 만족합니다 무니코틴이라 살짝 차이가 있긴하네요.,0
haye***,PRO: 프로 유자 하이볼,20250429,5,,반도꺼 쓰다 바꿔봤는데 너무 달아요 🥲 사은품으로 온 미니 자두는 맛있었구요! 딸기는 아직 사용전이고 유자 써봤는데 제가 단걸 안좋아해서인지 너무 달게 느껴져요ㅠ,0
c121***,PRO: 프로 아이스 멜론 허니듀,20250425,5,,달달해서 계속 물고있게 되네요ㅎㅎ 원래 일회용은 쓰다보면 출력이 약해져 나중에는 맛이 없어 버리는데 이건 충전해서 쓸 수 있어서 좋네요! 한번에 잔뜩 샀는데 천천히 아껴 피워보겠습니다---,0
simp*******,PRO: 프로 유자 하이볼,20250511,5,,만족하고있습니다 감사합니다,0
mmkj*****,PRO: 프로 유자 하이볼,20250427,5,,같은회사동료 두분의 추천으로 샀습니다. 역시나 딸기가 좋네요. 금연에 도움이 될꺼라 봅니다.,0
psb4***,PRO: 프로 유자 하이볼,20250508,5,,두번째 주문 했습니다~미니도 같은 종류로 주셔서 감사합니다~,0
kimh*****,PRO: 프로 레몬,20250510,5,,배송엄청빨라요 재구매 할께요,0
garc*****,PRO: 프로 알로에 그레이프,20250512,5,,감사합니다 잘쓸게요,0
garc*****,PRO: 프로 유자 하이볼,20250512,5,,감사합니다 잘쓸게요,0
dlaa********,PRO: 프로 아이스 블랙커런트,20250513,5,,조그만하게 오는것들도 만족해요!,0
goto***,PRO: 프로 딸기 쉐이크,20250510,5,,잘사용할께요 대박나세요 ^^,0
goto***,PRO: 프로 알로에 그레이프,20250510,5,,잘사용할께요 대박나세요 ^^,0
silv********,PRO: 프로 알로에 그레이프,20250504,5,,액상 아닌걸로 쓰고있었는데 액상도 비슷하게 괜찮아요 근데 대용량치곤 좀 빨리 줄어드는거 같긴해요,0
ta****,PRO: 프로 딸기 쉐이크,20250427,5,,여러 전담을 사용중입니다 칠렉스 프로도 맛있는 전담중 하나 같습니다 썹스도 주시고~ 다음번엔 다른 맛도 경험 하고 싶네요~,0
ta****,PRO: 프로 프로즌 피치,20250427,5,,여러 전담을 사용중입니다 칠렉스 프로도 맛있는 전담중 하나 같습니다 썹스도 주시고~ 다음번엔 다른 맛도 경험 하고 싶네요~,0
hsg1***,PRO: 프로 아이스 블랙커런트,20250509,5,,맛 좋고 연무량 좋습니다. 만족합니다.,0
sjh7***,PRO: 프로 딸기 쉐이크,20250429,5,,매우 잘 받았습니다 마음에 드네요 미니도 너무 귀여워요 ㅋㅋㅋ,0
pro1******,PRO: 프로 유자 하이볼,20250509,5,,지인추천으로 구매했는데 맛도 너무맛있고 너무 좋습니다^^,0
ksbo***,PRO: 프로 유자 하이볼,20250510,5,,배송빠르고 맛도 좋아요,0
kaha****,PRO: 프로 아이스 멜론 허니듀,20250508,5,,오래 필수있고 맛도 끝까지 변하지않아좋네요,0
dh****,PRO: 프로 딸기 쉐이크,20250509,5,,이번에 미니버전 같이줘사 너무좋아요,0
pooh****,PRO: 프로 프로즌 피치,20250503,5,,항상 잘 피고 있습니다. 배터리 잔량과 액상 잔량이 보여서 기존 제품에 비해 매우 편합니다.,0
pooh****,PRO: 프로 레몬,20250503,5,,항상 잘 피고 있습니다. 배터리 잔량과 액상 잔량이 보여서 기존 제품에 비해 매우 편합니다.,0
pooh****,PRO: 프로 프로즌 피치,20250503,5,,항상 잘 피고 있습니다. 배터리 잔량과 액상 잔량이 보여서 기존 제품에 비해 매우 편합니다.,0
pasl***,PRO: 프로 유자 하이볼,20250508,5,,유자하이볼이 젤 맛있어서 이것만 펴요 좋아요,0
gksq******,PRO: 프로 딸기 쉐이크,20250508,5,,서비스 보내주시는 쪼꼬미 감사합니다,0
king*****,PRO: 프로 딸기 쉐이크,20250502,5,,속이 뻥뚤리네요 시원하고 좋습니다 감가합니다,0
kmj0***,PRO: 프로 딸기 쉐이크,20250511,5,,잘 피고 있습니다 맛좋음,0
seum***,PRO: 프로 씨 솔트 레몬,20250512,5,,칠랙스 어걸로 계속 통일,0
sjh7***,PRO: 프로 알로에 그레이프,20250429,5,,잘 받았습니다!!! 다음에 또 구매하겠습니다,0
driv*******,PRO: 프로 딸기 쉐이크,20250424,5,,니코틴 없다고 해서 구매했습니다 서서히 금연 시작 해보려구요~ 맛도 괜찮고 연무량도 맘에 듭니다~~,0
tkd2***,PRO: 프로 유자 하이볼,20250507,5,,맛도좋고 무화량도 좋고 미니도 증정으로 줘서 좋네요.,0
tkd2***,PRO: 프로 딸기 쉐이크,20250507,5,,맛도좋고 무화량도 좋고 미니도 증정으로 줘서 좋네요.,0
qpt0***,PRO: 프로 레몬,20250508,5,,맛있습니다 기존에 피던것보다 훨씬 낫네요~~,0
qpt0***,PRO: 프로 프로즌 피치,20250508,5,,맛있습니다 기존에 피던것보다 훨씬 낫네요~~,0
seoi***,PRO: 프로 프로즌 피치,20250501,5,,칠렉스 제품이 품절이라 새로운 일회용으로 구매했는데 괜찮네요,0
leeb***,PRO: 프로 딸기 쉐이크,20250509,4,,디자인이 너무 예뻐요,0
vvvv*****,PRO: 프로 아이스 멜론 허니듀,20250504,5,,메론 너무 달지만 용량 확인도 되고 좋아요,0
soco****,PRO: 프로 유자 하이볼,20250503,5,,"타격감, 연무감 연초 생각 안날만큼 만족했습니다~",0
soco****,PRO: 프로 딸기 쉐이크,20250503,5,,"타격감, 연무감 연초 생각 안날만큼 만족했습니다~",0
mmkj*****,PRO: 프로 딸기 쉐이크,20250427,5,,"딸기랑 유자 구매했습니다. 딸기먼저 피고있으며, 동료분이 유자팟도 괜찮다고 합니다.",0
kaha****,PRO: 프로 딸기 쉐이크,20250508,5,,맛도좋고 가성비 굿,0
whkd****,PRO: 프로 아이스 블랙커런트,20250508,5,,블랙커런트 제 입엔 너무 달아요ㅜ,0
xero*****,PRO: 프로 아이스 블랙커런트,20250502,5,,좋아요. 애용하고 있습니다. 추천해요,0
dlaa********,PRO: 프로 프로즌 피치,20250513,5,,굿국굿 좋습니다 !!,0
mola****,PRO: 프로 알로에 그레이프,20250504,5,,좋아요배송빠르고굿임,0
mola****,PRO: 프로 딸기 쉐이크,20250504,5,,좋아요배송빠르고굿임,0
kong****,PRO: 프로 프로즌 피치,20250509,5,,빠른배송 ~~~만족합니다 ^^,0
