작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
cyhe*****,맛: New 대용량 멘톨 스트롱,20250509,5,,단맛이 1도 없어 좋아요. 살짝 강한듯 싶지만~ 신상 pro 레몬 샀다가 망했거든요. 기능은 좋은데 목젓까지 달디 달아서~ 단맛만 빼면 좋을텐데.,0
9407***,맛: 대용량 유자 하이볼,20250420,4,,받자마자 충전하고 위에 액상 결합해서 쓰는 방식인데 엄청 편하고 좋아요. 다만 얼마나 남았는지 잔량을 못보고 유자하이볼 생각보다 멘솔이 쎄서 세모금 정도 하면 목아파서 못할정도에요. 타격감이나 쿨링이 어느정도 만족하기는 액상은 확실히 한계가 있는 거 같습니다 ㅜㅜ,0
ange******,맛: New 대용량 클리어(소다),20250509,5,,항상 여기서 구매하고 오래 쓰는중이에요~좋네요 한달에 한개정도 소모하는듯하네요,0
nale*****,맛: New 대용량 클리어(소다),20250508,5,,매 번 구매해요. 사용감이 일정하진 않지만 가장 마음에 들어요.,0
me****,맛: 대용량 유자 하이볼,20250428,3,,월말이되면 인기있는 맛들은 품절되어 예약을 걸어야해요 간만에 주문했는데 맛이 걍 그래요,0
ange******,맛: New 대용량 멘톨 스트롱,20250503,5,,배송도 빠르고 가격대비 가성비 최고입니다. 달달함이 없는걸로 원했는데 딱 좋은 상품인것 같아요,0
whql****,맛: New 대용량 멘톨 스트롱,20250504,5,,유자는 다피고 사진을 못찍었네요 한달은 피는데 9000번 까지는 잘 모르겠어요 ㅎㅎ,0
ange******,맛: 대용량 유자 하이볼,20250503,5,,무료배송에 배송도 빠르고 가격대비 가성비도 좋아요 상쾌함과 타격감도 좋고 최고네요,0
kh****,맛: New 대용량 멘톨 스트롱,20250509,5,,저번에는 배송기간이 길었는데 이번엔 연휴끝나고 바로 배송받았습니다.,0
mini****,맛: 대용량 알로에 그레이프,20250509,5,,좋은물건빠른배송아주만족합니다,0
lees********,맛: New 대용량 아이스 레몬,20250503,5,,정말 오래 사용할 수 있고 흡입도 너무 훌륭합니다 충전하면서 계속 사용할 수 있어서 너무 좋아요!,0
lees********,맛: New 대용량 멘톨 스트롱,20250503,5,,정말 오래 사용할 수 있고 흡입도 너무 훌륭합니다 충전하면서 계속 사용할 수 있어서 너무 좋아요!,0
jso6***,맛: 대용량 유자 하이볼,20250407,5,,전자담배 이것저것 많이 바꿔봣는데..일단 타격감이 좋구요.ㅎ 다른전담은 피고나도 연초가 땡겼는데..이건 피고도 연초가 안땡겨서 짐 3개월째 연초 안피고 있어요.ㅎ 금연 계획이신분들 이걸로 시작해보셔도 될듯해요.ㅎ,0
me****,맛: New 대용량 멘톨 스트롱,20250428,4,,진짜 스트롱해서 많이 못피겠음 추워요~,0
ange******,맛: New 대용량 멘톨 스트롱,20250509,5,,항상 여기서 구매하고 오래 쓰는중이에요~좋아여,0
rkde****,맛: New 대용량 클리어(소다),20250502,4,,잘쓰고잇긴한데 배터리 빨리닳는거갓아요 그리고 오ㅔ 니코틴포함은 없나용?,0
boog***,맛: New 대용량 멘톨 스트롱,20250503,4,,멘톨스트롱 타격감과 쿨링이 처음이라 아직 적응이 안되지만 만족합니다,0
