작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
rh****,맛: 딸기쉐이크,20250501,2,,불량이하나 왔네요 청사과맛 처음 까고 쓸때부터 약간 가습온 것처럼 맛이 안나길래 아무래도 이상해서 까봤거든요 입구쪽 고무패킹이 비틀어서조립된건지 이렇게 돼있었어요 이미 사용 꽤해서 따로 교환이나반품신청은 안했지만 조금 실망이네요,0
lj****,맛: 청사과,20250502,5,,집에서 전담 물고 있는 사람들은 배터리가 생각보다 빨리 닳아요 하나 더 구매해 놓고 번갈아 가면서 충전 해야 할 것 같아요 맛은 콜라맛 그대로고 청사과도 너무 맛나요 콜라맛으로 피다가 다른 거 피면 맛이가 안 나요~,0
driz*******,맛: 딸기쉐이크,20250508,5,,금연 중인데 니코틴도 없고 좋아요. 이걸로 천천히 담배 자체를 끊어야겠어요,0
dldl*********,맛: 청사과,20250503,5,,다른건 브랜드는 단맛이 강해서 오래 못 사용했는데 부담스럽지 않아서 좋아요 청사과맛 추천해요,0
one0***,맛: 알로에베라,20250506,5,,항상 만족하는데 장기 고객을 위해 7개에 팟 플러스 배터리보다는 6개에 팟 한개를 주던지 장기고객 관리가 필요해보여요,0
mc****,맛: 딸기쉐이크,20250512,5,,전담중 제일인듯 합니다 재구매 계속하는중 메론맛도 만들어주셨으면~,0
xnfs*******,맛: 청사과,20250503,5,,청사과 맛 좋아요 팟 색깔이 맛 계열에 따라 정해지는 것 같아요 알로에맛이랑 육안 구분이 안되는건 어쩔 수 없겠죠!?,1
jinm*****,맛: 딸기쉐이크,20250509,5,,무니코틴 무타르인데도 타격감도 있고 맛도 좋습니다 많이 파세요,0
me****,맛: 딸기쉐이크,20250502,4,,대용량이 품절이 되어 구매 달달하고 맛남,0
12je*****,맛: 마르키사,20250502,4,,3개 샀는데 배터리도 이젠 안주네요ㅜ 싼가격도 아닌데 그게 좀 아쉽네요,1
12je*****,맛: 딸기쉐이크,20250502,4,,3개 샀는데 배터리도 이젠 안주네요ㅜ 싼가격도 아닌데 그게 좀 아쉽네요,0
12je*****,맛: 자몽,20250502,4,,3개 샀는데 배터리도 이젠 안주네요ㅜ 싼가격도 아닌데 그게 좀 아쉽네요,0
nami****,맛: 타바코,20250429,5,,주변에서 사용해보고 추천해서 구매했어용 맛도 깔끔하고 액상맛도 안나고 안달아서 좋아용,0
me****,맛: 청사과,20250502,4,,상큼하고 덜 달아요,0
ll****,맛: 딸기쉐이크,20250505,4,,간편하고 좋네요 멘솔없는 것도 만들어주시면 좋을것 같아요!!,0
love********,맛: 알로에베라,20250424,5,,대용량이 5월중순에 입고된다길래 원래 사이즈로 구입했어요 맛이 좋아요 무니코틴이라 부담이 없어 좋아요,0
sang******,맛: 아이스민트,20250503,5,,배송이 빨라요 잘 이용해 보겠습니다.,0
soor*****,맛: 타바코,20250502,5,,휴대하기 좋고 타바코 괜찮아요. 충전 다 되어 왔어요.,0
xnfs*******,맛: 딸기쉐이크,20250503,5,,타 사이트에서 구매했어서 재구매예요~ 정착했어요,0
nyao****,맛: 딸기쉐이크,20250419,5,,딸기쉐이크는 말해모해 향 좋고 타격감은 저한테는 조금 부족해서 많이 피우게 되지만 그래도 너무 좋아하는 향이어서 포기 못하겠네여 ㅋㅋㅋ 계속 재구매중이에여!,0
ba****,맛: 딸기쉐이크,20250508,5,,좋네요 잘 태우고 있습니다 ㅎㅎ,0
ba****,맛: 유자하이볼,20250508,5,,좋네요 잘 태우고 있습니다 ㅎㅎ,0
ba****,맛: 자두,20250508,5,,좋네요 잘 태우고 있습니다 ㅎㅎ,0
sz13*****,맛: 콜라,20250511,5,,좀 더 펴보고 한달 후기남길게유,0
leve***,맛: 딸기쉐이크,20250505,4,,맛잇네요 근데 목에 먼가 걸리는느낌이..,0
kimh******,맛: 딸기쉐이크,20250430,5,,맛있네요 아주 좋습니다 또 구매할게요,0
bira****,맛: 타바코,20250504,5,,금연하고싶은데의지가부족해 당장은못끊고이걸로대체하고있네요.,0
bota*****,맛: 콜라,20250507,5,,배송빠르고 좋아요 맛있어요,0
whkd****,맛: 딸기쉐이크,20250510,5,,진짜 딸기쉐이크 맛이예요,0
firs*****,맛: 유자하이볼,20250509,5,,배송 빠르고 좋습니다.,0
bota*****,맛: 청사과,20250507,5,,배송도 빠르고 맛있어요,0
