작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
hans********,플릭 제로: 콜라아이스,20250510,5,,얇고 가벼워서 좋긴한데요 배터리가 생각보다 좀 빨리 줄어드는거 같으네요,0
6s****,플릭 제로: 슈퍼쿨(화이트),20250427,4,,슈퍼쿨이 맛은 참 괜찮은데 타사의 제품대비 시원하게 빨리지 않는 부분이 조금 아쉬웠습니다. 그리고 전반적으로 배송준비가 좀 느린거 같습니다.,0
hg12***,플릭 제로: 알로에그레이프,20250512,5,,마개가 있는게 좋은거같아요,0
hyun****,플릭 제로: 피치아이스,20250508,5,,이제 이걸로 갈아탓내요~~~ㅎㅎ 든든하내요~~~~,0
hyun****,플릭 제로: 알로에베라,20250508,5,,한번씩 너무 빨리 다는것같내요ㅎㅎ,0
kims******,플릭 제로: 알로에베라,20250429,5,,배송좋고 괜찮네요 잘받았습니다,0
yhjy******,플릭 제로: 포카리,20250430,3,,생각보다 빨리 닳는거 같기는 한데 일단 맛은 시원~~하이 좋습니다^^,0
6s****,플릭 제로: 알로에베라,20250427,3,,알로에베라 뭔가 머리아픈맛이에요... 3개나 샀는데 좀 후회됩니다...,0
hmk1***,플릭 제로: 슈퍼쿨(블랙),20250420,5,,교품도 빠른시일에 처리해주시고 친절하게 응대해주셔서 불편함없이 잘사용하고 있습니다,0
fkcp*****,플릭 제로: 포카리,20250421,5,,생각이상으로 만족스럽습니다. 벌써 재주문했습니다.,0
gura****,플릭 제로: 포카리,20250423,5,,슬림하고 퍼프 15000 정도가 기준점인거 같은데 우선 나쁘지는 않네요,0
oo0o****,플릭 제로: 피치아이스,20250510,5,,사용해보니 크기에 비해 쎄네요 워 좋습니다 또 사봐야겠네요,0
ckd1***,플릭 제로: 알로에그레이프,20250423,5,,포카리맛 먹어보고 맛나서 또 주문했어용ㅎㅎ,0
ckd1***,플릭 제로: 피치아이스,20250423,5,,포카리맛 먹어보고 맛나서 또 주문했어용ㅎㅎ,0
hyej***,플릭 제로: 알로에베라,20250413,5,,무니코틴 무타르 라고 해서 삿능데 이상하게 나는 이 액상전자담배를 피면 폐가아파여 금연 쉽지않네 ~,0
gura****,플릭 제로: 알로에베라,20250425,4,,가성비 좋습니다 연초 3일에 2갑 피는수준인데 4일차 66% 남았네요 생각보다 용량이 많은거 같지 않아요,0
fkcp*****,플릭 제로: 알로에베라,20250421,5,,알로에베라 향이 좋습니다.,0
