작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
pobb*****,헬베이프 젤로: 블러드 샷,20250501,5,,"음 결론부터 말하자면 그냥 젤로로 정착해도 되겠다에요. 다른 기기 사용 유저였는데, 누수가 너무 심해서 누수 없는 기기를 찾아보다가 젤로를 접하게 됐어요. 몇일 사용해 본 후기를 말씀 드릴게요 가장 먼저 느껴진 건 맛의 깔끔함이에요. 단 맛은 다른 기기들 보다는 덜한 듯한 느낌이지만 저는 너무 단맛은 선호하지 않는 편이라 딱 좋았어요. 입호흡 기기인데도 연무량이 많아서 베이핑 할 때의 재미도 확실하네용🤩 또한, 디바이스 디자인이 심플하고 세련됐어요. 마감이 깔끔하고 컬러 선택도 다양해서 취향에 맞게 고를 수 있고요. 저는 기기 블러드 샷 색상에 에 탑캡 블러드샷 색상을 추가 구매해서 꾸며 봤어요. 탑캡이나 팟들은 전부 자성으로 결합되는 방식인데 자성이 짱짱해서 분리될 걱정도 안하셔도 될거 같네요👍 개인적으로 가장 만족스러웠던 부분은 누수가 아예 없다는 거에요. 앞서 말했듯이 이전에 쓰던 기기는 액상 누수가 잦아서 불편했는데, 젤로는 진짜 누수 걱정은 아예 안해도 돼요. 팟도 일체형이라 다 쓰고 나면 바로 바로 교체할 수도 있어서 편해요. 기본 구성으로는 0.8옴 하나 1.0옴 하나이던데 판매자 님이 1.0옴 하나 더 서비스로 넣어주신거 같더라고요. ㅎ저는 0.8옴 부스트 팟도 궁금해서 두개 추가로 구매했습니다~ 전체적으로 젤로는 맛·디자인·누수방지 등 전체적인 벨런스가 잘 갖춰진 기기라고 생각해요. 입문자에게도 부담 없고, 기존 유저에게도 꽤 만족스러운 대안이 될 수 있을 것 같아요. 저는 다른 색상도 구매할까 생각 중이에요. 앞으로는 젤로로 정착할거 같네요 젤로 화이팅 ㅎㅎ 판매자님이 챙겨 주신 귀여운 편지랑 하리보 젤리도 잘 먹었습니다. 번창하세요~",0
muzi*****,헬베이프 젤로: 블랙로즈,20250509,5,,"어린이날 휴무일에 전에 쓰던 젤로 전담을 날려버려서.. .. .. .. 사망했어요.. 휴무일에 못피우니 급한대로 편의점에서 일회용 전담을 구입하였고(19,000원 너무 비싸요ㅠ) 그래도 이 제품을 1년 반 넘도록 여기저기로 날렸음에도 문제없이 쓰던 튼튼한 전자담배라, 재구매했답니다!:) 휴무일 마지막 날에 빠른 배송 해주셨어요! 정말 감사드립니다. 젤로의 장점은 누수가 없고, 맛표현도 좋고, 그립감이 좋고, 충전도 하루 20-30분이면 충분하고, 디자인도 다양하고 이뻐요. 또 호흡량을 체크할 수 있어서 반성할 수 있는 시간도 갖게해요ㅎ.ㅎ 쿨하게 리셋버튼 눌러서 잊어버리긴 하지만요! 헿 단점은 딱 하나, 상단 캡에 금이 잘가요. 그래서 미워지면 캡만 따로 구매해요. 저처럼 자주 안날리시거나 안떨어뜨리시면 괜찮을거에요.. 저는 이번에 블랙로즈를 구매했는데 너무 이뻐서 행복했어요.. 깔끔한 블랙 디자인에 장미 로고가 그려져있는데 왜이렇게 시크하고 아껴주고싶고 꼭 쥐고만 싶은지요. 제발 날아가지 않기을 바래요… 전자담배 경력 약 4년차인데 적당한 금액에, 이렇게 맛표현도 좋고 튼튼한 전자담배는 젤로가 최고인 것 같아요. 여기 판매자님 답변도 빠르시고 친절하셔서 더 기분좋게 상품 전달 받았습니다:-) 모두 즐거운 베이핑 되시길 바래요옹",1
dbsy******,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250424,5,,"배송도 빠르고 실물 완전 예뻐요✨ 젤로 다크실버 대만족! 전자담배 처음이라 고민 많이 했는데 젤로 다크실버 선택하길 정말 잘했어요 :) 일단 디자인이 너무 고급스럽고 예쁩니다. 실물로 보면 매트한 다크실버 컬러가 진짜 세련됐어요…. 들고 다니는 맛이 있어요! 구성도 깔끔하게 잘 왔고, 손편지랑 귀여운 그림까지 있어서 열자마자 기분 좋아졌어요☺️ 요즘 이런 정성 보기 힘든데, 이런 디테일 하나하나가 만족도를 더 높여주는 것 같아요. 기기는 생각보다 훨씬 사용하기 간편했고, 팟은 자석 방식이라 딱- 붙는 맛도 좋고 탈부착도 쉬워요! 연무량도 적당해서 흡입감 부드럽고 깔끔합니다. 특히 마음에 들었던 건 LED 잔량 표시! 한눈에 배터리 상태 보여줘서 너무 편해요⚡️ 무엇보다 향도 깔끔하고, 사용 후 냄새가 안 남아서 주변 신경 안 써도 돼서 좋아요! 연초랑 궐련형까지 사용하다가 액상형 전자담배로 넘어왔는데 젤로는 진짜 성공적이었어요 :) 고민하시는 분들, 젤로 다크실버 실물 보면 무조건 반할 거예요. 디자인, 사용감, 감성까지 완벽합니다 강력 추천드려요!!! 별점: ⭐️⭐️⭐️⭐️⭐️ / 5점 만점!",0
0312***,헬베이프 젤로: 블루스카이,20250423,5,,"-배송: 1일 -릴 제품만 10년 정도 사용하다가 전자담배로 변경 하기 위해 아무 지식 없이 딱 5가지만 보고 검색 했습니다. 1.팟 누수 2.팟 용량 3.밧데리 용량 4.편의성 5.휴대성 위 5가지 밸런스를 가장 골고루 갖춘 제품이 뭔지 3일동안 검색 했습니다. 팟 누수가 가장 적었다는 평과 코일/팟 일체형 교환으로 편리하고, 넉넉한 밧데리 용량, 조립편의, 작고 가벼운 크기로 정말 모든 밸런스를 잘 갖췄다고 판단 되어 선택 했습니다. 물런 더 크면 밧데리용량도 크겠지만, 휴대가 불편할 것 같아 코일을 별도 관리 하자니 못할 짓일것 같아 현재 1일차까지 아무 불편함이 없이 잘 선택 했다고 판단 됩니다. 팟 아래쪽에 공기 흡입 조절 가능한것도 좋았습니다. 기본으로 주는 0.8Ω 2개 외에도 1.2Ω까지 추가 구매 했어요. 다양한 Ω으로 즐기실려면 저처럼 추가 구매 하시면 배송비도 절약 가능~ 강추 합니다.!!! (앗~팟 아래쪽 비닐을 꼭 제거 후 사용 하세요^^)",0
smin***,헬베이프 젤로: 달리아 초콜렛,20250327,5,,"- 100% 내돈 내산 젤로 솔직 리뷰! - 성격급하신 분들을 위해 결론부터 말씀드리자면 그냥 구매하세요!! 고민은 배송만 늦출 뿐입니다 일단 저는 전자담배 8년차 헤비 유저입니다 그동안 발라*리안, 아보*도, 부*, 아스* 등등 안써본 기기가 없는데요 기존 기기들은 맛표현은 훌륭했지만 누수문제로 많이 실망하고 갈아탔었는데, 최근 전자담배 커뮤니티에서 젤로가 확실히 개선되었다고 하길래 속는셈치고 구매해보았는데, 한달 동안 사용하면서 아무런 불편함을 느끼지 못했습니다! 누수는 베이퍼들의 습관이 많이 좌지우지하기 때문에 장타, 연타 자제하시면 더욱 도움이 될 거 같습니다! 이번 디자인 또한 너무 예쁘게 잘 빠진 거 같아요 여자친구가 무슨 담배가 이렇게 이쁘냐고 핀잔주네요ㅋㅋ 아 또 외출용으로 투명케이스도 같이 구매하시는 거 추천드립니다 아무래도 입에 닿다보니 위생이 중요하잖아요! 특히 배터리 용량 커진 게 너무 메리트 있는 거 같아요 전자담배 하다보면 다들 충전 깜빡해서 주위에 연초 빌리는 경우가 허다한데, 이 정도 용량이면 2~3일은 끄떡 없더라고요 맛표현이야 뭐 말안해도 아시죠? 사용한 액상은 전담 커뮤에서 젤로랑 가장 잘 맞는 액상으로 추천받은 뭉쥬*인데, 왜 그런 말이 나오는지 딱 알겠네요 발라리안 특유의 달달한 풍미와 묵직한 베이스를 잘 끌어올려주는 액상입니다 저옴코일에 아이스자몽맛 강력히 추천드립니다!! 아 드립팁은 그냥 기존 껄로 사용 중입니다 딱히 다른 드립팁은 필요성을 못느끼겠네요 그래도 위생 생각해서 나중에 코일 주문할 때 한번 도전해보겠습니다 워낙 전자담배계의 애플같은 브랜드니 그냥 다들 고민하지 마시고 그냥 달리시는 걸 추천드립니다 연무량도 빵빵하고, 기기도 튼튼하고, 배송도 빠르고, as처리도 좋고 도무지 단점이라곤 찾을 수가 없네요 그래도 고민이 되신다면 매장가서 시연해 보시는 걸 추천드립니다 그럼 다들 즐거운 베이핑하세요~",1
74****,헬베이프 젤로: 라임 버터,20250502,5,,"생각했던거보다 색이 이쁘네요.ㅎㅎ 실리콘 케이스는 충전단자랑 크기가 같은지, 케이블이 안꽂히고 밀려서 빠집니다. 힘껏 꽂아서 조심조심 놓아야 충전이 되네요. 리뷰 잘 안쓰는데, 사장님 손편지에 사진을 찍었습니다. 젤로는 포장을 뜯으니까 마치 선물포장처럼 인쇄된 종이 한장이 있는데, 이게 마치 고가의 디지털기기를 구매한것처럼 사람을 기분좋게 합니다. 이런거 살때마다 늘어나서 집에 굴러다니게되는 충전케이블대신 팁을 하나 주시는것도 좋은것 같아요. 번창하세요.",0
kwon**********,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250423,5,,✨헬베이프 젤로 100% 내돈내산 리뷰~✨ (사장님의 서비스에 감동받아 작성하게 되었습니다..😘) ❤️ 제품 선택 이유ㅣ 편의점 일회용 전자담배는 맛이 적어서 더 많은 맛을 경험하기 위해 여러 커뮤니티를 찾아본 결과 헬베이프 젤로가 가장 누수가 적다고 해서 구매하게 되었어요! 🧡배송ㅣ 배송이 정말 빨라서 만족했어요!! 주문하자마자 발송을 해주시더라구요 ㅜㅜ 다음날에 바로 받았습니다!! 💛포장ㅣ 박스를 까자마자 놀랐어요ㅜㅜ 포장 정말 잘 되어 있고 사장님의 서비스.. 하리보 와 정성 가득 손 편지! 정말 최고입니다..! 💚사용 후기ㅣ 맛 표현도 정말 좋고 타격감도 정말 좋았어요!! 아직 입문이라 잘 모르지만 제품 사용법도 정말 쉽고 디자인도 깔끔해서 너무 좋아요~~ 💙별점ㅣ ⭐️⭐️⭐️⭐️⭐️ 5.0/5.0 개인적으로 정말 마음에 들어서 저는 5점 드립니다!! 고민하지 마시고 바로 구매하세요.. 고민은 배송을 늦출 뿐.. 이랍니다?? 아시죠?? 💜마무리ㅣ 제품 정말 좋고 후회할 일 없습니다! 디자인도 잘 나왔고 색상도 촌스럽지 않고 정말 예뻐요!! 가장 중요한 사장님의 마음 정말 최고입니다!! 하리보 잘 먹을게요~,0
happ*************,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250417,5,,"솔직히 말해서... 이거 쓰고 나서 다른 거 못 쓰겠어요. 처음엔 그냥 1225 다크실버 디자인이 예쁘다 싶어서 가볍게 주문했거든요? 근데 생각보다 너무 괜찮아서 깜짝 놀랐어요. ✔️ 먼저, 누수 없음 이거 진짜 체감 확 와요. 가방에 던져놔도, 주머니에 넣고 다녀도 액상 새는 거 전혀 없었어요. 예전 기기 쓸 땐 누수 땜에 가방 냄새가 쩔어서 멘붕 왔던 기억이 있는데... 이건 그런 걱정 자체를 안 해도 돼요. ✔️ 그리고 흡입감 처음에는 약간 묵직한가? 싶었는데 쓰면 쓸수록 이게 은근히 중독이에요. 부드러우면서도 밀도감 있게 차오르는 그 느낌... 설명 어렵지만 써보면 무슨 말인지 딱 알 거예요. ✔️ 또 하나, 디자인 + 그립감 심플한데 고급스러워요. 광택이나 조명 반사도 과하지 않아서, 딱 들었을 때 '어 이거 뭐지?' 하는 반응 나오는 디자인이에요. 손에 착 감기고 무게도 부담 없어서 들고 다니기 딱 좋아요. ✔️ 액상 맛은? 진짜로 깔끔하게 표현돼요. 향도 적당하고 맛도 적당히 달달해서 편하게 즐길 수 있을 듯! (개인적으로는 과일 멘솔 계열 추천해요. 젤 맛있는 듯 ㅎㅎ💨) 솔직히 단점...? 음... 일부러 찾아보려 해도 안 보일 정도예요. 무게, 내구성, 충전 속도까지 생각보다 다 만족. 🎁 결론은? 고민하다가 놓치면 진짜 후회할 제품이에요. 이 가격에 이 퀄리티? 저는 주변 친구들한테 이미 추천 중입니다✨",1
ys****,헬베이프 젤로: 달리아 초콜렛,20250311,5,,"저는 비록 행님은 아니지만ㅋㅋㅋ 제작자님 정성이 너무나 갸륵하시어,,, 잘 남기지도 않는 리뷰 남깁니다ㅎㅎ 이전에 사용하던 팟 교체용 기기는 누수때문에...🤬🤬 같은 모델로만 3번을 바꿨다가 도저히 열받아서 코일교체용 발라리안 3년 정도 사용중이었는데요~ 이번에 기기박살로 팟 교체타입 젤로를 구매해보게되었어요~ 누수는 기본적으로 관리 잘 해주면 되긴 한다지만 기기 자체에서 뿜어내는 건 진짜 답도 없는데 젤로는 만족스러웠음 좋겠습니다!!! 더 사용해봐야 알겠지만 첫인상은 작은크기에 비해 타격감이 꽤!!! 좋다는 것이 아주아주 좋았어요~ 이 부분은 어떤 액상을 사용하느냐에 따라 조금씩 달라질 걸로 보이지만 저는 기본적으로 단 맛을 선호하지 않아서 기본멘솔을 주로 사용하는데 멘솔이 시원하게 탁 치고 들어오는 느낌이 아주 굿입니다! 그리고 흡입시 소리가 크지 않은 점도 좋았습니다~! 가끔 빨아들일 때 소리가 너무 커서 민망할 때가 종종 있었거든요! 현재는 액상튐현상은 없는데 요 부분은 팟 교체 때가 오면 어쩔 수 없는 부분이라 생각해서 이정도는 만족스럽습니당!!! 기기 외형은 말모말모,, 그냥 너무 귀여워서 다 했고여 제가 손이 작은 편인데 한 손에 쏙 들어오고 그립감도 즥입니다,,,👏🏻👏🏻 TPU 케이스도 들뜸 없이 부드럽게 끼워지구요 무엇보다 젤로 컬러감이 젤 맘에 들어서 구매했는데 케이스 끼워도 디자인 가리거나 방해하지않아서 좋습니다~전체적인 사용감은 꾸준히 사용해봐야 알 것 같지만 이렇게 진심이신 제작자님은 잘 되셔야 한다는 마음에 일단 리뷰 갈깁니다~~ 대성하십시오~👍",1
blue****,헬베이프 젤로: 블랙로즈,20250225,5,,"젤로 후기 최근 담배 냄새 등으로 인해 고민하다가 주변에서 전자담배(액상) 피는 것을 보고 오랜만에 전자담배에 입문하자 하고 처음에 무인판매점에서 아스파이어사 고텍 나노를 싼 가격 맛으로 구매하여 신나게 사용하다가 기기 밑 에어홀에서 수도꼭지 덜 잠근것 마냥 누수 발생해서 액상 한두방울씩 떨어지는거 보고 정내미 떨어져서 전자담배 사용 때려칠까 하다가 우연히 주변 지인들이 젤로 제품 사용하는 것을 알고 물어봤는데 다들 좋다고만 하더라구요. 반신반의하는 생각으로 이번에도 망하면 걍 마저 연초 태우겠다는 생각으로 젤로를 질러버렸습니다. 근데 이게 웬일? 분명히 전날 구매했는데 하루밖에 안지났구만 벌써 도착을 해버리네요...? 처음부터 뭔가 마음에 듭니다 ㅋㅋㅋ 제품을 받은 후에 바로 신나게 내용물 확인하면서 촬영했는데 본체에 기본적으로 탑재된 팟 외에도 내부 박스 안에 1개, 서비스로 1개 총 팟이 3개가 있더군요. 아싸 신난닼ㅋㅋㅋ 그리고 나서 기존에 빡쳤던 고텍 나노에 주유하고 반 정도 남았던 청포도향(과일/멘솔, 묽은 액상)을 코일이 잠길 정도로 넣어주고 혹시 모를 불안감에 코일에 액상이 충분히 적셔지도록 30분간 놔두고 난 뒤 실제로 사용해봤습니다! 팟 아래 에어홀은 중간(3칸) 상태로 전원 켜고 흡입해본 결과, 청포도맛이 저하되지 않고 달달하게 잘 느껴지고 시원한 맛도 제대로 느껴지더군요. 한 10번 정도 흡입해봤는데 기기에서 소리도 안나고 딱 좋았습니다(아스파이어 고텍 나노의 경우 기기 접촉 상태나 내부 누수 등 상태에 따라 바람 새는 소리나 치익치익 치지직 소리 나는 경우가 많았음) 그러고 나서 시간 텀을 두고 2~3번 더 사용한 뒤에 기기 본체와 팟을 분리해봤는데 아직까지는 누수 또는 결로 현상이 발생하지 않았네요(휴 다행) 오고 나서 별로 사용해 보진 못했지만 지금까지는 만족합니다! 계속 사용해보고 만족스러우면 나중에 기기 추가 구매할 생각입니다! 1. 배송 : ●●●●●(5) 겁나 빠름. 이건 뭐 눈 깜짝할 새에 도착했다고 보면 될거 같음(우체국 역시 빨라....) 2. 포장 상태 : ●●●●○(4) 딱 알맞는 박스에 복권?, 하리보, 손편지와 함께 뾱뾱이로 감겨있는 제품 박스가 있었음. 뾱뾱이 해체하니 서비스로 넣어준 팟 1개가 같이 들어있었음. 제품 뜯어보려고 칼 꺼냈는데 비닐로 덮인 과자 상자 마냥 커팅 쉽게 하도록 되어있어서 그 부분 잡고 뜯으려 했으나 비닐이 워낙 꽉 붙어있어서 결국 칼로 조금씩 뜯어서 해체함(손톱이 짧은 사람......ㅠ) 3. 제품 : ●●●●●(5) 기기 본체에 이미 장착된 팟 포함 팟이 총 3개나 있음(와 개부자!!) 본체와 탑캡 분리 시도 시 자성 있는지 까지는 잘 모르겠지만 자성 느낌 나면서 찹찹 소리 나면서 분리됨(힘 조금 주면 분리 되지만 약하진 않음) 팟과 본체도 자성이 적당히 있어서 쉽게 분리되지는 않을것 같음(뭔가 뗐다 붙였다 하는게 기분이 좋았음 ㅋㅋㅋ) 4. 사용 : ●●●●●(5) 아스파이어 고텍 나노는 쌈마이라 그런지 쓴지 2~3번 정도 밖에 안됐었는데 바로 누수 발생하고 개똥같았는데 젤로는 비슷하게 사용해봤을 때에는 딱히 누수라고 할게 보이지도 않네요. 혹시 모를 불안감에 본체와 팟 분리 시켜봤는데 결로 현상 조차도 보이지 않음. 개신기!!!!!!!! 아직 얼마 사용하지 않아서 그런걸수도 있겠지만 이전거보다는 만족 ㅋㅋㅋ",0
